layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
layer4,0,0.3601246898442302,3.7258234,bottle,2.523801,tube,2.2684968,dispenser,2.0276942,traps,0.68471646,terrier,0.0,0,0.0,0,0,0,0,0,0,0,0.3153711259365082,0.3153289258480072
layer4,1,0.3530434311337161,8.233377,signs,5.8865514,robertson,3.4318547,packets,2.5037286,capped,2.0153499,blows,0.0,0,0.0,0,0,0,0,0,0,0,0.5169411301612854,0.30590519309043884
layer4,2,0.3997760498122538,7.5440993,brides,5.277633,researcher,4.4646077,monoclonal,2.899244,dressed,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4156609773635864,0.35347241163253784
layer4,3,0.4270863168842732,4.1481695,konica,3.7118857,weapon,2.6229632,boat,2.5300567,equipment,1.6158909,beaver,0.0,0,0.0,0,0,0,0,0,0,0,0.3517448604106903,0.38542699813842773
layer4,4,0.3819617460407664,5.249784,multifunction,4.8754272,boxed,3.124882,rebound,2.2733972,supper,2.1578393,indoors,0.0,0,0.0,0,0,0,0,0,0,0,0.4159154593944549,0.35560134053230286
layer4,5,0.3801042163975477,5.932584,sausage,5.2703743,weapon,4.181242,bottle,3.218435,larvae,2.9389362,pen,2.5791466,fishing,0.0,0,0,0,0,0,0,0,0.4256879985332489,0.3710404634475708
layer4,6,0.3764277248645019,6.1912403,formal,3.5056217,uniform,1.3763814,terrier,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4437645077705383,0.31954899430274963
layer4,7,0.3565263784462456,5.1520066,lifting,4.038507,safe,3.901634,grizzly,3.534246,tester,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4066834449768066,0.3225192427635193
layer4,8,0.4837009188047469,5.21863,elephants,1.9727098,hog,1.6567208,utensils,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.329321801662445,0.4089738130569458
layer4,9,0.434451079289586,4.713121,labor,3.5455024,sail,3.3551126,webb,3.1291375,wore,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3573762476444244,0.31083065271377563
layer4,10,0.4743426607790984,2.2510557,wore,1.6314884,lights,1.3682958,chapel,1.3564327,arch,1.2720106,band,1.1422697,cur,0.0,0,0,0,0,0,0,0,0.2107312083244323,0.36992186307907104
layer4,11,0.4614111310987449,4.331587,bookshelf,3.7236402,axel,3.0255117,kit,2.6587346,lotion,1.206162,ape,0.0,0,0.0,0,0,0,0,0,0,0,0.2892850935459137,0.3955373466014862
layer4,12,0.5316265783809787,5.293193,rainforest,5.214902,vegetable,4.931165,lunch,2.7594957,habitat,2.157378,mushroom,1.6166841,monkey,0.0,0,0,0,0,0,0,0,0.4611559510231018,0.5138351321220398
layer4,13,0.3594854836989165,2.869431,anglo,2.1938696,springer,1.4437704,bernard,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4133094549179077,0.30169185996055603
layer4,14,0.4583485877655164,5.7637897,formal,4.817076,students,3.2502985,demux,3.069556,uniformly,1.510276,arriving,0.0,0,0.0,0,0,0,0,0,0,0,0.4610760807991028,0.3538951277732849
layer4,15,0.4857822091235104,4.23985,bowl,3.6611495,bucket,2.5199275,pot,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3865885436534881,0.4346041679382324
layer4,16,0.4777943471829931,6.3777366,rides,5.764684,palace,3.3108416,graduates,2.8343258,arriving,2.300104,fluffy,0.0,0,0.0,0,0,0,0,0,0,0,0.4184625148773193,0.41288813948631287
layer4,17,0.3506806761792126,1.6834966,fossil,1.4959209,topped,0.8164168,ape,0.7257366,spider,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2144337594509124,0.3397704064846039
layer4,18,0.33938509970197,2.551125,corn,2.046495,plated,1.6280332,fences,1.5506662,squash,1.5022203,grizzly,0.0,0,0.0,0,0,0,0,0,0,0,0.3594202995300293,0.2864707112312317
layer4,19,0.3061620541619555,3.1282394,bedding,1.9005563,dishes,0.99354863,reptiles,0.9573137,fossil,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3561576604843139,0.2785097360610962
layer4,20,0.3231997715422406,2.640215,appliance,2.0236988,gallons,1.8423971,tub,1.673641,copier,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3650055527687073,0.2715517282485962
layer4,21,0.5015887087218285,7.99725,glass,4.461134,bottle,3.2487624,pudding,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4324158728122711,0.42843112349510193
layer4,22,0.3213906300904491,3.3955123,observatory,2.3421931,bears,2.0368693,col,1.7884545,utter,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3779968321323395,0.24511216580867767
layer4,23,0.326785356354875,3.0469923,yellowstone,1.9653658,flame,1.7807161,fluffy,1.3782378,fish,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2998428344726562,0.3473082184791565
layer4,24,0.3126629190585338,3.4864836,worn,3.1283185,mariner,2.9255815,pockets,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.477677971124649,0.17420336604118347
layer4,25,0.420120035419704,4.2988615,bike,3.847373,wore,3.6383278,athletes,3.0761747,chaired,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4021594226360321,0.4326004683971405
