layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
layer4,0,0.3388338022350389,4.833359,water bottle,2.5776944,screw,2.2266047,mousetrap,1.4934608,Scottish Deerhound,1.203154,Cairn Terrier,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3467813432216644,0.2967227101325989
layer4,1,0.2616119022387849,4.452945,dust jacket,4.356871,bottle cap,2.00314,barbershop,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.6109516620635986,0.18337146937847137
layer4,2,0.3103970239734508,5.2265854,lab coat,4.1593723,bridegroom,3.160857,lotion,2.889908,hoop skirt,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4264202415943146,0.31782209873199463
layer4,3,0.3733169003697443,3.3259184,dock,3.1174636,rifle,2.7470598,printer,2.2929916,catamaran,1.5102825,beaver,0.0,0,0.0,0,0.0,0,0,0,0,0,0.379414439201355,0.3185446262359619
layer4,4,0.2764445715516785,2.6854057,printer,2.652659,hot dog,2.2640522,desk,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.5062585473060608,0.1870463490486145
layer4,5,0.3098833786832507,4.537338,ballpoint pen,3.162292,missile,2.6585603,silver salmon,1.8330587,newt,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4976035952568054,0.3043840825557709
layer4,6,0.4446974160824564,4.621264,suit,3.261729,academic gown,2.4190125,military uniform,2.0568898,Vizsla,2.0495856,Airedale Terrier,1.7146776,Australian Terrier,1.4690974,Clumber Spaniel,0.0,0,0,0,0,0,0.4595739543437958,0.37969985604286194
layer4,7,0.3714085431878728,6.5832815,dumbbell,4.8010883,safe,2.756758,brown bear,2.5129507,Tibetan Mastiff,1.8708068,grasshopper,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4405574798583984,0.321695476770401
layer4,8,0.4956046282221789,2.7778392,African bush elephant,2.3619003,viaduct,2.2211053,tusker,2.1361458,wild boar,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3428271412849426,0.4053986370563507
layer4,9,0.4037227705789125,3.8230605,sailboat,3.3335981,greenhouse,2.3069706,tram,1.6313505,radio telescope,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.424724280834198,0.37044376134872437
layer4,10,0.3650434762939294,2.0304074,T-shirt,1.5164113,triumphal arch,1.4329364,St. Bernard,1.3776027,Great Dane,1.3051362,altar,0.0,0,0.0,0,0.0,0,0,0,0,0,0.257489413022995,0.34388217329978943
layer4,11,0.4251929185567921,4.301809,bookcase,2.8643126,lotion,1.9445844,Groenendael dog,1.749993,chimpanzee,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3253074288368225,0.3623855710029602
layer4,12,0.4046901712569902,4.635281,cucumber,2.6796844,mushroom,2.201312,macaque,1.8944659,howler monkey,1.8930779,yellow lady's slipper,1.8672034,hot pot,0.0,0,0.0,0,0,0,0,0,0.562635064125061,0.39116615056991577
layer4,13,0.4794827784436485,3.3596005,Bernese Mountain Dog,3.003272,Basenji,2.6478052,Beagle,2.6025717,hummingbird,2.4394774,English Springer Spaniel,2.0426843,Boston Terrier,0.0,0,0.0,0,0,0,0,0,0.4283181130886078,0.4469008147716522
layer4,14,0.2964094220176403,3.4675307,suit,3.3266628,bridegroom,2.386406,military hat (bearskin or shako),0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.5122413039207458,0.19582293927669525
layer4,15,0.476498977543991,6.8546543,mixing bowl,4.5600185,bucket,3.6016681,tea cup,2.4777355,wok,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4060646593570709,0.3845403492450714
layer4,16,0.4647727692724426,5.389881,palace,4.794743,carousel,3.439418,taxicab,2.8566082,Shih Tzu,2.8296595,tram,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4565182030200958,0.4364485442638397
layer4,17,0.3542375252757581,1.6092306,tarantula,1.4451594,triceratops,1.3228774,hippopotamus,1.00812,conch,0.928534,gyromitra,0.0,0,0.0,0,0.0,0,0,0,0,0,0.239355593919754,0.3359678387641907
layer4,18,0.3522758138598263,2.7512665,corn,2.3596294,picket fence,1.804335,spaghetti squash,1.3058242,coral fungus,1.2963359,Tibetan Mastiff,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3791579902172088,0.2784576416015625
layer4,19,0.3512662508892093,3.1404214,quilt,1.7953753,hummingbird,1.7644559,American bullfrog,1.7412705,boa constrictor,1.4041188,sidewinder rattlesnake,1.1392288,chiton,0.0,0,0.0,0,0,0,0,0,0.376072496175766,0.34592121839523315
layer4,20,0.2822928215258404,2.224487,sink,1.902717,photocopier,1.3305259,Angora rabbit,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3876855671405792,0.22304993867874146
layer4,21,0.458212405366404,4.992042,soda bottle,4.8439302,beer glass,4.815322,beaker,4.740106,bubble,2.682793,trifle,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4597967267036438,0.44708535075187683
layer4,22,0.3874694800991333,3.2899067,planetarium,2.4953227,cabbage,2.2078826,American black bear,2.1686342,beaver,2.1528928,lorikeet,1.5678251,Old English Sheepdog,1.4385053,Bedlington Terrier,0.0,0,0,0,0,0,0.4123245179653168,0.35489803552627563
layer4,23,0.3802537653538877,3.3108528,geyser,2.6336865,goldfish,2.471874,Pomeranian,1.8777701,skunk,1.760332,Angora rabbit,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3249731361865997,0.3331206440925598
layer4,24,0.1955037681521374,2.187319,pier,2.126076,clogs,1.5188745,indigo bunting,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.5295193195343018,0.14022329449653625
layer4,25,0.3555070029491079,4.297407,rocking chair,3.5955098,folding chair,2.8543193,crutch,2.5086086,rickshaw,2.3332536,moped,0.0,0,0.0,0,0.0,0,0,0,0,0,0.443322092294693,0.357793390750885
layer4,26,0.407050270625844,3.688354,ground beetle,3.0084329,hummingbird,2.3568344,bee eater,2.2117784,peafowl,1.7314427,tench,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3853897452354431,0.444694846868515
layer4,27,0.3679012415560976,3.0584893,nematode,2.496167,tabby cat,2.0321794,Scottish Deerhound,1.6418989,through arch bridge,0.95991844,Flat-Coated Retriever,0.0,0,0.0,0,0.0,0,0,0,0,0,0.396484911441803,0.3235526382923126
layer4,28,0.4102519225603452,4.6126394,window screen,4.4905066,acoustic guitar,3.01534,sliding door,2.1278791,husky,2.0947819,Pembroke Welsh Corgi,1.8986641,dingo,0.0,0,0.0,0,0,0,0,0,0.4105781614780426,0.3901105523109436
layer4,29,0.3611192230820625,2.6819744,car wheel,2.0139048,grey fox,1.9681892,safe,1.5368197,Norwegian Elkhound,1.333433,snail,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3267997503280639,0.2774444818496704
layer4,30,0.3030723903135552,1.7453176,Tibetan Mastiff,1.7118818,handkerchief,1.2758526,lampshade,1.0840356,Old English Sheepdog,0.90686184,birdhouse,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3822501003742218,0.23152774572372437
layer4,31,0.3571163585490547,3.0622208,whistle,2.349923,joystick,2.2389388,safe,1.7567891,pan flute,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3881648778915405,0.2522619962692261
layer4,32,0.3186735081982934,3.92893,vase,1.9106479,barrel,1.6783063,American bullfrog,1.6336386,thimble,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4054358899593353,0.2501314878463745
layer4,33,0.4327707212585776,4.1899242,brass memorial plaque,3.252085,Pickelhaube,2.6522443,artichoke,2.500006,chain mail,2.3820055,chimpanzee,1.4762316,altar,0.0,0,0.0,0,0,0,0,0,0.3785213828086853,0.40332746505737305
layer4,34,0.4542427754536107,5.0708675,canoe,4.3979936,through arch bridge,4.2487526,giant panda,3.6066945,macaque,3.333704,sea lion,3.129279,snorkel,0.0,0,0.0,0,0,0,0,0,0.655546247959137,0.40263038873672485
layer4,35,0.3842467791951167,2.8810394,arabian camel,2.7037635,gong,2.6320262,tench,2.2610145,barometer,2.2310646,drum,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3896258771419525,0.3602388799190521
layer4,36,0.4058422181314387,3.966566,hot tub,3.153246,dam,2.6674573,dock,2.3475373,sink,2.1881592,mobile home,1.9968596,canoe,0.0,0,0.0,0,0,0,0,0,0.392229676246643,0.34454360604286194
layer4,37,0.3974709954952099,4.0271864,abaya,3.4860985,purse,2.771009,cloak,2.5516677,Vizsla,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3763589859008789,0.3705531060695648
layer4,38,0.2081548401251908,2.4073262,tights,1.2565842,suit,0.86826956,unicycle,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.317394495010376,0.172495037317276
layer4,39,0.5713882951254292,9.770956,tiger cat,4.986659,Siamese cat,3.7805552,Cocker Spaniel,3.7754002,snow leopard,3.532758,Basset Hound,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4440302848815918,0.5789755582809448
layer4,40,0.3863773722725696,4.366036,convertible,3.7663429,pickup truck,2.6154766,teapot,2.173037,coffee mug,2.1086557,limousine,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3615062832832336,0.3476670980453491
layer4,41,0.3002477965134918,3.6465285,tile roof,3.4874594,cliff dwelling,2.4942946,baseball,1.6965185,arabian camel,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4692783951759338,0.29390597343444824
layer4,42,0.2892171777382628,3.4803765,jigsaw puzzle,2.982659,valley,2.2987478,cliff,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4114366471767425,0.25148066878318787
layer4,43,0.3124493558726355,3.1229842,megalith,2.1284087,bell or wind chime,1.879638,macaque,1.7610879,bee eater,1.2940404,mortar and pestle,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3291860222816467,0.3207050859928131
layer4,44,0.3898467615982698,3.9385815,tights,2.5846786,clogs,1.6672643,cuirass,1.2553523,American alligator,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3149589300155639,0.32480528950691223
layer4,45,0.4999008758522024,6.905892,couch,5.0516605,sleeping bag,4.277796,infant bed,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4470849633216858,0.4965367913246155
layer4,46,0.3334241567595665,2.5675747,broccoli,2.431366,Standard Poodle,2.0725074,printer,1.2407916,Irish Water Spaniel,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4217055141925812,0.3477880358695984
layer4,47,0.2994795898239311,3.3230577,wardrobe,2.74759,parachute,2.605354,pole,2.4541416,lampshade,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.5337440967559814,0.2440045326948166
layer4,48,0.299706502889189,2.6911516,cradle,2.5930808,mountain bike,2.3963504,split-rail fence,2.1839528,cabbage,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4250420331954956,0.2664630115032196
layer4,49,0.4926797951145407,3.6318998,gorilla,3.4820035,tape player,2.868915,entertainment center,2.657734,slot machine,2.6557899,payphone,2.1207197,photocopier,2.0995724,Cocker Spaniel,0.0,0,0,0,0,0,0.417263925075531,0.4401620328426361
layer4,50,0.4409060062610982,3.4143353,pug,2.1990604,Malinois,2.1261418,husky,2.1206057,Pembroke Welsh Corgi,1.9087228,tusker,1.7625486,Komodo dragon,1.2813932,weasel,0.0,0,0,0,0,0,0.3759106397628784,0.4215978682041168
layer4,51,0.2615360257699557,2.5650482,rocking chair,2.1105998,wheelbarrow,1.9476503,chameleon,1.6457536,drum,0.9146558,macaque,0.0,0,0.0,0,0.0,0,0,0,0,0,0.432882696390152,0.2465139776468277
layer4,52,0.4090566626862413,2.7476778,Japanese Chin,2.1019397,macaque,2.0228,gibbon,1.9347507,ring-tailed lemur,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4477680325508117,0.3852385878562927
layer4,53,0.3676098442168292,5.2514925,wall clock,3.551223,Shih Tzu,3.2526832,rotary dial telephone,3.1438596,barometer,0.9193495,macaque,0.0,0,0.0,0,0.0,0,0,0,0,0,0.4579479098320007,0.3973633348941803
layer4,54,0.3948642619196468,5.7730365,ping-pong ball,3.064565,pool table,2.700461,lotion,2.217409,Old English Sheepdog,2.0225875,acorn,1.6062754,Standard Poodle,0.0,0,0.0,0,0,0,0,0,0.4519530832767486,0.3246854841709137
layer4,55,0.3042306199648055,4.6481366,baby bib,1.8878736,bald eagle,1.7363367,guillotine,1.5701314,magpie,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3956929743289947,0.26980558037757874
layer4,56,0.4355563547620628,3.665216,arabian camel,3.527965,dough,2.9645202,ice cream,2.0417967,earth star fungus,2.0280573,ring-tailed lemur,1.9466145,koala,0.0,0,0.0,0,0,0,0,0,0.3235474824905395,0.37517425417900085
layer4,57,0.2587316986183204,3.0695736,Polaroid camera,2.39165,tripod,2.0736725,flute,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3853763937950134,0.27022629976272583
layer4,58,0.5072789435247336,4.278824,German Shepherd Dog,3.7366152,baseball,2.768863,croquet ball,2.4320445,collie,2.2784095,Flat-Coated Retriever,1.5302345,Afghan Hound,0.0,0,0.0,0,0,0,0,0,0.4426831901073456,0.45215901732444763
layer4,59,0.3298608161863257,4.2782345,water bottle,2.8922396,plate,2.3956904,platypus,1.7959744,brown bear,1.7671553,nematode,1.7513007,American bullfrog,0.0,0,0.0,0,0,0,0,0,0.394335925579071,0.2875102460384369
layer4,60,0.363887986147439,2.5438297,Golden Retriever,2.12808,husky,1.6372066,flute,1.4937094,Saluki,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3748307824134826,0.3060789704322815
layer4,61,0.3311642994985279,1.7746931,geyser,1.5810585,sea lion,1.551343,Dutch oven,1.211377,wok,1.2092375,hippopotamus,0.0,0,0.0,0,0.0,0,0,0,0,0,0.3882150948047638,0.21194517612457275
layer4,62,0.4285032463081369,4.806895,soup bowl,4.213724,lotion,3.4043458,ring-tailed lemur,3.0249524,Tibetan Mastiff,2.306813,gibbon,2.1493049,mitten,1.5867766,Standard Poodle,0.0,0,0,0,0,0,0.4337207674980163,0.3861423134803772
