layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,bias,sim correlation
layer4,0,0.3375825462674443,4.788177,bottle,2.9772727,fastener,2.1605284,mousetrap,1.2601745,Cairn Terrier,0.3413222432136535,0.3192218244075775
layer4,1,0.2812124270075894,6.887003,sign,5.44541,shopfront,4.4063387,bottle cap,2.6963148,doormat,0.6053431630134583,0.25398117303848267
layer4,2,0.3832918731959573,5.4812675,researcher,3.5989287,attire,3.0247278,bridegroom,2.2761812,hoop skirt,0.4203568398952484,0.31884777545928955
layer4,3,0.3324632541582645,3.4510288,armament,3.0755565,berth,2.3561385,equipment,1.664573,hamster,0.3613541722297668,0.36770814657211304
layer4,4,0.2673770582127223,6.419141,cardboard,4.1859446,work surface,3.734233,playroom,2.2642124,butternut squash,0.4747059047222137,0.3062344789505005
layer4,5,0.2866268557418543,4.364503,armament,4.0030713,bottle,3.4547188,rocket,2.9401546,pen,0.458259642124176,0.2918975353240967
layer4,6,0.4029741121794281,6.250356,formal,3.4978802,uniform,2.3282788,Airedale Terrier,2.1220787,Vizsla,0.4510997831821441,0.3401159346103668
layer4,7,0.3595889066252914,6.320581,dumbbell,3.9980443,mechanical device,2.2273827,Tibetan Mastiff,2.197699,bear,0.4204815626144409,0.3456730544567108
layer4,8,0.4704364727691912,2.9855816,aqueduct,2.0438435,African bush elephant,2.0115721,Asian elephant,1.7366189,elephant,0.3469752073287964,0.385087788105011
layer4,9,0.4141916651515164,6.9418077,"greenhouse, outdoor",5.4029016,labor,3.1961355,sail,2.4314961,pirate ship,0.3971398174762726,0.37308821082115173
layer4,10,0.3577866781835307,1.8527375,fire,1.694065,St. Bernard,1.6346728,tradition,1.6003436,arch,0.2406477183103561,0.34958019852638245
layer4,11,0.4036080600208834,3.4020307,bookcase,3.207044,kit,2.7784045,library,1.5183215,spitz,0.3168694376945495,0.37490585446357727
layer4,12,0.4947985881776731,5.9757633,vegetable,3.6339931,habitat,2.0138967,new world monkey,1.8635318,fungus,0.4905925095081329,0.4918023347854614
layer4,13,0.4156222065899497,4.235041,St. Bernard,3.2867062,Basenji,2.9545536,plover,2.6589875,Welsh Springer Spaniel,0.4317157566547394,0.38487857580184937
layer4,14,0.3912589988045345,4.507419,formal,2.9227698,attire,2.885103,parade,2.6281953,uniform,0.4902034997940063,0.32998207211494446
layer4,15,0.5028898504252065,5.962385,mixing bowl,4.0345836,bucket,3.6532676,soup,2.1777525,pot,0.3910011351108551,0.46069905161857605
layer4,16,0.4512515432550115,5.216273,public transport,5.106831,carousel,2.1496713,Shih Tzu,1.172631,lapdog,0.4493567943572998,0.4145645797252655
layer4,17,0.3231892789376971,1.5617247,tarantula,1.3963027,trilobite,1.3279979,hippopotamus,0.9879779,gyromitra,0.2432190477848053,0.3545336127281189
layer4,18,0.2982117240587236,2.7026691,corn,2.3576028,picket fence,2.2794197,butternut squash,1.699902,slide rule,0.3862865567207336,0.2849014103412628
layer4,19,0.3011974647869982,1.7688818,frog,1.7128592,boa constrictor,1.6715034,supper,1.5026551,Saharan horned viper,0.3713849782943725,0.3024176359176636
layer4,20,0.300299142952991,2.037983,mosquito net,1.9830524,evaporation,1.9364682,photocopier,1.8862381,tub,0.362043172121048,0.2808009088039398
layer4,21,0.509626600807756,7.798379,glass,5.2162566,reprocessing,3.9450254,bubble,2.5427525,trifle,0.4363511204719543,0.46709883213043213
layer4,22,0.3365035458089034,4.2665124,biosphere,2.726658,polar bear,2.0648339,lorikeet,1.8293846,aquatic mammal,0.402847945690155,0.34786537289619446
layer4,23,0.3654815165436386,3.3167222,geyser,2.6337037,goldfish,2.3055797,spitz,1.8637705,skunk,0.3222158849239349,0.3216462731361389
layer4,24,0.2756522819385875,3.5414245,shoes,2.9979112,baggy,1.8528318,ship,1.5412647,indigo bunting,0.4853780269622803,0.2884701192378998
layer4,25,0.3715789140946941,4.6873803,bike,4.4708138,chair,3.0633473,passing,2.626585,rocking chair,0.4278018176555633,0.41518327593803406
layer4,26,0.373573496167752,2.8124094,coraciiform bird,2.7872336,hummingbird,2.3846855,ground beetle,2.19355,lamellicorn beetle,0.3856275379657745,0.43702009320259094
