layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,bias,sim correlation
layer4,0,0.35132275824694,4.808351,bottle,2.989253,fastener,2.1713555,mousetrap,1.2436628,Cairn Terrier,1.2434963,meerkat,0.3331410586833954,0.3296469449996948
layer4,1,0.3066681686324833,6.879953,sign,5.272275,shopfront,4.376028,bottle cap,4.3043013,dust jacket,2.7027593,doormat,0.5994559526443481,0.269585520029068
layer4,2,0.4045713589469389,5.460163,researcher,3.6481118,attire,3.1982405,lotion,3.0591824,bridegroom,2.307741,hoop skirt,0.414616048336029,0.33856141567230225
layer4,3,0.3313429818546306,3.473556,armament,2.937769,berth,1.8143766,equipment,1.6843709,hamster,1.4528123,overhead,0.3571964204311371,0.3756430149078369
layer4,4,0.3165874634188707,6.4839916,cardboard,4.098308,work surface,3.7477198,playroom,2.2447155,supper,2.073888,butternut squash,0.4514862298965454,0.3428172171115875
layer4,5,0.349282720647664,4.4471626,armament,4.0908895,bottle,3.4070108,rocket,2.9507823,pen,2.3994017,soft-finned fish,0.4496850967407226,0.3183456361293793
layer4,6,0.4177446449699921,5.4763756,formal,3.3645296,uniform,2.338448,Airedale Terrier,2.1550045,Vizsla,1.948279,graduation,0.4538147449493408,0.358548641204834
layer4,7,0.3646654182541453,6.323934,dumbbell,4.0292516,mechanical device,2.0488048,bear,1.8698368,Tibetan Mastiff,1.5564247,Briard,0.4157939553260803,0.36712053418159485
layer4,8,0.5124006177888829,3.0054398,aqueduct,2.4786265,boar,1.9760263,Asian elephant,1.9219496,African bush elephant,1.6953957,elephant,0.3407301902770996,0.4253714978694916
layer4,9,0.428462793969225,6.929627,"greenhouse, outdoor",5.3867116,labor,3.1970649,sail,2.4248989,pirate ship,1.3745853,terrapin,0.3891735076904297,0.3881297707557678
layer4,10,0.3764168083726253,1.8512685,fire,1.6453965,tradition,1.6028997,arch,1.4769509,St. Bernard,0.959357,Leonberger,0.2396990954875946,0.37104421854019165
layer4,11,0.424808605326224,3.4195976,bookcase,3.268981,kit,2.7771966,library,1.5229156,siamang,1.5051266,spitz,0.3148799836635589,0.40501388907432556
layer4,12,0.5167516806099929,6.072208,entree,5.40083,vegetable,3.73462,habitat,2.0196,new world monkey,1.8903008,fungus,0.4673743844032287,0.5098777413368225
layer4,13,0.4288219880805365,3.983973,St. Bernard,3.2616098,Basenji,2.9424279,plover,2.3628411,King Charles Spaniel,2.0570574,Welsh Springer Spaniel,0.4285496473312378,0.4054550230503082
layer4,14,0.3984622575708478,4.202848,formal,2.9524887,attire,2.632814,parade,2.5514839,uniform,1.1272867,woodwind,0.4787075519561767,0.34544637799263
layer4,15,0.5085215377816242,5.252117,mixing bowl,4.053717,bucket,3.7143157,soup,2.0010383,pot,1.7769012,mortar and pestle,0.394095242023468,0.46850883960723877
layer4,16,0.4783501824679455,5.455541,palace,5.155426,public transport,4.876292,carousel,2.1769543,Shih Tzu,1.2057592,lapdog,0.4442522227764129,0.44231224060058594
layer4,17,0.3492353138306559,1.5587182,tarantula,1.3997602,triceratops,1.3623071,trilobite,1.3125724,hippopotamus,0.97881573,gyromitra,0.2385389059782028,0.3928547203540802
layer4,18,0.3236652177228091,2.7048047,corn,2.356757,picket fence,2.2753341,butternut squash,1.7109975,slide rule,1.308983,Tibetan Mastiff,0.378873199224472,0.3045603036880493
layer4,19,0.3186817440070398,1.7735524,frog,1.7265283,boa constrictor,1.6523317,supper,1.5048686,Saharan horned viper,1.4607718,cherimoya (custard apple),0.3692821264266968,0.32326793670654297
layer4,20,0.3145044314877434,2.0166073,mosquito net,2.0094335,evaporation,1.9203943,photocopier,1.8667266,tub,1.7796729,ticket window,0.3561155498027801,0.2961112856864929
layer4,21,0.5244278330932315,5.971117,glass,5.2392206,reprocessing,4.035533,bubble,3.6783063,drink,2.3866181,trifle,0.4262497127056122,0.4911477267742157
