unit,description,sim correlation
0,mating,0.018448082730174065
1,beaded,0.013108672574162483
2,greed,0.041227709501981735
3,dotted,-0.0034452599938958883
4,checker,0.09532707929611206
5,stripes,0.009333613328635693
6,mesh,-0.037471577525138855
7,pinkworld,0.06855933368206024
8,red,0.1374121457338333
9,quilts,0.06462514400482178
10,mating,0.027935566380620003
11,orange,0.15293334424495697
12,dispenser,-0.07627490162849426
13,stripes,-0.043555404990911484
14,magenta,0.1686546951532364
15,green,0.1448187232017517
16,barcode,0.1440962851047516
17,darkness,0.2584049105644226
18,zebra,-0.011858351528644562
19,barcode,0.09711333364248276
20,magenta,0.007553125731647015
21,renders,0.03907925635576248
22,green,0.32308730483055115
23,snorkeling,0.22601637244224548
24,stripe,-0.005629636347293854
25,window,0.013381076976656914
26,wallet,-0.0387369841337204
27,textile,0.09877344965934753
28,stripe,0.05119312182068825
29,fluorescence,0.10661250352859497
30,outside,0.06460779905319214
31,stripes,0.04352126643061638
32,stripes,0.043813616037368774
33,stripes,0.028528649359941483
34,orange,0.22610175609588623
35,hopper,0.04081151261925697
36,darkness,0.22434595227241516
37,zebra,-0.047981973737478256
38,social,0.04444281756877899
39,window,0.059697575867176056
40,printable,0.08172585070133209
41,textured,-0.008591731078922749
42,blue,0.185543492436409
43,grid,0.11683514714241028
44,zebra,-0.012596906162798405
45,magenta,0.3668334186077118
46,window,0.004455985967069864
47,lattice,-0.006021028384566307
48,stripes,-0.04783830791711807
49,mesh,-0.022454936057329178
50,hilfiger,-0.08446121215820312
51,quilts,0.004957254510372877
52,lace,0.03330875560641289
53,grid,-0.02614017017185688
54,textile,0.04539353400468826
55,stripes,0.02170112356543541
56,snorkeling,0.09094386547803879
57,dotted,0.07971233874559402
58,textile,0.07763908803462982
59,yellow,0.1043437048792839
60,dotted,-0.0013993673492223024
61,windows,0.02175602875649929
62,lace,-0.007194170728325844
63,bw,0.022753868252038956
