unit,description,sim correlation
0,wicker,0.06439648568630219
1,checker,0.003825206309556961
2,habitat,0.026261284947395325
3,partitioning,0.024593450129032135
4,social,-0.006139880046248436
5,zebra,-0.017425091937184334
6,grid,0.11927059292793274
7,diving,0.1013818085193634
8,lines,0.07297998666763306
9,stripes,-0.012336298823356628
10,stripes,-0.025929370895028114
11,checker,0.02771218866109848
12,stripes,-0.03185826912522316
13,juvenile,-0.03179435431957245
14,female,0.03860114887356758
15,checker,0.011968846432864666
16,blinds,0.07439502328634262
17,kernel,0.1250736564397812
18,blinds,-0.01922657899558544
19,audubon,-0.012502905912697315
20,dotted,0.06417561322450638
21,orange,0.12189514189958572
22,blinds,0.031314585357904434
23,accommodation,-0.006154250353574753
24,glide,0.02807595767080784
25,checker,0.025687864050269127
26,participant,0.07453494518995285
27,stripes,0.08143641799688339
28,reds,0.05744389444589615
29,lattice,0.0348939374089241
30,processor,0.10047991573810577
31,quilts,0.029015671461820602
32,highlighting,0.07730408012866974
33,habitat,0.22863607108592987
34,dots,-0.001189117319881916
35,stripes,0.04062792286276817
36,stripe,-0.00904895830899477
37,drought,-0.017157603055238724
38,stripe,0.1220986396074295
39,stripe,0.09712805598974228
40,lattice,-0.02548731490969658
41,checker,0.03420465439558029
42,participant,0.0601145438849926
43,remington,0.05588831007480621
44,mating,0.16485853493213654
45,lattice,-0.006914552766829729
46,magenta,0.19684356451034546
47,aquaculture,0.011365464888513088
48,textile,-0.09786778688430786
49,textile,0.10911967605352402
50,swarovski,0.023212408646941185
51,intake,0.001829764456488192
52,hypnosis,0.09140187501907349
53,woven,0.007855536416172981
54,homemade,0.15179984271526337
55,terrier,0.17771296203136444
56,silicon,0.016526661813259125
57,webs,0.08309032022953033
58,web,-0.012712976895272732
59,cage,0.03338830918073654
60,purple,0.11526312679052353
61,grid,0.13752199709415436
62,stripes,-0.07361241430044174
63,greed,0.10532116889953613
64,dotted,-0.0011133397929370403
65,tiles,-0.028114022687077522
66,crimson,0.2553797662258148
67,textile,0.061198994517326355
68,grid,0.20793494582176208
69,quilts,0.02691134810447693
70,dotted,-0.018277661874890327
71,grid,-0.026934180408716202
72,texture,-0.039313193410634995
73,keyboard,0.08085578680038452
74,dotted,-0.022922413423657417
75,tapestry,0.029960043728351593
76,dotted,-0.010715418495237827
77,stripes,0.07843145728111267
78,conditioners,0.05747872218489647
79,dotted,0.024876566603779793
80,dotted,0.032503820955753326
81,dotted,-0.05178457498550415
82,magenta,0.13346034288406372
83,textile,0.07404728978872299
84,wicker,0.04672413691878319
85,blinds,0.0437563993036747
86,marble,0.003140723565593362
87,red,0.049517594277858734
88,habitat,-0.05480894818902016
89,dotted,-0.004220037721097469
90,pink,0.029870741069316864
91,fibers,0.03621158376336098
92,textile,0.0836317390203476
93,illusion,0.11553935706615448
94,accommodations,-0.015355576761066914
95,carpets,0.03984979912638664
96,wavelength,0.12104164063930511
97,illusion,0.09465328603982925
98,dotted,0.03859786316752434
99,bw,0.1758308708667755
100,noir,0.11644548177719116
101,shelving,0.08425760269165039
102,zebra,0.03601548448204994
103,crossword,-0.014316920191049576
104,magenta,0.009671209380030632
105,bw,0.12854503095149994
106,pattern,0.03589683771133423
107,plaque,0.06339815258979797
108,stripes,0.026158716529607773
109,orange,0.0806136205792427
110,melanoma,0.10689724236726761
111,stripes,-0.02375262789428234
112,atmospheric,0.04152555391192436
113,tomcat,0.012128964997828007
114,spots,0.06930612772703171
115,stripes,-0.02484508417546749
116,checker,0.06621021777391434
117,membranes,-0.03027014620602131
118,dotted,-0.08389269560575485
