layer,unit,description,similarity,sim correlation
classifier[4],0,tree,0.23895264,0.33378979563713074
classifier[4],1,pasture,0.18359375,0.32906436920166016
classifier[4],2,dinnerware,0.18936157,0.21052776277065277
classifier[4],3,motorized,0.1666565,0.11426341533660889
classifier[4],4,apple,0.31826782,0.24563831090927124
classifier[4],5,furnishings,0.1513977,0.1899174153804779
classifier[4],6,bee,0.19650269,0.2825591266155243
classifier[4],7,tree,0.21688843,0.3544982373714447
classifier[4],8,chair,0.535553,0.26654091477394104
classifier[4],9,goblet,0.38961792,0.2066321074962616
classifier[4],10,poppy,0.18322754,0.1332227736711502
classifier[4],11,bee,0.32458496,0.2850862443447113
classifier[4],12,orchid,0.3786316,0.19501455128192902
classifier[4],13,camel,0.19863892,0.22414615750312805
classifier[4],14,apple,0.22415161,0.18921391665935516
classifier[4],15,trucks,0.16796875,0.2663297951221466
classifier[4],16,flowers,0.25793457,0.3955148458480835
classifier[4],17,apples,0.20697021,0.2592581510543823
classifier[4],18,dinnerware,0.22769165,0.17494553327560425
classifier[4],19,sunflower,0.38980103,0.2693919539451599
classifier[4],20,buses,0.14715576,0.220831960439682
classifier[4],21,infant,0.16934204,0.27495476603507996
classifier[4],22,peppers,0.30581665,0.2331101894378662
classifier[4],23,tableware,0.098724365,0.19845226407051086
classifier[4],24,trucks,0.19815063,0.23990756273269653
classifier[4],25,trucks,0.27947998,0.17685599625110626
classifier[4],26,goblet,0.18658447,0.16993862390518188
classifier[4],27,canned,0.1675415,0.15277515351772308
classifier[4],28,peppers,0.3493042,0.26287707686424255
classifier[4],29,fish,0.17785645,0.23473724722862244
classifier[4],30,whale,0.1630249,0.15049132704734802
classifier[4],31,house,0.25668335,0.2694726586341858
classifier[4],32,cans,0.16708374,0.223951518535614
classifier[4],33,orchid,0.2348938,0.1968352049589157
classifier[4],34,trees,0.23031616,0.3279578387737274
classifier[4],35,stools,0.13476562,0.053808655589818954
classifier[4],36,camel,0.16845703,0.2059231400489807
classifier[4],37,snake,0.2579956,0.22112391889095306
classifier[4],38,camel,0.26794434,0.1717446893453598
classifier[4],39,nimh,0.18106079,0.04399590939283371
classifier[4],40,lion,0.27975464,0.3082214593887329
classifier[4],41,infant,0.16601562,0.15634140372276306
classifier[4],42,chair,0.13275146,0.17413870990276337
classifier[4],43,butterfly,0.21820068,0.22216109931468964
classifier[4],44,apple,0.19476318,0.21461233496665955
classifier[4],45,tree,0.23605347,0.4085232615470886
classifier[4],46,palm,0.2802124,0.33386728167533875
classifier[4],47,camel,0.24942017,0.18817034363746643
classifier[4],48,bovine,0.0869751,0.14609210193157196
classifier[4],49,wolf,0.18936157,0.22152374684810638
classifier[4],50,bottle,0.25653076,0.22761929035186768
classifier[4],51,dinnerware,0.2215271,0.16064982116222382
classifier[4],52,lamp,0.21817017,0.12467686086893082
classifier[4],53,beetle,0.33255005,0.32951411604881287
classifier[4],54,crab,0.19052124,0.2342718094587326
classifier[4],55,trucks,0.10873413,0.2794032096862793
classifier[4],56,roses,0.24191284,0.2985723614692688
classifier[4],57,trolley,0.2687683,0.28980526328086853
classifier[4],58,partition,0.08010864,-0.09068212658166885
classifier[4],59,buses,0.39886475,0.2884528338909149
classifier[4],60,dolphins,0.28164673,0.10775303095579147
classifier[4],61,otter,0.16033936,0.1157173290848732
classifier[4],62,caterpillar,0.11129761,0.02654736302793026
classifier[4],63,bee,0.24346924,0.2984110414981842
classifier[4],64,dolphins,0.18527222,0.20792146027088165
classifier[4],65,tree,0.2555542,0.2661236524581909
classifier[4],66,trucks,0.3711853,0.283324658870697
classifier[4],67,wildlife,0.12615967,0.4196675419807434
classifier[4],68,tiger,0.2142334,0.31019267439842224
classifier[4],69,beetle,0.23803711,0.20188263058662415
classifier[4],70,rat,0.17388916,0.2354287952184677
classifier[4],71,bear,0.2052002,0.14205272495746613
classifier[4],72,castles,0.20373535,0.1880069524049759
classifier[4],73,fish,0.14474487,0.19064684212207794
classifier[4],74,motorcycle,0.38415527,0.29246947169303894
classifier[4],75,beetle,0.15710449,0.2131737917661667
classifier[4],76,goblet,0.46826172,0.21516908705234528
classifier[4],77,tractor,0.2489624,0.06930021941661835
classifier[4],78,trees,0.24517822,0.4586351215839386
classifier[4],79,bee,0.26931763,0.13718241453170776
classifier[4],80,dresser,0.34310913,0.30076995491981506
classifier[4],81,rabbit,0.1796875,0.26655319333076477
classifier[4],82,squirrel,0.13848877,0.31431278586387634
classifier[4],83,house,0.2857666,0.3567434847354889
classifier[4],84,phonephone,0.2420044,0.2572072744369507
classifier[4],85,dinnerware,0.13220215,0.1717360019683838
classifier[4],86,wolf,0.16308594,0.2569258213043213
classifier[4],87,leopard,0.15844727,0.2898588478565216
