layer,unit,description,similarity,sim correlation
features[43],0,bed,0.3514099,0.21009764075279236
features[43],1,clouds,0.20263672,0.30545711517333984
features[43],2,fishing,0.18536377,0.1980421543121338
features[43],3,turtle,0.24926758,0.32308974862098694
features[43],4,lamps,0.13839722,0.3121078908443451
features[43],5,bridge,0.21130371,0.40413999557495117
features[43],6,badger,0.11834717,0.0653485357761383
features[43],7,goblet,0.4236145,0.23582132160663605
features[43],8,fall,0.16964722,0.043966200202703476
features[43],9,whales,0.30963135,0.257616251707077
features[43],10,bowl,0.18237305,0.16521435976028442
features[43],11,infant,0.25411987,0.30056408047676086
features[43],12,goblet,0.18811035,0.20183144509792328
features[43],13,castles,0.3475952,0.36594173312187195
features[43],14,squirrel,0.23812866,0.2519916892051697
features[43],15,bunny,0.1411438,0.16423769295215607
features[43],16,bears,0.1274414,0.1360544115304947
features[43],17,trees,0.14697266,0.004615923389792442
features[43],18,trains,0.17858887,0.3337138295173645
features[43],19,bridge,0.22796631,0.3241408169269562
features[43],20,handset,0.29776,0.27515852451324463
features[43],21,bear,0.22662354,0.2252064347267151
features[43],22,coastline,0.13412476,0.31456875801086426
features[43],23,squirrel,0.1578064,0.3800434172153473
features[43],24,seal,0.1619873,0.3137820363044739
features[43],25,bangbus,0.20794678,0.2341732531785965
features[43],26,apple,0.19104004,0.23398791253566742
features[43],27,beds,0.13571167,0.1733226180076599
features[43],28,huskies,0.2819214,0.15694019198417664
features[43],29,quickbooks,0.092681885,-0.05000747740268707
features[43],30,palm,0.14379883,0.28900763392448425
features[43],31,kangaroo,0.23184204,0.28084537386894226
features[43],32,rabbit,0.34490967,0.42126932740211487
features[43],33,lion,0.23806763,0.3750786781311035
features[43],34,trains,0.15213013,0.33009588718414307
features[43],35,elephants,0.18756104,0.1810772567987442
features[43],36,seals,0.16818237,0.35211360454559326
features[43],37,bowl,0.15454102,0.12297850102186203
features[43],38,badger,0.08648682,0.10684303939342499
features[43],39,daughter,0.11999512,0.24056199193000793
features[43],40,bovine,0.19857788,0.3184625506401062
features[43],41,buses,0.1539917,0.1416521817445755
features[43],42,badger,0.117889404,0.0932738408446312
features[43],43,lizard,0.22528076,0.46132221817970276
features[43],44,bee,0.23376465,0.2924596071243286
features[43],45,trolley,0.23248291,0.3289777636528015
features[43],46,seals,0.20584106,0.3268241584300995
features[43],47,crab,0.11340332,0.30881908535957336
features[43],48,tree,0.18585205,0.0458151251077652
features[43],49,tree,0.21511841,0.23106031119823456
features[43],50,rat,0.19073486,0.3183971345424652
features[43],51,clock,0.11331177,0.2143409103155136
features[43],52,sunset,0.11114502,0.17124105989933014
features[43],53,squirrel,0.28237915,0.30982962250709534
features[43],54,butterfly,0.2640686,0.2535291016101837
features[43],55,dolphins,0.23324585,0.18974478542804718
features[43],56,keyboard,0.17974854,0.35515981912612915
features[43],57,camel,0.2710266,0.27287426590919495
features[43],58,orange,0.32299805,0.2522936463356018
features[43],59,acorn,0.19207764,0.195766881108284
features[43],60,roach,0.10601807,0.31320494413375854
features[43],61,reptiles,0.15267944,0.4920080006122589
features[43],62,shark,0.184906,0.2238868623971939
features[43],63,fish,0.23626709,0.3192242980003357
features[43],64,sunset,0.22747803,0.2533504366874695
features[43],65,tree,0.3534851,0.32546159625053406
features[43],66,seal,0.16131592,0.28712889552116394
features[43],67,rat,0.17132568,0.25094273686408997
features[43],68,shark,0.1807251,0.1862206608057022
features[43],69,acorn,0.19299316,0.1314908117055893
features[43],70,beetle,0.30130005,0.4287947714328766
features[43],71,railway,0.25881958,0.2614198625087738
features[43],72,trout,0.2644043,0.3166874349117279
features[43],73,castles,0.32644653,0.28493669629096985
features[43],74,kid,0.13192749,0.32613086700439453
features[43],75,rat,0.24563599,0.32259172201156616
features[43],76,lizard,0.19024658,0.3569208085536957
features[43],77,bovine,0.27386475,0.23341162502765656
features[43],78,crocodile,0.15945435,0.20450282096862793
features[43],79,otter,0.14846802,0.370879590511322
features[43],80,fields,0.1880188,0.22488956153392792
features[43],81,lions,0.09820557,0.11440115422010422
features[43],82,quickbooks,0.090545654,-0.004062962718307972
features[43],83,furniture,0.33596802,0.45042508840560913
features[43],84,poppy,0.22732544,0.2523852586746216
features[43],85,seals,0.17642212,0.33993178606033325
features[43],86,townhouse,0.18762207,0.20862887799739838
features[43],87,guinea,0.14385986,0.06002496927976608
features[43],88,mushrooms,0.17251587,0.25642532110214233
features[43],89,caterpillar,0.21670532,0.25114932656288147
features[43],90,infant,0.16558838,0.3461192548274994
features[43],91,trolley,0.13574219,0.2634972035884857
features[43],92,crocodile,0.13977051,0.28768500685691833
features[43],93,seal,0.121398926,0.2698121666908264
features[43],94,seal,0.16918945,0.18985392153263092
features[43],95,bovine,0.2524109,0.27026134729385376
features[43],96,tree,0.13131714,0.26895567774772644
features[43],97,bovine,0.1503601,0.29565221071243286
features[43],98,bed,0.1643982,0.14698654413223267
features[43],99,dolphins,0.3110962,0.39296770095825195
features[43],100,beds,0.19070435,0.2364446371793747
features[43],101,shark,0.21365356,0.20115043222904205
features[43],102,tree,0.37020874,0.5852746963500977
features[43],103,tractors,0.15081787,0.1737777292728424
features[43],104,otter,0.13879395,0.19049648940563202
features[43],105,camel,0.44274902,0.32938170433044434
features[43],106,dolphins,0.29333496,0.1963258534669876
features[43],107,bunny,0.18823242,0.19615592062473297
features[43],108,monkey,0.11853027,0.327436238527298
features[43],109,bridge,0.11856079,0.24605587124824524
features[43],110,shark,0.17193604,0.45600879192352295
features[43],111,spider,0.25701904,0.3388803005218506
features[43],112,whale,0.23391724,0.2617851495742798
features[43],113,turtle,0.21398926,0.2484915852546692
features[43],114,peppers,0.30444336,0.3174784183502197
features[43],115,roses,0.1222229,0.22673337161540985
features[43],116,sunset,0.16674805,0.22124986350536346
features[43],117,squirrel,0.091278076,0.2736501097679138
features[43],118,rat,0.30596924,0.5103772878646851
features[43],119,crocodile,0.1359253,0.167489156126976
features[43],120,infant,0.24560547,0.1626395285129547
features[43],121,otter,0.16921997,0.3898756206035614
features[43],122,fisherman,0.1347351,0.25383830070495605
features[43],123,bears,0.1458435,0.10512793809175491
features[43],124,trains,0.21621704,0.2743992805480957
features[43],125,buses,0.32629395,0.30379971861839294
features[43],126,spider,0.2015686,0.36333054304122925
features[43],127,camel,0.24862671,0.26122069358825684
features[43],128,poppy,0.12799072,0.14008715748786926
features[43],129,bunny,0.08544922,0.1849619746208191
features[43],130,dinnerware,0.23703003,0.26592308282852173
features[43],131,shark,0.19433594,0.30112576484680176
features[43],132,beyonce,0.11618042,0.2605303227901459
features[43],133,bear,0.22265625,0.20378656685352325
features[43],134,bridges,0.24572754,0.34853991866111755
features[43],135,tank,0.09609985,0.23180443048477173
features[43],136,trolley,0.2515564,0.3249923288822174
features[43],137,apple,0.35110474,0.28992047905921936
features[43],138,lion,0.32736206,0.3326057493686676
features[43],139,squirrel,0.131073,0.23228006064891815
features[43],140,bear,0.11782837,0.19876019656658173
features[43],141,beaver,0.16830444,0.28681686520576477
features[43],142,underwater,0.18936157,0.17909088730812073
features[43],143,camel,0.29763794,0.26090681552886963
features[43],144,sunset,0.15023804,0.17249776422977448
features[43],145,canned,0.24899292,0.2687670886516571
features[43],146,snake,0.14538574,0.1805824190378189
features[43],147,tulip,0.18115234,0.19964730739593506
features[43],148,trains,0.22000122,0.23362261056900024
features[43],149,badger,0.11941528,0.1697758138179779
features[43],150,kangaroo,0.31817627,0.38997218012809753
features[43],151,phonephone,0.18582153,0.20378915965557098
features[43],152,trees,0.16247559,0.1583443582057953
features[43],153,insects,0.1807251,0.4867062568664551
features[43],154,badger,0.17373657,0.26868847012519836
features[43],155,rabbit,0.21780396,0.16241757571697235
features[43],156,fox,0.20455933,0.21353097259998322
features[43],157,bed,0.25421143,0.15561965107917786
features[43],158,townhouse,0.21020508,0.21316955983638763
features[43],159,tree,0.13589478,0.09689023345708847
features[43],160,camel,0.1645813,0.24531950056552887
features[43],161,bovine,0.28894043,0.24112488329410553
features[43],162,tulip,0.246521,0.2589481472969055
features[43],163,kangaroo,0.3494568,0.34472647309303284
