layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_10,0,stripe,0.1312561,0.027712415903806686
encoder.layers.encoder_layer_10,1,daisy,0.1531372,0.10245954990386963
encoder.layers.encoder_layer_10,2,hatchback,0.22973633,0.16000600159168243
encoder.layers.encoder_layer_10,3,sunset,0.18283081,0.12168455123901367
encoder.layers.encoder_layer_10,4,field,0.14242554,0.07266983389854431
encoder.layers.encoder_layer_10,5,bedrooms,0.57229614,0.13967877626419067
encoder.layers.encoder_layer_10,6,stripes,0.24081421,-0.027633043006062508
encoder.layers.encoder_layer_10,7,web,0.25228882,-0.010434485971927643
encoder.layers.encoder_layer_10,8,sewer,0.17294312,0.052970435470342636
encoder.layers.encoder_layer_10,9,juvenile,0.15124512,0.11795000731945038
encoder.layers.encoder_layer_10,10,snowy,0.2770691,0.18465359508991241
encoder.layers.encoder_layer_10,11,bedrooms,0.2508545,0.07427074015140533
encoder.layers.encoder_layer_10,12,nemo,0.14614868,0.14117327332496643
encoder.layers.encoder_layer_10,13,textile,0.17404175,0.1751651018857956
encoder.layers.encoder_layer_10,14,sewer,0.25326538,0.07225311547517776
encoder.layers.encoder_layer_10,15,fox,0.07583618,0.025242023169994354
encoder.layers.encoder_layer_10,16,substrates,0.11505127,0.05789772421121597
encoder.layers.encoder_layer_10,17,mating,0.35409546,0.28599634766578674
encoder.layers.encoder_layer_10,18,crossword,0.16622925,0.04778306558728218
encoder.layers.encoder_layer_10,19,curtains,0.17852783,0.0459628663957119
encoder.layers.encoder_layer_10,20,grid,0.23794556,0.08787702769041061
encoder.layers.encoder_layer_10,21,juvenile,0.22387695,0.1107536032795906
encoder.layers.encoder_layer_10,22,crossword,0.16143799,0.05970503017306328
encoder.layers.encoder_layer_10,23,lattice,0.24258423,0.05088392272591591
encoder.layers.encoder_layer_10,24,snowboarding,0.23413086,0.06719675660133362
encoder.layers.encoder_layer_10,25,fungi,0.3251953,0.16029396653175354
encoder.layers.encoder_layer_10,26,zebra,0.13317871,-0.019489319995045662
encoder.layers.encoder_layer_10,27,juvenile,0.15649414,0.14623527228832245
encoder.layers.encoder_layer_10,28,butterfly,0.38226318,0.20692209899425507
encoder.layers.encoder_layer_10,29,airborne,0.17510986,0.11952222883701324
encoder.layers.encoder_layer_10,30,sewer,0.22634888,0.0933133140206337
encoder.layers.encoder_layer_10,31,garrison,0.13796997,-0.042686693370342255
encoder.layers.encoder_layer_10,32,railways,0.15011597,0.0842730924487114
encoder.layers.encoder_layer_10,33,zebra,0.5206909,0.10791093856096268
encoder.layers.encoder_layer_10,34,swimming,0.13275146,0.12390100210905075
encoder.layers.encoder_layer_10,35,airborne,0.13995361,0.043930597603321075
encoder.layers.encoder_layer_10,36,webs,0.27404785,0.07548996806144714
encoder.layers.encoder_layer_10,37,dotted,0.39562988,0.03931489214301109
encoder.layers.encoder_layer_10,38,female,0.4099121,-0.0030260004568845034
encoder.layers.encoder_layer_10,39,whistler,0.27676392,0.05384315550327301
encoder.layers.encoder_layer_10,40,specimen,0.18972778,0.08244863897562027
encoder.layers.encoder_layer_10,41,fungi,0.49221802,0.16975194215774536
encoder.layers.encoder_layer_10,42,zebra,0.71939087,0.08033207058906555
encoder.layers.encoder_layer_10,43,auditorium,0.12936401,0.07404034584760666
encoder.layers.encoder_layer_10,44,stripes,0.34735107,0.11067918688058853
encoder.layers.encoder_layer_10,45,covers,0.11904907,0.09372790902853012
encoder.layers.encoder_layer_10,46,participant,0.119903564,-0.031083334237337112
encoder.layers.encoder_layer_10,47,volcano,0.19692993,0.05855293944478035
encoder.layers.encoder_layer_10,48,aa,0.19927979,-0.005233745090663433
encoder.layers.encoder_layer_10,49,sewer,0.21820068,0.10004056245088577
encoder.layers.encoder_layer_10,50,mating,0.10391235,0.013770723715424538
encoder.layers.encoder_layer_10,51,plaques,0.19223022,0.03512445092201233
encoder.layers.encoder_layer_10,52,leopard,0.23596191,0.0960419550538063
encoder.layers.encoder_layer_10,53,trees,0.16723633,0.052324190735816956
encoder.layers.encoder_layer_10,54,snorkeling,0.29516602,0.12313947081565857
encoder.layers.encoder_layer_10,55,puzzle,0.13302612,0.04606706649065018
encoder.layers.encoder_layer_10,56,specimen,0.36465454,0.14051638543605804
encoder.layers.encoder_layer_10,57,snowboarding,0.16973877,0.07529431581497192
encoder.layers.encoder_layer_10,58,wildlife,0.2225647,0.25397974252700806
encoder.layers.encoder_layer_10,59,fields,0.3138733,0.07207116484642029
encoder.layers.encoder_layer_10,60,crossword,0.39770508,0.10835589468479156
encoder.layers.encoder_layer_10,61,maze,0.1552124,0.08537162840366364
encoder.layers.encoder_layer_10,62,carisoprodol,0.33410645,0.008188123814761639
encoder.layers.encoder_layer_10,63,daisy,0.12762451,-0.004679061006754637
encoder.layers.encoder_layer_10,64,fences,0.112091064,0.05618203431367874
encoder.layers.encoder_layer_10,65,zebra,0.17532349,0.09992144256830215
encoder.layers.encoder_layer_10,66,granite,0.17477417,0.022415585815906525
encoder.layers.encoder_layer_10,67,dermatology,0.14886475,-0.020067401230335236
encoder.layers.encoder_layer_10,68,keyboard,0.12820435,0.14754921197891235
encoder.layers.encoder_layer_10,69,habitat,0.2383728,0.2905259132385254
encoder.layers.encoder_layer_10,70,flamingo,0.17834473,0.04849028214812279
encoder.layers.encoder_layer_10,71,ascii,0.19155884,0.07815110683441162
encoder.layers.encoder_layer_10,72,birding,0.18704224,0.13058115541934967
encoder.layers.encoder_layer_10,73,keyboard,0.4194641,0.16033369302749634
encoder.layers.encoder_layer_10,74,sewer,0.19949341,0.12361139804124832
encoder.layers.encoder_layer_10,75,lines,0.162323,0.03169767186045647
encoder.layers.encoder_layer_10,76,ceiling,0.22097778,0.11967329680919647
encoder.layers.encoder_layer_10,77,snowmobile,0.20257568,0.06181234493851662
encoder.layers.encoder_layer_10,78,snowmobile,0.19631958,0.08759675920009613
encoder.layers.encoder_layer_10,79,maize,0.34347534,0.11906930059194565
encoder.layers.encoder_layer_10,80,monarch,0.20211792,0.07615173608064651
encoder.layers.encoder_layer_10,81,ceilings,0.17807007,0.0965818539261818
encoder.layers.encoder_layer_10,82,juvenile,0.18078613,0.0683487132191658
encoder.layers.encoder_layer_10,83,rot,0.1973877,0.00829209666699171
encoder.layers.encoder_layer_10,84,specimen,0.2885437,0.11551477760076523
encoder.layers.encoder_layer_10,85,carisoprodol,0.24468994,0.00981251522898674
encoder.layers.encoder_layer_10,86,dashboard,0.07797241,0.03898068144917488
encoder.layers.encoder_layer_10,87,birding,0.26541138,0.2891366183757782
encoder.layers.encoder_layer_10,88,dotted,0.45510864,0.06685936450958252
encoder.layers.encoder_layer_10,89,flower,0.25369263,0.13557696342468262
encoder.layers.encoder_layer_10,90,alps,0.33694458,0.0883958637714386
encoder.layers.encoder_layer_10,91,keyboard,0.19891357,0.10108110308647156
encoder.layers.encoder_layer_10,92,juvenile,0.2939148,0.12004467099905014
encoder.layers.encoder_layer_10,93,daisy,0.25369263,0.18209907412528992
encoder.layers.encoder_layer_10,94,zebra,0.24481201,0.08312937617301941
encoder.layers.encoder_layer_10,95,mating,0.36721802,0.17621451616287231
encoder.layers.encoder_layer_10,96,fungi,0.28030396,0.14654067158699036
encoder.layers.encoder_layer_10,97,suspended,0.1098938,-0.027120215818285942
encoder.layers.encoder_layer_10,98,hostels,0.15066528,0.08227387815713882
encoder.layers.encoder_layer_10,99,blinds,0.25,0.10542473196983337
encoder.layers.encoder_layer_10,100,female,0.18408203,0.0339609794318676
encoder.layers.encoder_layer_10,101,melanoma,0.11831665,0.0037465004716068506
encoder.layers.encoder_layer_10,102,keyboard,0.32724,0.10183985531330109
encoder.layers.encoder_layer_10,103,specimen,0.37469482,0.12013503909111023
encoder.layers.encoder_layer_10,104,barcode,0.17449951,0.060899049043655396
encoder.layers.encoder_layer_10,105,textile,0.15737915,0.12567533552646637
encoder.layers.encoder_layer_10,106,dark,0.19845581,0.026701098307967186
encoder.layers.encoder_layer_10,107,juvenile,0.29867554,0.15098892152309418
encoder.layers.encoder_layer_10,108,wetland,0.34140015,0.14703786373138428
encoder.layers.encoder_layer_10,109,redhead,0.15435791,0.04111621156334877
encoder.layers.encoder_layer_10,110,sofas,0.09933472,0.058051735162734985
encoder.layers.encoder_layer_10,111,textile,0.14529419,0.06601616740226746
encoder.layers.encoder_layer_10,112,squash,0.16680908,0.10804641991853714
encoder.layers.encoder_layer_10,113,daisy,0.2987671,0.028813717886805534
encoder.layers.encoder_layer_10,114,grid,0.23007202,0.0562160424888134
encoder.layers.encoder_layer_10,115,trees,0.24057007,0.24589265882968903
encoder.layers.encoder_layer_10,116,checker,0.24829102,0.0408901572227478
encoder.layers.encoder_layer_10,117,fields,0.31652832,0.08344916254281998
encoder.layers.encoder_layer_10,118,flamingo,0.11502075,0.06844302266836166
encoder.layers.encoder_layer_10,119,textile,0.22744751,0.11047112941741943
encoder.layers.encoder_layer_10,120,condemned,0.11352539,0.01783980056643486
encoder.layers.encoder_layer_10,121,textile,0.19467163,0.08381813764572144
encoder.layers.encoder_layer_10,122,carisoprodol,0.1574707,0.023440949618816376
encoder.layers.encoder_layer_10,123,cradle,0.14871216,0.1061323955655098
encoder.layers.encoder_layer_10,124,fungi,0.41622925,0.18845337629318237
encoder.layers.encoder_layer_10,125,brochure,0.3164673,0.13938008248806
encoder.layers.encoder_layer_10,126,interiors,0.3861084,0.2392537146806717
encoder.layers.encoder_layer_10,127,carisoprodol,0.1882019,0.031089266762137413
encoder.layers.encoder_layer_10,128,adult,0.3647766,-0.023133980110287666
encoder.layers.encoder_layer_10,129,furnished,0.15786743,0.048783861100673676
encoder.layers.encoder_layer_10,130,embryo,0.2164917,0.03363388776779175
encoder.layers.encoder_layer_10,131,buildings,0.34951782,0.11728450655937195
encoder.layers.encoder_layer_10,132,turtle,0.3580017,0.119252048432827
