layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_11.mlp[1],0,fishing,0.50512695,0.3388427793979645
encoder.layers.encoder_layer_11.mlp[1],1,terrier,0.6083374,0.30902940034866333
encoder.layers.encoder_layer_11.mlp[1],2,terrier,0.45083618,0.07994422316551208
encoder.layers.encoder_layer_11.mlp[1],3,trucks,0.4755249,0.48566457629203796
encoder.layers.encoder_layer_11.mlp[1],4,mating,0.59381104,0.05909116566181183
encoder.layers.encoder_layer_11.mlp[1],5,brittany,0.1381836,-0.00617199158295989
encoder.layers.encoder_layer_11.mlp[1],6,wall,0.3265686,0.04102109372615814
encoder.layers.encoder_layer_11.mlp[1],7,purse,0.3199463,0.14491882920265198
encoder.layers.encoder_layer_11.mlp[1],8,beer,0.45809937,0.6157696843147278
encoder.layers.encoder_layer_11.mlp[1],9,crowds,0.26831055,0.09343195706605911
encoder.layers.encoder_layer_11.mlp[1],10,edgar,0.37127686,0.06317096203565598
encoder.layers.encoder_layer_11.mlp[1],11,tackles,0.26763916,0.5319013595581055
encoder.layers.encoder_layer_11.mlp[1],12,carnival,0.13763428,-0.014659643173217773
encoder.layers.encoder_layer_11.mlp[1],13,refrigerator,0.6789551,0.6860802173614502
encoder.layers.encoder_layer_11.mlp[1],14,laminate,0.20956421,-0.07319461554288864
encoder.layers.encoder_layer_11.mlp[1],15,sparrow,0.62789917,0.22267495095729828
encoder.layers.encoder_layer_11.mlp[1],16,fishing,0.38659668,0.1011960506439209
encoder.layers.encoder_layer_11.mlp[1],17,cordless,0.35855103,0.14780890941619873
encoder.layers.encoder_layer_11.mlp[1],18,arcade,0.31323242,0.19762131571769714
encoder.layers.encoder_layer_11.mlp[1],19,pocketpc,0.33380127,0.19433537125587463
encoder.layers.encoder_layer_11.mlp[1],20,birding,0.5219116,0.20715823769569397
encoder.layers.encoder_layer_11.mlp[1],21,purse,0.6727295,0.5256373882293701
encoder.layers.encoder_layer_11.mlp[1],22,terrier,0.5178528,0.2432870715856552
encoder.layers.encoder_layer_11.mlp[1],23,wildlife,0.3663025,0.022584859281778336
encoder.layers.encoder_layer_11.mlp[1],24,thresholds,0.17294312,-0.010729804635047913
encoder.layers.encoder_layer_11.mlp[1],25,bedrooms,0.44360352,0.038677748292684555
encoder.layers.encoder_layer_11.mlp[1],26,depot,0.3771057,0.1844579577445984
encoder.layers.encoder_layer_11.mlp[1],27,holster,0.42227173,0.46348264813423157
encoder.layers.encoder_layer_11.mlp[1],28,tractors,0.70251465,0.6003547310829163
encoder.layers.encoder_layer_11.mlp[1],29,birding,0.5475769,0.24200986325740814
encoder.layers.encoder_layer_11.mlp[1],30,cookware,0.49575806,0.3793199360370636
encoder.layers.encoder_layer_11.mlp[1],31,bloodhound,0.45217896,0.026502670720219612
encoder.layers.encoder_layer_11.mlp[1],32,fruits,0.11392212,0.04189204424619675
encoder.layers.encoder_layer_11.mlp[1],33,doll,0.234375,0.22085601091384888
encoder.layers.encoder_layer_11.mlp[1],34,pens,0.35943604,0.38981354236602783
encoder.layers.encoder_layer_11.mlp[1],35,puppy,0.3253479,0.06462117284536362
encoder.layers.encoder_layer_11.mlp[1],36,puppy,0.41342163,0.03289772570133209
encoder.layers.encoder_layer_11.mlp[1],37,underground,0.20657349,-0.05488111823797226
encoder.layers.encoder_layer_11.mlp[1],38,basename,0.34005737,-0.0023226405028253794
encoder.layers.encoder_layer_11.mlp[1],39,trumpet,0.63586426,0.7531049251556396
encoder.layers.encoder_layer_11.mlp[1],40,packaging,0.31478882,0.07519552111625671
encoder.layers.encoder_layer_11.mlp[1],41,dinnerware,0.45870972,0.07450782507658005
encoder.layers.encoder_layer_11.mlp[1],42,terrier,0.40603638,0.14915043115615845
encoder.layers.encoder_layer_11.mlp[1],43,frameworks,0.18869019,-0.013234985992312431
encoder.layers.encoder_layer_11.mlp[1],44,interiors,0.10662842,0.05253249406814575
encoder.layers.encoder_layer_11.mlp[1],45,valley,0.36309814,0.4602702856063843
encoder.layers.encoder_layer_11.mlp[1],46,chestnut,0.4076538,0.4294695556163788
encoder.layers.encoder_layer_11.mlp[1],47,cooking,0.34924316,0.04988012835383415
encoder.layers.encoder_layer_11.mlp[1],48,shellfish,0.30603027,0.07153794914484024
encoder.layers.encoder_layer_11.mlp[1],49,juvenile,0.3968811,0.050401076674461365
encoder.layers.encoder_layer_11.mlp[1],50,deskjet,0.20941162,-0.02773255854845047
encoder.layers.encoder_layer_11.mlp[1],51,foods,0.33929443,-0.047406841069459915
encoder.layers.encoder_layer_11.mlp[1],52,dorm,0.19662476,-0.014551411382853985
encoder.layers.encoder_layer_11.mlp[1],53,rake,0.2428894,0.08429788798093796
encoder.layers.encoder_layer_11.mlp[1],54,torch,0.21435547,0.00413981219753623
