layer,unit,description,similarity,sim correlation
encoder,0,social,0.15661621,0.038037579506635666
encoder,1,showroom,0.11480713,0.04489642754197121
encoder,2,street,0.29299927,0.020699286833405495
encoder,3,street,0.1015625,-0.010029952973127365
encoder,4,kitchen,0.21444702,0.01757366582751274
encoder,5,juvenile,0.08477783,-0.02052958495914936
encoder,6,social,0.125,-0.0031865721102803946
encoder,7,courtyard,0.123687744,0.07267433404922485
encoder,8,aggregate,0.12271118,-0.035911813378334045
encoder,9,tapestry,0.081451416,0.01966334693133831
encoder,10,skyline,0.20056152,0.06258898228406906
encoder,11,exhibitors,0.09158325,0.04283040761947632
encoder,12,quilts,0.081848145,0.040409330278635025
encoder,13,bedrooms,0.3034973,0.0771593227982521
encoder,14,chapel,0.097717285,0.054254431277513504
encoder,15,bathroom,0.12509155,0.024560995399951935
encoder,16,textile,0.1352539,0.05222928896546364
encoder,17,faucets,0.0692749,0.026630133390426636
encoder,18,kitchen,0.099823,0.049983467906713486
encoder,19,corridor,0.18884277,0.04716392233967781
encoder,20,airports,0.069366455,0.029165996238589287
encoder,21,constituency,0.08520508,0.018788062036037445
encoder,22,blankets,0.06060791,0.010281614027917385
encoder,23,ferries,0.09719849,0.051807064563035965
encoder,24,python,0.056732178,0.06527930498123169
encoder,25,kitchens,0.10913086,0.04895218089222908
encoder,26,social,0.15484619,0.007185325026512146
encoder,27,cookbooks,0.1468811,0.00716357072815299
encoder,28,furnished,0.10821533,0.008996407501399517
encoder,29,kitchen,0.16140747,0.03801598399877548
encoder,30,appliances,0.1048584,0.014887584373354912
encoder,31,rot,0.1458435,-0.011867147870361805
encoder,32,mating,0.18154907,0.08599971979856491
encoder,33,cookbooks,0.14834595,0.007133631035685539
encoder,34,dresser,0.08786011,0.03752380609512329
encoder,35,bedrooms,0.3136902,0.08516108244657516
encoder,36,guadeloupe,0.09939575,0.003763505257666111
encoder,37,hiking,0.103881836,0.04317145794630051
encoder,38,patterns,0.055786133,0.020256895571947098
encoder,39,chef,0.13613892,0.031367551535367966
encoder,40,pillow,0.052734375,0.010226279497146606
encoder,41,eggs,0.085235596,0.0188217181712389
encoder,42,aftermarket,0.09698486,0.017394980415701866
encoder,43,vendor,0.106781006,0.04375387355685234
encoder,44,cookbooks,0.15151978,0.042268507182598114
encoder,45,bureau,0.10571289,0.016428466886281967
encoder,46,furnished,0.15216064,0.054387643933296204
encoder,47,burt,0.05645752,0.01292099803686142
encoder,48,ironing,0.075164795,0.03490939736366272
encoder,49,newsroom,0.1043396,0.005369017831981182
encoder,50,biodiversity,0.09210205,0.032534003257751465
encoder,51,cord,0.07330322,0.02756020985543728
encoder,52,social,0.10598755,-0.018766013905405998
encoder,53,travestis,0.047332764,0.04443410411477089
encoder,54,clerks,0.10971069,0.006961978040635586
encoder,55,patches,0.076934814,-0.010552875697612762
encoder,56,soils,0.11715698,0.0138745391741395
encoder,57,refrigerators,0.12414551,0.03809589520096779
encoder,58,habitat,0.08679199,0.01528190542012453
encoder,59,oem,0.11251831,0.05116330459713936
encoder,60,fundraiser,0.122406006,0.008136161603033543
encoder,61,textile,0.30541992,0.037325020879507065
encoder,62,minimal,0.1187439,0.021072445437312126
encoder,63,transsexual,0.07901001,0.014728611335158348
encoder,64,pavilion,0.14007568,0.013960523530840874
encoder,65,libya,0.12145996,0.011794263496994972
encoder,66,masonry,0.13632202,0.03103097714483738
encoder,67,corridors,0.10549927,-0.0062811304815113544
encoder,68,charcoal,0.06906128,0.05283689498901367
encoder,69,scooters,0.089904785,0.06893675774335861
encoder,70,cooking,0.2843933,0.10968336462974548
encoder,71,chefs,0.12988281,0.06958049535751343
encoder,72,sofas,0.04788208,0.045268889516592026
encoder,73,kitchens,0.2518921,0.04142956808209419
encoder,74,inspectors,0.05343628,0.01982739008963108
encoder,75,striped,0.24380493,0.04425756633281708
encoder,76,grandchildren,0.07180786,0.037410710006952286
encoder,77,cellar,0.0786438,0.01642981730401516
encoder,78,scholarships,0.12036133,0.025769619271159172
encoder,79,kitchen,0.3553772,0.020353375002741814
encoder,80,street,0.37094116,0.09002910554409027
encoder,81,emerald,0.088653564,0.020046012476086617
encoder,82,badge,0.05819702,0.004280822817236185
encoder,83,clearinghouse,0.10305786,0.016432296484708786
encoder,84,kitchen,0.17214966,0.04498205706477165
encoder,85,farm,0.11529541,0.01605737954378128
encoder,86,highways,0.13165283,-0.008710028603672981
encoder,87,aquaculture,0.060638428,0.012042971327900887
encoder,88,hypnosis,0.09088135,0.009317426942288876
encoder,89,registers,0.10592651,-0.013403235003352165
encoder,90,bedrooms,0.5067444,0.07130537927150726
encoder,91,classrooms,0.21453857,0.007576299831271172
encoder,92,kitchen,0.20111084,0.03051951713860035
encoder,93,culinary,0.08828735,0.020605947822332382
encoder,94,directing,0.07833862,-0.010987754911184311
encoder,95,vaccination,0.06826782,0.012661809101700783
encoder,96,patrons,0.07559204,0.026969630271196365
encoder,97,dog,0.09237671,0.07611826807260513
encoder,98,landscapes,0.09106445,0.02525276504456997
