layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_20.mlp[1],0,tackling,0.13241577,0.026395363733172417
encoder.layers.encoder_layer_20.mlp[1],1,signature,0.17971802,-0.04700050130486488
encoder.layers.encoder_layer_20.mlp[1],2,pattern,0.068359375,0.05452532321214676
encoder.layers.encoder_layer_20.mlp[1],3,signature,0.17913818,-0.046597518026828766
encoder.layers.encoder_layer_20.mlp[1],4,pattern,0.06768799,0.054555099457502365
encoder.layers.encoder_layer_20.mlp[1],5,pattern,0.0680542,0.054539430886507034
encoder.layers.encoder_layer_20.mlp[1],6,specimens,0.15924072,-0.003185922745615244
encoder.layers.encoder_layer_20.mlp[1],7,pattern,0.0680542,0.0545370951294899
encoder.layers.encoder_layer_20.mlp[1],8,pattern,0.06774902,0.05456285551190376
encoder.layers.encoder_layer_20.mlp[1],9,stripe,0.057556152,0.013442621566355228
encoder.layers.encoder_layer_20.mlp[1],10,pattern,0.06756592,0.05457180738449097
encoder.layers.encoder_layer_20.mlp[1],11,pattern,0.06829834,0.05453738942742348
encoder.layers.encoder_layer_20.mlp[1],12,lattice,0.16513062,-0.043157316744327545
encoder.layers.encoder_layer_20.mlp[1],13,pattern,0.06744385,0.05457282438874245
encoder.layers.encoder_layer_20.mlp[1],14,pattern,0.06832886,0.054526761174201965
encoder.layers.encoder_layer_20.mlp[1],15,pattern,0.068359375,0.05469181016087532
encoder.layers.encoder_layer_20.mlp[1],16,pattern,0.0680542,0.05453983321785927
encoder.layers.encoder_layer_20.mlp[1],17,stripe,0.055633545,0.013380602933466434
encoder.layers.encoder_layer_20.mlp[1],18,pattern,0.068481445,0.05450855568051338
encoder.layers.encoder_layer_20.mlp[1],19,pattern,0.058044434,0.0548882819712162
encoder.layers.encoder_layer_20.mlp[1],20,stripe,0.06359863,0.013896389864385128
encoder.layers.encoder_layer_20.mlp[1],21,pattern,0.068603516,0.05449674278497696
encoder.layers.encoder_layer_20.mlp[1],22,pattern,0.062072754,0.054721202701330185
encoder.layers.encoder_layer_20.mlp[1],23,signature,0.17959595,-0.04697719216346741
encoder.layers.encoder_layer_20.mlp[1],24,stripe,0.058898926,0.013389077968895435
encoder.layers.encoder_layer_20.mlp[1],25,pattern,0.06829834,0.05452687665820122
encoder.layers.encoder_layer_20.mlp[1],26,dotted,0.27331543,0.005177727434784174
encoder.layers.encoder_layer_20.mlp[1],27,stripe,0.05517578,0.01365001779049635
encoder.layers.encoder_layer_20.mlp[1],28,pattern,0.06838989,0.0545232817530632
encoder.layers.encoder_layer_20.mlp[1],29,fiberglass,0.18075562,0.05876199156045914
encoder.layers.encoder_layer_20.mlp[1],30,signature,0.17947388,-0.04564587399363518
encoder.layers.encoder_layer_20.mlp[1],31,pattern,0.068481445,0.054530177265405655
encoder.layers.encoder_layer_20.mlp[1],32,pattern,0.066711426,0.05461222305893898
encoder.layers.encoder_layer_20.mlp[1],33,signature,0.18032837,-0.04712346941232681
encoder.layers.encoder_layer_20.mlp[1],34,pattern,0.06781006,0.05455408990383148
encoder.layers.encoder_layer_20.mlp[1],35,pattern,0.06744385,0.05457504093647003
encoder.layers.encoder_layer_20.mlp[1],36,pattern,0.068573,0.05451852083206177
encoder.layers.encoder_layer_20.mlp[1],37,pattern,0.066986084,0.05458289012312889
encoder.layers.encoder_layer_20.mlp[1],38,pattern,0.06768799,0.05456214398145676
encoder.layers.encoder_layer_20.mlp[1],39,pattern,0.06695557,0.054588112980127335
encoder.layers.encoder_layer_20.mlp[1],40,stripe,0.055145264,0.01327538676559925
encoder.layers.encoder_layer_20.mlp[1],41,pattern,0.06768799,0.05455610156059265
encoder.layers.encoder_layer_20.mlp[1],42,pattern,0.06826782,0.054536450654268265
encoder.layers.encoder_layer_20.mlp[1],43,pattern,0.06774902,0.0545584000647068
encoder.layers.encoder_layer_20.mlp[1],44,pattern,0.06652832,0.05462173745036125
encoder.layers.encoder_layer_20.mlp[1],45,pattern,0.06845093,0.05452106520533562
encoder.layers.encoder_layer_20.mlp[1],46,logo,0.19793701,-0.014512716792523861
encoder.layers.encoder_layer_20.mlp[1],47,pattern,0.067352295,0.0545651838183403
encoder.layers.encoder_layer_20.mlp[1],48,dog,0.060577393,-0.019906071946024895
encoder.layers.encoder_layer_20.mlp[1],49,striped,0.1713562,-0.023668821901082993
encoder.layers.encoder_layer_20.mlp[1],50,pattern,0.067596436,0.05455886200070381
encoder.layers.encoder_layer_20.mlp[1],51,pattern,0.06820679,0.054540567100048065
encoder.layers.encoder_layer_20.mlp[1],52,pattern,0.06854248,0.05452370271086693
encoder.layers.encoder_layer_20.mlp[1],53,pattern,0.06719971,0.05457434803247452
encoder.layers.encoder_layer_20.mlp[1],54,pattern,0.06774902,0.054551951587200165
encoder.layers.encoder_layer_20.mlp[1],55,pattern,0.066711426,0.054619137197732925
encoder.layers.encoder_layer_20.mlp[1],56,signature,0.18032837,-0.04712915048003197
encoder.layers.encoder_layer_20.mlp[1],57,pattern,0.06796265,0.05454477667808533
encoder.layers.encoder_layer_20.mlp[1],58,pattern,0.06842041,0.05452054738998413
encoder.layers.encoder_layer_20.mlp[1],59,pattern,0.068481445,0.05451593175530434
encoder.layers.encoder_layer_20.mlp[1],60,pattern,0.06677246,0.054592862725257874
encoder.layers.encoder_layer_20.mlp[1],61,stripe,0.0690918,0.014257492497563362
encoder.layers.encoder_layer_20.mlp[1],62,signature,0.18032837,-0.047145776450634
encoder.layers.encoder_layer_20.mlp[1],63,pattern,0.06695557,0.054585281759500504
encoder.layers.encoder_layer_20.mlp[1],64,pattern,0.0680542,0.054546285420656204
