layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_22,0,web,0.23928833,-0.033921755850315094
encoder.layers.encoder_layer_22,1,stair,0.20220947,0.14853911101818085
encoder.layers.encoder_layer_22,2,parrot,0.3100891,0.11914434283971786
encoder.layers.encoder_layer_22,3,casio,0.159729,0.04410082474350929
encoder.layers.encoder_layer_22,4,textile,0.21612549,0.1282452493906021
encoder.layers.encoder_layer_22,5,zebra,0.2788086,0.10866077244281769
encoder.layers.encoder_layer_22,6,chefs,0.19223022,0.08042190968990326
encoder.layers.encoder_layer_22,7,radiator,0.20736694,0.09096570312976837
encoder.layers.encoder_layer_22,8,fruit,0.23233032,0.14613263309001923
encoder.layers.encoder_layer_22,9,brushes,0.18972778,0.07913731038570404
encoder.layers.encoder_layer_22,10,radios,0.10675049,0.09188402444124222
encoder.layers.encoder_layer_22,11,mosquito,0.09075928,0.01638532057404518
encoder.layers.encoder_layer_22,12,percussion,0.2098999,0.1267727166414261
encoder.layers.encoder_layer_22,13,motif,0.12915039,0.030395187437534332
encoder.layers.encoder_layer_22,14,keyboard,0.18487549,0.1141306459903717
encoder.layers.encoder_layer_22,15,juvenile,0.2460022,0.1262284219264984
encoder.layers.encoder_layer_22,16,surveying,0.16567993,-0.03588924929499626
encoder.layers.encoder_layer_22,17,monkey,0.18313599,0.136349156498909
encoder.layers.encoder_layer_22,18,juvenile,0.18273926,0.1331871747970581
encoder.layers.encoder_layer_22,19,pens,0.17016602,0.1102069541811943
encoder.layers.encoder_layer_22,20,slug,0.3585205,0.13947562873363495
encoder.layers.encoder_layer_22,21,heidi,0.11361694,0.0608251690864563
encoder.layers.encoder_layer_22,22,snowmobile,0.115753174,0.08109355717897415
encoder.layers.encoder_layer_22,23,telescopes,0.13027954,0.10584616661071777
encoder.layers.encoder_layer_22,24,fruit,0.23016357,0.08022507280111313
encoder.layers.encoder_layer_22,25,screws,0.23016357,0.069147028028965
encoder.layers.encoder_layer_22,26,fungi,0.12884521,0.08963548392057419
encoder.layers.encoder_layer_22,27,bear,0.14300537,0.16991688311100006
encoder.layers.encoder_layer_22,28,juvenile,0.24768066,0.006002463400363922
encoder.layers.encoder_layer_22,29,telephones,0.26062012,0.10587091743946075
encoder.layers.encoder_layer_22,30,manufacturer,0.12231445,0.09995200484991074
encoder.layers.encoder_layer_22,31,svalbard,0.13269043,0.0646224170923233
encoder.layers.encoder_layer_22,32,vehicles,0.15286255,0.15410082042217255
encoder.layers.encoder_layer_22,33,guinea,0.16543579,0.058967240154743195
encoder.layers.encoder_layer_22,34,wildlife,0.20498657,0.15919369459152222
encoder.layers.encoder_layer_22,35,cookware,0.17382812,0.10435052961111069
encoder.layers.encoder_layer_22,36,wholesale,0.2156372,0.0099624153226614
encoder.layers.encoder_layer_22,37,tackling,0.2715149,0.07397748529911041
encoder.layers.encoder_layer_22,38,tackling,0.35653687,0.13219280540943146
encoder.layers.encoder_layer_22,39,aquarium,0.30334473,0.07608158141374588
encoder.layers.encoder_layer_22,40,toilet,0.10562134,0.07922955602407455
encoder.layers.encoder_layer_22,41,fungi,0.4663086,0.03500862047076225
encoder.layers.encoder_layer_22,42,weights,0.3274231,0.06740299612283707
encoder.layers.encoder_layer_22,43,mating,0.17556763,0.17316743731498718
encoder.layers.encoder_layer_22,44,terrier,0.11541748,0.11829248815774918
encoder.layers.encoder_layer_22,45,grid,0.12841797,0.08085170388221741
encoder.layers.encoder_layer_22,46,monkeys,0.11331177,0.06242621690034866
encoder.layers.encoder_layer_22,47,retriever,0.0809021,0.14554348587989807
encoder.layers.encoder_layer_22,48,lobster,0.2727356,0.12496259063482285
encoder.layers.encoder_layer_22,49,female,0.22619629,0.027144933119416237
encoder.layers.encoder_layer_22,50,female,0.21652222,0.026599500328302383
encoder.layers.encoder_layer_22,51,thistle,0.3791504,0.13048134744167328
encoder.layers.encoder_layer_22,52,tents,0.16143799,0.04549076035618782
encoder.layers.encoder_layer_22,53,flower,0.26727295,0.16277636587619781
encoder.layers.encoder_layer_22,54,fungi,0.13931274,0.12143409997224808
encoder.layers.encoder_layer_22,55,tableware,0.10668945,0.1441085934638977
encoder.layers.encoder_layer_22,56,ibis,0.16445923,0.06431954354047775
