unit,description,sim correlation
0,Lights,0.16812899708747864
1,Circular objects,0.20249013602733612
2,Buildings,0.30235418677330017
3,The corners,0.021356388926506042
4,Buildings,0.15756306052207947
5,Diagonal lines,0.13499832153320312
6,Yellow and red objects,0.07381992042064667
7,Towers and hats,0.04337502643465996
8,Faces,0.07936645299196243
9,Animal legs,0.04380125179886818
10,White colored objects,0.08266197890043259
11,Plants,0.2921225428581238
12,People,0.15221434831619263
13,Chairs,0.04312695190310478
14,Curved lines,-0.01653321087360382
15,Pools,0.12097068130970001
16,Vertical lines,0.05207471549510956
17,Circular objects,0.04860668629407883
18,The floor,0.10369329154491425
19,Food,0.1863679438829422
20,Shelving,0.22973507642745972
21,Buildings,0.08642616868019104
22,"Screens, windows, and screens",0.05983145907521248
23,Circular objects,0.14021016657352448
24,Windows,0.11644820123910904
25,Red and white colored objects,0.15690924227237701
26,A grid-like pattern,0.08148810267448425
27,The corners of rectangular objects,0.04696974158287048
28,Poles,0.09243284165859222
29,Diagonal lines,0.022474920377135277
30,Balls,0.1780032068490982
31,Grass,0.16311973333358765
32,The ground,-0.041447803378105164
33,The ground,-0.09987334907054901
34,Red florals,0.14067041873931885
35,Poles,-0.04892374947667122
36,A lighthouse,-0.034036893397569656
37,The ground,-0.016155891120433807
38,Furniture,0.1922452449798584
39,Red objects,0.17845980823040009
40,Poles,0.15301689505577087
41,Water,0.1453951597213745
42,Water,-0.0030130965169519186
43,Grass fields,0.06627346575260162
44,Trees,0.2283562570810318
45,Stripes,0.029257744550704956
46,Diagonal lines,-0.0881209746003151
47,Trees,0.07532426714897156
48,Faces,0.04136669635772705
49,Vertical lines,-0.032695215195417404
50,Diagonal lines,0.03127685934305191
51,Walls,0.013293851166963577
52,Tall buildings,0.2278759479522705
53,The top of buildings,0.08989180624485016
54,Yellow and green objects,0.014484971761703491
55,The corners of objects,0.08692263811826706
56,Windows,0.040448155254125595
57,Water,0.12879303097724915
58,Rounded objects,-0.021686427295207977
59,Vertical lines,0.06574276834726334
60,Buildings,0.19172361493110657
61,Vertical lines,0.09474398195743561
62,The ground,-0.03058592602610588
63,Lights,0.31232067942619324
64,Towers,-0.021979784592986107
65,Trees,0.29477155208587646
66,The sky,-0.06740100681781769
67,People,0.05597084015607834
68,Towers,0.048338163644075394
69,Diagonal lines,0.012250320054590702
70,Black and white colored objects,1.6896481611183845e-05
71,Faces of human beings,0.018653083592653275
72,Lights,0.19990777969360352
73,Yellow objects,0.11324717849493027
74,Faces,0.155382439494133
75,Diagonal lines,-0.01353386603295803
76,Fencing,0.023895474150776863
77,Pink objects,0.08911751210689545
78,Car wheels,0.12055310606956482
79,Red and white objects,0.1183682233095169
80,Buildings,0.2589074671268463
81,Buildings,0.04374906048178673
82,Red and white colored objects,0.0037526097148656845
83,The tops of objects,-0.012813979759812355
84,The top of a building,0.17880946397781372
85,Diagonal lines,0.06145127862691879
86,People,0.11369357258081436
87,The base of a water tower,0.0856952890753746
88,Furniture,0.111300989985466
89,People 's heads,0.21815508604049683
90,The ground,-0.04735300689935684
91,The ground,-0.0034631218295544386
92,Muted,0.05246255174279213
93,Trees,0.17731276154518127
94,Circular objects,0.03648092597723007
95,Walls,0.11397475004196167
96,White colored objects,0.0830891951918602
97,Circular objects,0.07889634370803833
98,A table,0.10397946089506149
99,Red florals,0.04007261246442795
100,The ground,0.1611262708902359
101,Diagonal lines,0.027072835713624954
102,Buildings,0.2532305121421814
103,The tops of buildings,0.04828090965747833
104,The sky,-0.0735248550772667
105,The ground,0.2082045078277588
106,Spherical blots,-0.026474084705114365
107,Vertical lines,0.08876804262399673
108,Diagonal lines,0.06359079480171204
109,Signs,0.17298780381679535
110,Striped objects,0.05184924602508545
111,The sky,-0.03132978826761246
112,Objects in the sky,-0.0033161500468850136
113,The ground,0.022710593417286873
114,Pink colored objects,0.011049230583012104
115,Buildings,0.22852803766727448
116,The ground,0.08862689882516861
117,Water,-0.12002286314964294
118,Plaid and camo objects,0.005533862393349409
119,The sky,0.09357950091362
120,Circular objects,0.012472204864025116
121,Arches and arches,0.3019660413265228
122,Diagonal lines,0.08662759512662888
123,The ceiling,0.04528690502047539
124,The ground,0.016667036339640617
125,Faces,0.14972788095474243
126,Food,0.02124706842005253
127,Porcelain and white objects,0.11768679320812225
128,The corners,-0.05570270121097565
129,Roofs,0.15414820611476898
130,Vehicles,0.26475343108177185
131,Arches,0.2190648913383484
132,Words,0.1118052676320076
133,Buildings,0.15600624680519104
134,Diagonal lines,0.17156986892223358
135,Red objects,0.11314771324396133
136,Signs,0.04106004536151886
137,Purple and pink objects,0.186685711145401
138,Poles and legs,0.12633897364139557
139,Buildings,-0.04827646166086197
140,Vehicles,0.29535916447639465
141,Dog heads,0.12771937251091003
142,The tops of objects,0.05211930349469185
143,Diagonal lines,0.062461238354444504
144,Crowds,0.1773148477077484
145,Tables,0.2889154553413391
146,Space on the left side of a object,0.023933347314596176
147,Signs,0.056588415056467056
148,People,0.12139493227005005
149,The ground,-0.05959712713956833
150,Plants,0.22315791249275208
