unit,description,sim correlation
0,Purple and red objects,0.16520074009895325
1,Purple areas,0.17772389948368073
2,Words and grids,0.042051054537296295
3,Edges of objects,-0.02878146432340145
4,Spots of the color white,-0.04602320119738579
5,Blue areas,0.21588490903377533
6,Words and grids,0.035952646285295486
7,Stripes,0.01168680377304554
8,Green areas in picture,0.17124317586421967
9,Spots of the color white,-0.048735253512859344
10,Red colored objects,0.014852774329483509
11,Dots outlining objects,0.06479715555906296
12,Spots of the color white,-0.01254982315003872
13,Nothing,0.031460411846637726
14,Spots of the color white,0.04536808282136917
15,White outlines of objects,0.07321757823228836
16,Red and white lines,0.015727771446108818
17,Stripes,0.0052366312593221664
18,Areas of blue,0.06284184008836746
19,Red objects,0.09803184866905212
20,Black and white lettering,0.07535068690776825
21,Black and white stripes,0.021896667778491974
22,Red and white colored objects,0.05141447111964226
23,Spots of the color white,-0.048385486006736755
24,Black and white stripes,0.08041947335004807
25,Red and blue dots,0.0219533983618021
26,Red colored objects,0.13629424571990967
27,Specific patterns,-0.03793562948703766
28,Red and blue objects,0.12191629409790039
29,Black and white colored objects,0.10325200855731964
30,Red and blue objects,0.08368644118309021
31,Numbers and letters,0.025912033393979073
32,Stripes,0.0688588097691536
33,Brighter areas in objects,-0.05182100087404251
34,Numbers and letters of all objects,0.047961682081222534
35,Stripes,-0.024406777694821358
36,Red colored objects,0.09843699634075165
37,Spots of the color white,-0.024518456310033798
38,Fluorescent blue and green objects,0.08991879224777222
39,Blue and white text,0.055727191269397736
40,Spots of the color white,0.06123271584510803
41,Horizontal lines,0.03822550177574158
42,Vertical lines,0.07882920652627945
43,Black and white colored objects,0.07057785987854004
44,Spots of the color white,0.05038011819124222
45,Spots of the color white,0.0018722154200077057
46,Spots of the color white,0.02170335315167904
47,White areas,-0.08534891903400421
48,Dots outlining a object,-0.030366025865077972
49,Stripes,-0.05621257796883583
50,Straight lines,0.045306794345378876
51,Words and grids,-0.072075754404068
52,Edges of objects,0.08256237953901291
53,Diagonal lines,0.015924397855997086
54,Underwater,0.38293927907943726
55,Black and white text,0.03980252891778946
56,Stripes,0.04770155996084213
57,Black and white stripes,0.05289201810956001
58,Vertical lines,0.023473193868994713
59,The area under lines,0.06697221845388412
60,Red areas in picture,0.18062345683574677
61,Stripes,0.02805822156369686
62,Stripes,-0.021405454725027084
63,Horizontal lines,0.028424648568034172
64,Stripes,0.0031460642348974943
65,Blue areas,0.275033175945282
66,Dots on curved objects,0.029640544205904007
67,Stripes,0.001958649605512619
68,White outlines of objects,0.09103703498840332
69,Yellow and red objects,0.11832285672426224
70,Blue areas,0.1726970076560974
71,Spots of the color white,-0.004138498567044735
72,Black and white colored objects,0.044137630611658096
73,Green areas in picture,0.2149350494146347
74,White lines,-0.009130323305726051
75,Horizontal lines,0.09129311889410019
76,Horizontal lines,0.0011710713151842356
77,Black and white colored objects,0.05559151992201805
78,Stripes,0.031174032017588615
79,The area under lines,0.021539214998483658
80,Horizontal lines,0.03362755849957466
81,Horizontal lines,-0.016782034188508987
82,Vertical lines,0.055166710168123245
83,Spots of the color white,0.027562769129872322
84,Spots of the color white,0.03752100095152855
85,Striped patterns,0.009437411092221737
86,White lines,0.046792346984148026
87,The area under lines,0.06950099021196365
88,The color blue,0.011965413577854633
89,Red and white dots,-0.0018059711437672377
90,Fluorescent green and blue objects,0.07294147461652756
91,Horizontal lines,0.07030601054430008
92,Horizontal lines,-0.010169264860451221
93,Red and white colored objects,0.08218293637037277
94,Spots of the color white,-0.04656621441245079
95,Spots of the color white,-0.09855204075574875
96,Red areas,0.1105467677116394
97,Spots of the color white,0.0327538326382637
98,White lines,-0.01827782206237316
99,Stripes,0.0788101777434349
100,White lines,0.0047080861404538155
101,Spots of the color white,0.03235342353582382
102,The area under lines,0.07002158463001251
103,Text,0.0203036330640316
104,Stripes,-0.04245184361934662
105,Nothing,0.11199506372213364
106,Dots on the corners,0.032801784574985504
107,Spots of the color white,0.04495763033628464
108,Blue objects,0.1273648887872696
109,Stripes,0.002342758933082223
110,"Purple, red and blue fluorescent objects",0.10051347315311432
111,White dots outlining objects,0.007182690314948559
112,Blue areas,0.15260928869247437
113,Vertical lines,0.07624275237321854
114,Text,0.05903908610343933
115,Stripes,0.0314827598631382
116,Vertical lines,0.005967797711491585
117,Spots of the color white,-0.0033055092208087444
118,Spots of the color white,-0.021950677037239075
119,White dots,-0.03703581169247627
120,Blue and red dots,0.037044983357191086
121,Dots on the bottom,0.024899614974856377
122,Nothing,0.05266782268881798
123,Diagonal lines,0.008808400481939316
124,Stripes,-0.015064578503370285
125,Horizontal lines,0.10373717546463013
126,Sharks,-0.07069794833660126
127,Spots of the color white,0.045017220079898834
128,Horizontal lines,0.0004530501028057188
129,Stripes,-0.005973439197987318
130,White lines,0.1412772834300995
131,Horizontal lines,0.01607724092900753
132,Spots of the color white,-0.0011233247350901365
133,Spots of the color white,0.008293233811855316
134,Spots of the color white,0.025773830711841583
135,Horizontal lines,-0.00029611311038024724
136,Words and grids,-0.016722306609153748
137,Spots of the color white,-0.06401937454938889
138,White areas,0.04131268337368965
139,Spots of the color white,0.07240390032529831
140,Horizontal lines,-0.03276180475950241
141,Stripes,-0.041511356830596924
142,Black and white colored objects,0.0623750239610672
143,Horizontal lines,-0.01804310828447342
