unit,description,sim correlation,sim ablation(optim),sim ablation(norm)
0,Items with straight features,0.1660760343074798,0.0116288661956787,0.015281140804290771
1,Signage and signs,0.1846914589405059,0.0033256411552429,0.01409614086151123
2,Bottles,0.0860820859670639,0.0033517479896545,0.0033867359161376953
3,Items with straight features,0.0069526005536317,-0.0015263557434082,-0.0006965398788452148
4,Furniture,0.1215674802660942,0.0056583881378173,0.004795193672180176
5,Animals and pens,-0.0342677868902683,-0.0072396993637084,0.001269996166229248
6,People,0.069210410118103,0.0077126622200012,0.002019226551055908
7,Animals and circular objects,0.0369533859193325,0.0097737908363342,0.00033015012741088867
8,Items with straight features,0.0640848278999328,0.0216094255447387,0.005401253700256348
9,Bridges and ships,0.1218020543456077,0.0050842761993408,0.006771683692932129
10,Mouths of animals,0.0365481860935688,0.0020241737365722,0.001717686653137207
11,Items with straight features,0.0681148692965507,0.0008849501609802,0.0020690560340881348
12,Green objects,0.1176747009158134,0.0300258994102478,0.0037170052528381348
13,Animals,0.029281847178936,0.0214629769325256,-0.00015664100646972656
14,Bowties,0.1250195950269699,0.0156356692314147,0.00812464952468872
15,Rounded edges in pictures,-0.0194948185235261,-0.0017043352127075,-0.001097559928894043
16,Objects with red or brown hues,-0.044260062277317,0.009798526763916,0.0018103718757629395
17,Animals,0.043670542538166,-0.0050677061080932,-0.0035277605056762695
18,Yellow objects,0.0324608422815799,0.0197716355323791,0.0012398958206176758
19,Items that are connected,-0.0197137799113988,0.0086422562599182,0.000268399715423584
20,Items with straight features,-0.007593885064125,0.0043373703956604,-0.0001609325408935547
21,Bottles,0.2363770008087158,0.0269148349761962,0.02696448564529419
22,Items that are curved,-0.0379559472203254,0.0073454976081848,0.002216041088104248
23,Nature,-0.0106985792517662,0.0100654959678649,-0.00043714046478271484
24,Clothing,0.0949451997876167,0.0119779706001281,0.007481813430786133
25,Legs of people,0.08964154869318,0.0018197298049926,0.008396685123443604
26,Bugs,0.2011650055646896,0.0218645334243774,0.006514787673950195
27,Animals and sticks,0.0471762754023075,0.0034539103507995,0.0009819269180297852
