unit,description,sim correlation
0,perforated,0.018213486298918724
1,dotted,0.04773632436990738
2,building,0.31796178221702576
3,skirt,-0.005601493641734123
4,street,0.1337028294801712
5,lined,0.09129586070775986
6,swirly,0.021169666200876236
7,crosswalk,0.05330513045191765
8,nose,0.09685897827148438
9,leg,0.04764006659388542
10,chequered,0.016581401228904724
11,plant,0.2003048211336136
12,person,0.03651828691363335
13,floor,0.09616260975599289
14,stern,0.03907395526766777
15,screen,-0.017146341502666473
16,building facade,0.20230548083782196
17,wheel,0.07023859024047852
18,tile,0.010790751315653324
19,waffled,0.07015455514192581
20,food,0.23968853056430817
21,meshed,0.06552065163850784
22,screen,0.05152714252471924
23,chequered,0.07098305970430374
24,pane,0.003873191075399518
25,dotted,-0.04292178526520729
26,grid,0.0344720259308815
27,bed,0.13939690589904785
28,frame,0.07679927349090576
29,waffled,0.007564197294414043
30,seat cushion,0.20083701610565186
31,grass,0.16311973333358765
32,dotted,-0.036647506058216095
33,"polka, dotted",0.05289212241768837
34,top,-0.027931170538067818
35,bicycle,0.07312856614589691
36,drawer,0.16182634234428406
37,honeycombed,-0.006394363008439541
38,footboard,0.08401299268007278
39,dotted,-0.02461257018148899
40,cracked,0.09796847403049469
41,paisley,-0.00585256377235055
42,paisley,0.07787913084030151
43,cobwebbed,0.0555480420589447
44,plant,0.261351615190506
45,swirly,0.13300178945064545
46,top,0.024904923513531685
47,tree,0.0868430882692337
48,hair,0.03073352575302124
49,chequered,-0.05121157690882683
50,art gallery,0.04985414817929268
51,hair,0.05408170446753502
52,back pillow,0.041096318513154984
53,zigzagged,0.01767043210566044
54,"polka, dotted",0.019551845267415047
55,footboard,0.030761441215872765
56,painting,-0.005645271390676498
57,pane,0.005392915103584528
58,car,0.016605187207460403
59,wheel,0.07511527091264725
60,drawer,0.19460459053516388
61,grid,0.070844367146492
62,pane,-0.0018705426482483745
63,shade,-0.06315630674362183
64,drawer,0.10711735486984253
65,hair,0.07298547774553299
66,screen,0.09470520168542862
67,chequered,0.005015715025365353
68,lamp,0.1383724957704544
69,swirly,-0.030063210055232048
70,chequered,0.07208801805973053
71,grid,-0.004094954580068588
72,banded,-0.04283278062939644
73,studded,-0.034333933144807816
74,head,0.19649741053581238
75,conference room,0.03784678876399994
76,book,0.09139158576726913
77,honeycombed,-0.04344940185546875
78,car,0.15406565368175507
79,frilly,0.08978939801454544
80,chequered,0.008130076341331005
81,fibrous,0.05482592061161995
82,chequered,-0.09708140790462494
83,"polka, dotted",0.055287137627601624
84,curtain,0.16984957456588745
85,corridor,0.12286175787448883
86,arm,0.15269970893859863
87,crosswalk,0.02333330363035202
88,chequered,-0.10120818763971329
89,person,0.08108046650886536
90,swirly,0.035732366144657135
91,road,0.1224375069141388
92,black color,0.09801362454891205
93,tree,0.11826909333467484
94,car,0.15495894849300385
95,freckled,0.009500584565103054
96,painted,-0.02999812550842762
97,metal,0.05373966693878174
98,top,-0.0017201814334839582
99,woven,-0.05442380905151367
100,field colorultivated,0.2280849665403366
101,ceiling,0.1727808117866516
102,building,0.28550517559051514
103,sky,0.028882622718811035
104,crystalline,-0.051705390214920044
105,flecked,0.1335187405347824
106,bed,0.006510934792459011
107,crosswalk,0.07109496742486954
108,striped,0.012604075483977795
109,signboard,0.15046514570713043
110,railing,0.09802490472793579
111,mountain,0.09275491535663605
112,eye,0.030407875776290894
113,road,0.018268438056111336
114,perforated,-0.019705235958099365
115,column,0.24648864567279816
116,"elevator, door",0.06298636645078659
117,sidewalk,0.012884589843451977
118,chequered,0.017029868438839912
119,sky,0.07172410935163498
120,wheel,0.011906735599040985
