unit,description,sim correlation
0,eye,0.015665166079998016
1,chequered,-0.03554008901119232
2,grass,0.07542633265256882
3,orange color,-0.018140584230422974
4,orange color,0.10391154885292053
5,dotted,0.0069979350082576275
6,grid,0.11926310509443283
7,person,-0.02019459940493107
8,zigzagged,-0.04242919757962227
9,zigzagged,-0.013697308488190174
10,chequered,-0.0672239437699318
11,chequered,-0.03138360008597374
12,chequered,0.026083987206220627
13,sprinkled,0.025484127923846245
14,lacelike,0.04086191579699516
15,chequered,-0.029794367030262947
16,perforated,0.11874718219041824
17,waffled,0.0374842993915081
18,cobwebbed,0.03495152294635773
19,sidewalk,0.029502978548407555
20,"polka, dotted",0.08846167474985123
21,wood,0.0537443570792675
22,crosswalk,0.0834973007440567
23,windowpane,0.008492494933307171
24,swirly,-0.02966897003352642
25,screen,-0.002610858529806137
26,arm,0.03781338036060333
27,wheel,0.04420941695570946
28,red color,0.047313813120126724
29,painting,0.032593876123428345
30,perforated,0.10476498305797577
31,hand,0.007266893517225981
32,chequered,-0.038393180817365646
33,wheel,0.0077245417051017284
34,white color,0.02874508872628212
35,zigzagged,-0.059264253824949265
36,lined,-0.059403978288173676
37,drawer,0.08640344440937042
38,zigzagged,0.025412272661924362
39,striped,0.015027672052383423
40,chequered,-0.010432636365294456
41,chequered,-0.012402944266796112
42,painted,-0.0090209124609828
43,ceiling,0.028501594439148903
44,sky,-0.0035779536701738834
45,chequered,0.017489133402705193
46,red color,0.28841811418533325
47,chequered,7.434172584908083e-05
48,wheel,0.018066933378577232
49,person,0.03427498787641525
50,studded,0.00039040963747538626
51,metal,-0.0011799427447840571
52,painting,0.0009052393725141883
53,skyscraper,-0.049877993762493134
54,zigzagged,-0.022933555766940117
55,wheel,0.007610988803207874
56,striped,0.12303727865219116
57,studded,0.07371357083320618
58,cobwebbed,0.03528875112533569
59,arm,-0.04616865515708923
60,purple color,0.0907289981842041
61,perforated,0.0965343788266182
62,painted,-0.020106937736272812
63,ball pit,0.06273683160543442
64,interlaced,-0.02099858596920967
65,chequered,-0.026058176532387733
66,black color,0.12153103947639465
67,zigzagged,0.0399957075715065
68,grid,0.20792454481124878
69,dotted,-0.0695636197924614
70,studded,0.03675335273146629
71,chequered,-0.03484003245830536
72,honeycombed,-0.0020399182103574276
73,wheel,0.04922353848814964
74,dotted,-0.02292276918888092
75,paisley,0.030204616487026215
76,perforated,0.0012785549042746425
77,banded,-0.10234981775283813
78,hair,0.06159607321023941
79,shelf,0.12635840475559235
80,perforated,0.044794078916311264
81,perforated,-0.05656987056136131
82,red color,0.21065615117549896
83,skyscraper,-0.05565258860588074
84,chequered,0.06926189363002777
85,grid,0.08550240099430084
86,metal,-0.011444710195064545
87,red color,0.060171157121658325
88,red color,0.13097932934761047
89,studded,0.027641063556075096
90,roof,0.009949548169970512
91,wheel,0.04581779986619949
92,zigzagged,0.07235893607139587
93,banded,-0.10706761479377747
94,person,-0.004410804249346256
95,zigzagged,0.028145112097263336
96,chequered,-0.09909691661596298
97,grid,0.1329868733882904
