unit,description,sim correlation,sim ablation(norm),sim ablation(optim)
0,body,-0.0063229305669665,0.0003674030303955,0.0022985339164733887
1,freckled,0.1010484620928764,0.0036725997924804,0.0031260251998901367
2,person,0.056557971984148,0.0042526721954345,0.0011157393455505371
3,pool table,0.0622389875352382,-0.0013375282287597,-0.001990675926208496
4,classroom,0.1631157398223877,0.0152477025985717,0.0022640228271484375
5,body,-0.0164957288652658,0.000170886516571,-0.002633213996887207
6,freckled,0.0810689851641655,0.0053068399429321,0.012101292610168457
7,muzzle,0.1059027761220932,0.0097880363464355,0.020331621170043945
8,striped,0.0512902550399303,-0.0029633045196533,0.014369964599609375
9,"greenhouse, indoor",0.1632046103477478,0.0530062913894653,0.034821391105651855
10,"cathedral, indoor",0.1534836441278457,0.0168632864952087,0.015220582485198975
11,book,0.155963197350502,0.02815842628479,0.005809366703033447
12,pottedplant,0.1719567775726318,0.0086545348167419,0.03583836555480957
13,dog,0.2197938710451126,0.0136905312538146,0.041177332401275635
14,"casino, indoor",0.1143433675169944,0.0011242032051086,0.013963937759399414
15,pot,0.3627383708953857,0.0725554823875427,0.044917404651641846
16,street,0.1754242479801178,0.0210265517234802,0.02726644277572632
17,cow,0.0663803443312645,-7.152557373046875e-07,0.0022330284118652344
18,food,0.1645453870296478,0.016010046005249,0.03352057933807373
19,bed,0.0978845730423927,0.0010178089141845,0.012278139591217041
20,"jacuzzi, indoor",0.1465104073286056,0.0089585781097412,0.008152306079864502
21,bubbly,0.2570662796497345,0.0457068681716918,0.014115989208221436
22,sheep,0.0478691942989826,-0.0007089376449584,0.0101737380027771
23,"waterfall, block",0.0292807351797819,-0.0001499652862548,0.011195361614227295
24,leg,0.0922446250915527,0.0162131786346435,0.015080273151397705
25,leg,0.1794486492872238,0.0062311887741088,0.005819797515869141
26,bird,0.1226285398006439,-0.0005983114242553,0.006509721279144287
27,cat,0.1721597909927368,0.0184497237205505,0.019169628620147705
28,bookcase,0.0945552363991737,-0.0017842054367065,0.0018606185913085938
29,cat,0.1210089102387428,0.0138294100761413,0.02673441171646118
30,lacelike,0.0867551863193512,0.0115237832069396,0.01754629611968994
31,hand,0.0691642016172409,0.0024137496948242,0.004043221473693848
32,body,0.0203563943505287,5.328655242919922e-05,0.008157968521118164
33,freckled,-1.210763912240509e-05,-0.0010331869125366,0.009009122848510742
34,water,0.1772005558013916,0.0378931760787963,0.0307275652885437
35,bird,0.0736058801412582,0.0042114853858947,0.0146104097366333
36,kitchen,0.1487257033586502,0.0149933099746704,0.013443350791931152
37,horse,0.0751659274101257,-0.0007169246673583,-0.001432180404663086
38,person,0.0842965096235275,0.0141759514808654,0.0029013752937316895
39,cat,0.4615256488323211,0.1094781160354614,0.07265561819076538
40,car,0.3023245632648468,0.0399351716041564,0.02857106924057007
41,stratified,0.0075123701244592,-0.0005253553390502,0.004958152770996094
42,creek,0.228498101234436,0.0255331397056579,0.02191108465194702
43,dolmen,0.1531718373298645,0.0034639239311218,0.0313800573348999
44,shoe shop,0.1607784479856491,0.0093068480491638,0.008618652820587158
45,bed,0.3850260078907013,0.0518276691436767,0.021364688873291016
46,sheep,0.087205559015274,0.0007120966911315,0.008015334606170654
47,art gallery,0.0593591220676898,0.0026385784149169,0.00027304887771606445
48,wheel,0.0419263765215873,0.0007712244987487,0.006456196308135986
49,"casino, indoor",0.095951072871685,0.0007442831993103,0.0035775303840637207
50,dog,0.2254224419593811,0.0490041375160217,0.06589239835739136
51,leg,0.0416821166872978,0.0004845857620239,0.02466285228729248
52,dog,0.0855686143040657,0.0025566220283508,0.031000256538391113
53,dog,0.0625728890299797,0.0019878149032592,0.014897823333740234
54,pool table,0.1414719521999359,-0.0089656114578247,0.020057201385498047
55,bird,0.165122777223587,0.010213017463684,0.01905733346939087
56,bakeryhop,0.1596174836158752,0.0221539139747619,0.03329092264175415
57,lighthouse,0.0661255195736885,0.0017520785331726,0.0051122307777404785
58,grass,0.2060820311307907,0.0232570171356201,0.013470649719238281
59,crystalline,0.0647832304239273,0.0007801055908203,0.011156857013702393
60,waffled,0.058966401964426,-0.000278353691101,0.0036313533782958984
61,bakeryhop,0.1263099908828735,0.0261116623878479,0.017201721668243408
62,cat,0.1064074113965034,0.0043062567710876,0.00924617052078247
63,bus,0.1923259496688842,0.0056014657020568,0.008456289768218994
64,drawer,0.0731552988290786,-0.0104608535766601,-0.00038909912109375
65,savanna,0.3754825294017792,0.0737791061401367,0.030824720859527588
66,bookstore,0.1610468327999115,0.0145052671432495,0.016382455825805664
67,shelf,0.1439658105373382,0.0007641315460205,0.01929539442062378
68,truck,0.2012384533882141,0.0085929036140441,0.02073836326599121
69,horse,0.1846753656864166,-0.0003988742828369,0.008456528186798096
