unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,top1-label,top1-category,top1-iou,top2-label,top2-category,top2-iou,top3-label,top3-category,top3-iou,top4-label,top4-category,top4-iou,top5-label,top5-category,top5-iou
1,part,hand,0.010417431,pink-c,18491188,1326234,92990,0.004714458,person,14523849,592764,68690,0.00456475,hand,398768,165537,5818,0.010417431,skin,177664,241981,1423,0.003402499,living_room-s,9621248,329419,25766,0.002596096,stratified,1568000,99689,5113,0.003075348,"{'number': 42, 'name': 'hand', 'category': {'part': 3832}, 'frequency': 3832, 'coverage': 32.257961, 'syns': ['']}",part,0.010417431,"{'number': 37, 'name': 'nose', 'category': {'part': 4805}, 'frequency': 4805, 'coverage': 12.527917, 'syns': ['']}",part,0.006377323,"{'number': 6, 'name': 'pink-c', 'category': {'color': 60755}, 'frequency': 60755, 'coverage': 1478.518582, 'syns': ['']}",color,0.004714458,"{'number': 11, 'name': 'orange-c', 'category': {'color': 50369}, 'frequency': 50369, 'coverage': 2427.774769, 'syns': ['']}",color,0.00466715,"{'number': 19, 'name': 'person', 'category': {'object': 9520}, 'frequency': 9520, 'coverage': 1169.760523, 'syns': ['soul', 'someone', 'somebody', 'individual', 'mortal']}",object,0.00456475
2,part,pane,0.013406272,yellow-c,34166024,1185771,90447,0.002565047,painting,2207098,524593,24703,0.009125641,pane,480756,125945,8026,0.013406272,glass,2246777,234472,22262,0.009053322,bow_window-indoor-s,413952,304160,2303,0.003217339,meshed,1756160,91532,8103,0.004404788,"{'number': 133, 'name': 'pane', 'category': {'part': 727}, 'frequency': 727, 'coverage': 38.963388, 'syns': ['']}",part,0.013406272,"{'number': 40, 'name': 'painting', 'category': {'object': 4285}, 'frequency': 4285, 'coverage': 178.186762, 'syns': ['picture']}",object,0.009125641,"{'number': 30, 'name': 'glass', 'category': {'material': 5500, 'object': 21}, 'frequency': 5521, 'coverage': 181.69107, 'syns': ['']}",material,0.009053322,"{'number': 416, 'name': 'upper sash', 'category': {'part': 104}, 'frequency': 104, 'coverage': 3.590185, 'syns': ['']}",part,0.005649918,"{'number': 15, 'name': 'windowpane', 'category': {'object': 5904, 'part': 5610}, 'frequency': 11514, 'coverage': 714.292365, 'syns': ['window']}",object,0.005634312
3,texture,polka-dotted,0.037063055,red-c,21004512,1339848,58759,0.002636635,lamp,593361,537581,24205,0.021870598,shade,197478,192365,8506,0.02230573,ceramic,679072,162757,3379,0.004030055,mosque-outdoor-s,225792,324444,3625,0.006631773,polka-dotted,1705984,331316,72810,0.037063055,"{'number': 342, 'name': 'polka-dotted', 'category': {'texture': 136}, 'frequency': 136, 'coverage': 136.0, 'syns': ['']}",texture,0.037063055,"{'number': 276, 'name': 'dotted', 'category': {'texture': 234}, 'frequency': 234, 'coverage': 234.0, 'syns': ['']}",texture,0.032642916,"{'number': 356, 'name': 'zigzagged', 'category': {'texture': 129}, 'frequency': 129, 'coverage': 129.0, 'syns': ['']}",texture,0.030627118,"{'number': 82, 'name': 'shade', 'category': {'part': 1554}, 'frequency': 1554, 'coverage': 16.055695, 'syns': ['']}",part,0.02230573,"{'number': 50, 'name': 'lamp', 'category': {'object': 3386, 'part': 5}, 'frequency': 3391, 'coverage': 48.047357, 'syns': ['']}",object,0.021870598
4,texture,striped,0.007869588,black-c,139916835,1626346,318840,0.002257684,building,35246027,766939,137841,0.003842244,wheel,1513439,166715,8738,0.005227903,metal,3462561,268235,15141,0.004074921,supermarket-s,388864,457051,3169,0.003760326,striped,2433536,141981,20110,0.007869588,"{'number': 295, 'name': 'striped', 'category': {'texture': 194}, 'frequency': 194, 'coverage': 194.0, 'syns': ['']}",texture,0.007869588,"{'number': 360, 'name': 'swirly', 'category': {'texture': 128}, 'frequency': 128, 'coverage': 128.0, 'syns': ['']}",texture,0.0057174,"{'number': 359, 'name': 'spiralled', 'category': {'texture': 128}, 'frequency': 128, 'coverage': 128.0, 'syns': ['']}",texture,0.00569888,"{'number': 44, 'name': 'wheel', 'category': {'part': 3681, 'object': 69}, 'frequency': 3750, 'coverage': 122.407301, 'syns': ['']}",part,0.005227903,"{'number': 181, 'name': 'footboard', 'category': {'part': 481}, 'frequency': 481, 'coverage': 29.727928, 'syns': ['']}",part,0.004731624
5,texture,banded,0.030424421,white-c,72511065,1487456,300822,0.004081837,pole,439586,645999,6145,0.005692767,frame,136341,133288,3220,0.012086679,metal,3462561,186350,6092,0.001672331,closet-s,990976,391711,9538,0.006946078,banded,2571520,180045,81243,0.030424421,"{'number': 290, 'name': 'banded', 'category': {'texture': 205}, 'frequency': 205, 'coverage': 205.0, 'syns': ['']}",texture,0.030424421,"{'number': 372, 'name': 'lined', 'category': {'texture': 125}, 'frequency': 125, 'coverage': 125.0, 'syns': ['']}",texture,0.020044407,"{'number': 295, 'name': 'striped', 'category': {'texture': 194}, 'frequency': 194, 'coverage': 194.0, 'syns': ['']}",texture,0.013972484,"{'number': 166, 'name': 'frame', 'category': {'part': 505, 'object': 36}, 'frequency': 541, 'coverage': 10.900613, 'syns': ['']}",part,0.012086679,"{'number': 391, 'name': 'grooved', 'category': {'texture': 120}, 'frequency': 120, 'coverage': 120.0, 'syns': ['']}",texture,0.007947193
6,texture,polka-dotted,0.010728071,green-c,63326720,1515443,624834,0.00972999,plant,3760075,757115,28273,0.006298401,screen,677188,169731,4300,0.005103137,plastic-opaque,577397,182947,2478,0.003269707,ball_pit-s,275968,377466,5378,0.008298666,polka-dotted,1705984,300102,21293,0.010728071,"{'number': 342, 'name': 'polka-dotted', 'category': {'texture': 136}, 'frequency': 136, 'coverage': 136.0, 'syns': ['']}",texture,0.010728071,"{'number': 276, 'name': 'dotted', 'category': {'texture': 234}, 'frequency': 234, 'coverage': 234.0, 'syns': ['']}",texture,0.010076104,"{'number': 5, 'name': 'green-c', 'category': {'color': 61508}, 'frequency': 61508, 'coverage': 5049.989735, 'syns': ['']}",color,0.00972999,"{'number': 357, 'name': 'frilly', 'category': {'texture': 129}, 'frequency': 129, 'coverage': 129.0, 'syns': ['']}",texture,0.008618813,"{'number': 722, 'name': 'ball_pit-s', 'category': {'scene': 22}, 'frequency': 22, 'coverage': 22.0, 'syns': ['']}",scene,0.008298666
7,object,plant,0.024523473,green-c,63326720,1968240,1384558,0.021664048,plant,3760075,1241958,119731,0.024523473,body,1291612,251405,5935,0.003861212,food,1104928,163093,9179,0.007291622,park-s,1179136,593752,15864,0.009028903,veined,1806336,265962,35481,0.017419827,"{'number': 35, 'name': 'plant', 'category': {'object': 4546, 'part': 452}, 'frequency': 4998, 'coverage': 304.198798, 'syns': ['flora', 'plant life']}",object,0.024523473,"{'number': 33, 'name': 'grass', 'category': {'object': 5390}, 'frequency': 5390, 'coverage': 1039.167345, 'syns': ['']}",object,0.022565224,"{'number': 5, 'name': 'green-c', 'category': {'color': 61508}, 'frequency': 61508, 'coverage': 5049.989735, 'syns': ['']}",color,0.021664048,"{'number': 331, 'name': 'veined', 'category': {'texture': 144}, 'frequency': 144, 'coverage': 144.0, 'syns': ['']}",texture,0.017419827,"{'number': 357, 'name': 'frilly', 'category': {'texture': 129}, 'frequency': 129, 'coverage': 129.0, 'syns': ['']}",texture,0.012859797
8,texture,lined,0.01582645,white-c,72511065,1281129,232417,0.003159566,bus,1628191,730947,22505,0.00963138,frame,136341,150826,2520,0.008853071,plastic-opaque,577397,139097,2985,0.004183549,building_facade-s,3148544,413203,23845,0.00673987,lined,1568000,113464,26197,0.01582645,"{'number': 372, 'name': 'lined', 'category': {'texture': 125}, 'frequency': 125, 'coverage': 125.0, 'syns': ['']}",texture,0.01582645,"{'number': 343, 'name': 'grid', 'category': {'texture': 134, 'object': 2}, 'frequency': 136, 'coverage': 134.108822, 'syns': ['']}",texture,0.011971523,"{'number': 290, 'name': 'banded', 'category': {'texture': 205}, 'frequency': 205, 'coverage': 205.0, 'syns': ['']}",texture,0.010310877,"{'number': 203, 'name': 'bus', 'category': {'object': 399}, 'frequency': 399, 'coverage': 131.143655, 'syns': ['']}",object,0.00963138,"{'number': 166, 'name': 'frame', 'category': {'part': 505, 'object': 36}, 'frequency': 541, 'coverage': 10.900613, 'syns': ['']}",part,0.008853071
9,part,back pillow,0.00529175,orange-c,30348501,1280600,76625,0.002428494,sheep,811669,594435,6205,0.004432463,back pillow,282308,160710,2332,0.00529175,leather,470954,238364,2483,0.003512842,moon_bounce-s,137984,338027,1520,0.003203433,waffled,1555456,62446,7289,0.004525606,"{'number': 140, 'name': 'back pillow', 'category': {'part': 644}, 'frequency': 644, 'coverage': 22.95188, 'syns': ['']}",part,0.00529175,"{'number': 162, 'name': 'inside arm', 'category': {'part': 575}, 'frequency': 575, 'coverage': 9.107464, 'syns': ['']}",part,0.004963236,"{'number': 376, 'name': 'waffled', 'category': {'texture': 124}, 'frequency': 124, 'coverage': 124.0, 'syns': ['']}",texture,0.004525606,"{'number': 243, 'name': 'sheep', 'category': {'object': 303}, 'frequency': 303, 'coverage': 65.363339, 'syns': ['']}",object,0.004432463,"{'number': 81, 'name': 'back', 'category': {'part': 1619}, 'frequency': 1619, 'coverage': 48.180077, 'syns': ['']}",part,0.003870253
10,texture,polka-dotted,0.0210466,orange-c,30348501,1049906,68882,0.002198629,lamp,593361,379352,3509,0.003620497,shade,197478,122838,1657,0.005199916,skin,177664,152256,1135,0.003452104,anechoic_chamber-s,137984,206414,1053,0.003066886,polka-dotted,1705984,179255,38860,0.0210466,"{'number': 342, 'name': 'polka-dotted', 'category': {'texture': 136}, 'frequency': 136, 'coverage': 136.0, 'syns': ['']}",texture,0.0210466,"{'number': 276, 'name': 'dotted', 'category': {'texture': 234}, 'frequency': 234, 'coverage': 234.0, 'syns': ['']}",texture,0.017814152,"{'number': 334, 'name': 'perforated', 'category': {'texture': 143}, 'frequency': 143, 'coverage': 143.0, 'syns': ['']}",texture,0.017635676,"{'number': 364, 'name': 'studded', 'category': {'texture': 127}, 'frequency': 127, 'coverage': 127.0, 'syns': ['']}",texture,0.012373471,"{'number': 360, 'name': 'swirly', 'category': {'texture': 128}, 'frequency': 128, 'coverage': 128.0, 'syns': ['']}",texture,0.006407585
