layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
layer3,0,0.161556202,0.01221098,carnivore,0.010087326,device,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.110505439,0.021599669009447098
layer3,1,0.37119957,0.022977937,aquatic bird,0.008319126,vertebrate,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.013828605,0.28974369168281555
layer3,2,0.444037034,0.020907413,structure,0.020667275,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.018017981,0.0961574912071228
layer3,3,0.23321421,0.0140396,musical instrument,0.010792161,mammal,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.031526558,0.1612766534090042
layer3,4,0.240375908,0.016424213,furnishing,0.015317998,fruit,0.014474069,dog,0.009715834,container,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.035917915,0.18891215324401855
layer3,5,0.247416914,0.025190601,place of business,0.010294993,dog,0.006926688,vehicle,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.016959148,0.15689218044281006
layer3,6,0.23372835,0.027186953,food,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.035666972,0.18098671734333038
layer3,7,0.334900661,0.014587753,mammal,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.053530153,0.20974302291870117
layer3,8,0.258747495,0.023491073,mammal,0.02311639,food,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.036397953,0.17874719202518463
layer3,9,0.273588546,0.01667337,food,0.011632541,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.015994675,0.20283833146095276
layer3,10,0.131057189,0.057783507,daisy,0.006736087,food,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.032705817,0.09355470538139343
layer3,11,0.233397721,0.09485731,manhole cover,0.08642737,carbonara,0.08607056,artichoke,0.021759644,clothing,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.061016064,0.1919068843126297
layer3,12,0.171137587,0.006735872,domestic animal,0.004261432,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.019906739,0.044941265136003494
layer3,13,0.269755647,0.013725136,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.037666015,0.13072700798511505
