layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation,sim ablation(optim),sim ablation(norm)
layer4,0,0.309684274,0.7317826,toiletry,0.7316116,wolfhound,0.702885,shaker,0.29921088,terrier,0.15454982,instrumentality,0,0,0,0,0,0,0,0,0,0,0.317493498,0.228491217,0.020520806,0.016229868
layer4,1,0.278830736,0.80614144,bottle,0.59346217,toiletry,0.17667373,artifact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536616147,0.175633952,0.006181538,0.005838811
layer4,2,0.364805382,2.2856772,lab coat,1.1401,medical instrument,1.0338011,woman's clothing,0.32418627,clothing,0,0,0,0,0,0,0,0,0,0,0,0,0.460517228,0.256350517,0.035681427,0.036360443
layer4,3,0.421751908,1.3614273,photocopier,1.2075256,construction crane,0.96285766,weapon,0.7651847,rodent,0.4215007,conveyance,0,0,0,0,0,0,0,0,0,0,0.37531507,0.258591652,0.03458935,0.036649168
layer4,4,0.363362392,1.091275,sandwich,0.5262726,substance,0.25601748,artifact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382241994,0.147720322,0.003293991,0.000183523
layer4,5,0.349435828,1.5052549,weapon,1.3493166,food fish,1.3077478,salamander,1.2803562,pen,0.29589412,invertebrate,0,0,0,0,0,0,0,0,0,0,0.483784407,0.30804801,0.052187383,0.059071422
layer4,6,0.367531651,1.3221313,Pickelhaube,1.1983385,academic gown,0.7260698,old world monkey,0.4317548,clothing,0.42507157,hunting dog,0,0,0,0,0,0,0,0,0,0,0.458472937,0.215647921,0.020458996,0.006893337
layer4,7,0.333328712,2.1814988,weight,1.5411898,orthopterous insect,0.9942086,bear,0.27348775,canine,0.16230309,instrumentality,0,0,0,0,0,0,0,0,0,0,0.394274712,0.172180191,0.022607565,0.01517117
layer4,8,0.503187676,2.6849887,tusker,2.5389793,elephant,1.9899209,viaduct,1.5968995,swine,0,0,0,0,0,0,0,0,0,0,0,0,0.358386129,0.39552623,0.060215175,0.00870961
layer4,9,0.403432902,1.9594644,pirate ship,1.4576339,sailing vessel,1.0034438,radio telescope,0.24676068,conveyance,0.11909458,artifact,0,0,0,0,0,0,0,0,0,0,0.369080126,0.292681128,0.03114146,0.036024868
