layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
classifier[4],0,0.5959905769065817,1.7066333,mountain,1.5561559,whale,1.4164636,castle,1.3909998,trees,1.3685746,rose,1.3482614,mushroom,1.2165383,dolphin,0.94512963,large man-made outdoor things,0.7626705,medium-sized mammals,0.74953425,large omnivores and herbivores,0.5837033987045288,0.39238065481185913
classifier[4],1,0.7460537744819057,1.8167132,trees,1.758245,large natural outdoor scenes,1.3113922,large man-made outdoor things,0.8711036,vehicles,0.84084046,large omnivores and herbivores,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.4495781362056732,0.5069509744644165
classifier[4],2,0.6621002258996871,2.4584527,wardrobe,1.8114265,sunflower,1.5610616,worm,1.5061432,food containers,1.4113088,fruit and vegetables,1.1224538,hamster,0.8268381,household electrical devices,0.0,0,0.0,0,0.0,0,0.6886558532714844,0.32118138670921326
classifier[4],3,0.5947257235853763,2.0446234,lawn mower,1.8707975,bicycle,1.7743142,chair,1.5768597,tank,1.5001507,clock,1.4097692,beetle,1.2330486,bottle,1.1797096,rocket,0.807025,motorcycle,0.8025477,non-insect invertebrates,0.6317591071128845,0.48336532711982727
classifier[4],4,0.5744966432802495,1.664831,wardrobe,1.5116876,castle,1.4674798,plain,1.3902848,fruit and vegetables,0.89572537,small mammals,0.79688853,large omnivores and herbivores,0.0,0,0.0,0,0.0,0,0.0,0,0.589478075504303,0.46048104763031006
classifier[4],5,0.6702450834945834,2.0240927,skyscraper,1.9080763,bicycle,1.8981901,road,1.8703308,cup,1.6207411,wolf,1.5098209,raccoon,1.456952,household electrical devices,1.2256802,household furniture,0.99610454,large natural outdoor scenes,0.0,0,0.7144283652305603,0.32593318819999695
classifier[4],6,0.6416790898014777,1.8316222,fox,1.7165253,orange,1.5496815,plain,1.4954246,tiger,1.414231,insects,1.379024,caterpillar,1.3301625,hamster,1.1861995,rocket,1.0452809,flowers,0.83416975,non-insect invertebrates,0.6124428510665894,0.5129469633102417
classifier[4],7,0.7024960744641982,1.5598774,trees,1.3430872,vehicles,1.0680385,large omnivores and herbivores,1.0632355,large man-made outdoor things,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.4836241602897644,0.4627406597137451
classifier[4],8,0.5909145219113723,1.8240148,household furniture,1.6128262,bottle,1.5072833,fox,1.2593164,camel,1.2443035,cockroach,1.1985465,television,0.74844134,people,0.60863817,vehicles,0.0,0,0.0,0,0.7434225082397461,0.33131125569343567
classifier[4],9,0.6428459412485232,2.580384,orange,2.3901343,cup,1.8909355,wardrobe,1.5770177,sunflower,1.4700013,large natural outdoor scenes,1.3563175,hamster,1.2634677,large carnivores,1.1930193,camel,0.59472406,non-insect invertebrates,0.0,0,0.6947832107543945,0.37596073746681213
classifier[4],10,0.6214232725374478,1.3727076,chimpanzee,1.3656498,poppy,1.2544107,turtle,1.2380321,pine tree,1.2367141,ray,1.2203451,mountain,1.0753033,train,1.0689783,aquatic mammals,0.82685214,medium-sized mammals,0.0,0,0.4749716222286224,0.5190738439559937
classifier[4],11,0.6317072877550746,1.6775756,lawn mower,1.586359,bicycle,1.5272821,clock,1.5232067,insects,1.2582419,bottle,1.2276181,snake,0.9296067,people,0.91749084,non-insect invertebrates,0.0,0,0.0,0,0.6032527685165405,0.5186106562614441
classifier[4],12,0.490961692393394,2.0856543,orchid,1.8113415,rocket,1.592344,pear,1.4947008,hamster,1.3842812,rose,0.94504404,clock,0.0,0,0.0,0,0.0,0,0.0,0,0.8773431181907654,0.3906033933162689
