layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
features[43],0,0.7191610165417478,1.7939445,bed,1.4044788,rocket,1.2383809,large natural outdoor scenes,1.11606,keyboard,1.0056038,large man-made outdoor things,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2610814571380615,0.27765998244285583
features[43],1,0.6193368991931255,0.9929166,porcupine,0.9383049,willow tree,0.8640472,elephant,0.7609806,keyboard,0.74827176,wardrobe,0.567137,possum,0.42064834,small mammals,0.0,0,0.0,0,0.0,0,0.2297170758247375,0.36300963163375854
features[43],2,0.6727967224548288,1.2137331,trout,1.1744016,palm tree,1.0828644,sea,0.8545202,cockroach,0.76783746,streetcar,0.60478574,shark,0.5156023,bus,0.51452154,train,0.0,0,0.0,0,0.1881154477596283,0.6206983923912048
features[43],3,0.6808754836972788,1.2765825,camel,1.1747533,cockroach,1.1554093,turtle,1.0590616,palm tree,0.7634819,orange,0.68485355,maple tree,0.58599246,non-insect invertebrates,0.0,0,0.0,0,0.0,0,0.2113502323627472,0.5602637529373169
features[43],4,0.6861231264297802,0.82050335,wardrobe,0.65583044,television,0.5434969,bottle,0.514086,skyscraper,0.45230892,man,0.38550338,table,0.24248189,large omnivores and herbivores,0.0,0,0.0,0,0.0,0,0.1062225550413131,0.521818995475769
features[43],5,0.7449865254492967,1.6075443,palm tree,1.4847802,train,1.2557439,large man-made outdoor things,1.23079,dolphin,1.1672071,rocket,0.9801408,pine tree,0.69935954,large natural outdoor scenes,0.0,0,0.0,0,0.0,0,0.1814466714859008,0.480705201625824
features[43],6,0.6806455118414824,0.8570195,porcupine,0.8181949,raccoon,0.790959,dinosaur,0.7445774,elephant,0.68884337,palm tree,0.6647446,keyboard,0.659868,streetcar,0.578269,bee,0.0,0,0.0,0,0.1544222235679626,0.5442014932632446
features[43],7,0.6003137419384791,0.6384774,cup,0.51022726,sea,0.48185158,plain,0.45103294,ray,0.44669506,chair,0.27268666,non-insect invertebrates,0.0,0,0.0,0,0.0,0,0.0,0,0.1380311846733093,0.4138915538787842
features[43],8,0.7173667028727934,0.84779257,orange,0.7636052,people,0.70839596,maple tree,0.70454234,bee,0.6385538,fox,0.53817385,keyboard,0.3625948,household furniture,0.27891535,flowers,0.0,0,0.0,0,0.0967686921358108,0.3807902932167053
features[43],9,0.5941034127872755,0.92879426,whale,0.79277724,dinosaur,0.73488194,bridge,0.6994423,fox,0.57125485,elephant,0.4589041,keyboard,0.4575239,sea,0.44874322,tulip,0.40512213,bear,0.0,0,0.1522302329540252,0.553075909614563
