layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
encoder.layers.encoder_layer_10,0,0.2200055245410904,0.1788385,invertebrate,0.13187122,reptile,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.3854209780693054,0.2141360193490982
encoder.layers.encoder_layer_10,1,0.2563585411539763,0.32000998,butterfly,0.22227605,cat,0.11865329,substance,0.08371527,domestic animal,0.07100047,artifact,0.0,0,0,0,0,0,0,0,0,0,-0.3433708846569061,0.13220107555389404
encoder.layers.encoder_layer_10,2,0.295241343801663,0.20772605,motor vehicle,0.15230477,invertebrate,0.12619117,conveyance,0.08523482,bird,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2115359157323837,0.19976666569709778
encoder.layers.encoder_layer_10,3,0.2720946359954661,0.3323388,geological formation,0.1610717,conveyance,0.12696204,structure,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.3026906251907348,0.10008703172206879
encoder.layers.encoder_layer_10,4,0.2792235574655224,0.23612578,insect,0.16131634,bird,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.2357751429080963,0.219888374209404
encoder.layers.encoder_layer_10,5,0.3459153212942455,0.20678492,substance,0.18137693,furnishing,0.111735895,artifact,0.06992616,commodity,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.379061758518219,0.17302657663822174
encoder.layers.encoder_layer_10,6,0.1887724218404854,0.1839102,geological formation,0.09530815,aquatic bird,0.043731343,matter,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0631906241178512,0.147012397646904
encoder.layers.encoder_layer_10,7,0.2562866126742171,0.18589617,craft,0.066489324,animal,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.045168001204729,-0.03884228691458702
encoder.layers.encoder_layer_10,8,0.2878078570300025,0.28677717,produce,0.14261068,organism,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.595389187335968,0.16004101932048798
encoder.layers.encoder_layer_10,9,0.3582117326553575,0.11399889,vertebrate,0.10107671,bird,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0027568060904741,0.2593024969100952
encoder.layers.encoder_layer_10,10,0.2182127744301023,0.08115111,animal,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3460912108421325,0.08664402365684509
encoder.layers.encoder_layer_10,11,0.2791142429582507,0.25061765,place of business,0.11946883,placental,0.106489725,artifact,0.0431745,instrumentality,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.439920037984848,-0.016612699255347252
encoder.layers.encoder_layer_10,12,0.2282244945386345,0.13844496,primate,0.0547845,organism,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.1027319505810737,0.16158434748649597
encoder.layers.encoder_layer_10,13,0.3424228383370245,0.14719942,dog,0.14193946,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.3950586020946502,0.0997953712940216
encoder.layers.encoder_layer_10,14,0.3408349686718879,0.26583987,butterfly,0.10947104,wheeled vehicle,0.087524526,organism,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.1452418118715286,0.18519629538059235
encoder.layers.encoder_layer_10,15,0.1375393824837179,0.1488949,arachnid,0.06557757,musical instrument,0.05936714,hunting dog,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.1706220358610153,0.12232941389083862
encoder.layers.encoder_layer_10,16,0.1321092893755213,0.15109925,seat,0.06848577,container,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.5567083358764648,0.007805173750966787
encoder.layers.encoder_layer_10,17,0.5297963792507763,0.309248,fruit,0.2560466,organism,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.4182969033718109,0.20809325575828552
encoder.layers.encoder_layer_10,18,0.2717752381512646,0.1827294,bird,0.15463287,invertebrate,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2821524143218994,0.20504508912563324
encoder.layers.encoder_layer_10,19,0.2617861076909534,0.14590356,matter,0.104319185,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0939794182777404,0.13102935254573822
encoder.layers.encoder_layer_10,20,0.1837387462134843,0.28047583,geological formation,0.23338695,craft,0.18639383,electronic equipment,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.6500613689422607,0.1399395614862442
encoder.layers.encoder_layer_10,21,0.303217514620358,0.29400408,fish,0.21761622,diapsid,0.19722791,invertebrate,0.048926335,organism,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.8224344849586487,0.2295876145362854
encoder.layers.encoder_layer_10,22,0.2119423020851968,0.23303306,geological formation,0.0905016,conveyance,0.054466367,artifact,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.3081346750259399,0.08654189109802246
encoder.layers.encoder_layer_10,23,0.1973184104812633,0.106300086,shorebird,0.09064279,furnishing,0.062221155,terrier,0.059450794,matter,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.3471970558166504,0.12857891619205475
encoder.layers.encoder_layer_10,24,0.4013111381008976,0.20818348,artifact,0.16495869,dog,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.1358187198638916,0.03774218261241913
encoder.layers.encoder_layer_10,25,0.1639209673458752,0.3255719,fungus,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2330487817525863,0.16404996812343597
encoder.layers.encoder_layer_10,26,0.3693163326542044,0.27766588,substance,0.23117395,artifact,0.1430447,placental,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.5417110323905945,0.0777699202299118
encoder.layers.encoder_layer_10,27,0.3921652516149446,0.17895505,organism,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.8009774088859558,0.09720146656036377
encoder.layers.encoder_layer_10,28,0.4177832089323332,0.26490355,organism,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.6907202005386353,0.11194618791341782
encoder.layers.encoder_layer_10,29,0.3054063625532481,0.3070546,geological formation,0.22012158,vehicle,0.12867337,structure,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3162211179733276,0.17963512241840363
encoder.layers.encoder_layer_10,30,0.2729863615289574,0.16979851,wheeled vehicle,0.07136803,vertebrate,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2717806994915008,0.14148300886154175
encoder.layers.encoder_layer_10,31,0.4074175638544361,0.16026908,organism,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0172573663294315,0.1340366005897522
encoder.layers.encoder_layer_10,32,0.3382831397748971,0.13981096,artifact,0.12062826,domestic animal,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7857522368431091,-0.0907038152217865
encoder.layers.encoder_layer_10,33,0.2386423413492812,0.27462134,antelope,0.23305921,feline,0.13142666,bird,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.1757400631904602,0.19343556463718414
encoder.layers.encoder_layer_10,34,0.1218302826564197,0.18871681,cartilaginous fish,0.12864777,craft,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.235862135887146,0.05677241086959839
encoder.layers.encoder_layer_10,35,0.2666678091317096,0.108317494,vertebrate,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.4902998208999634,0.03828174248337746
encoder.layers.encoder_layer_10,36,0.2560921971250032,0.56823194,daisy,0.20631759,feline,0.15043215,insect,0.1228352,wheeled vehicle,0.0706206,structure,0.0,0,0,0,0,0,0,0,0,0,-0.1968696117401123,0.11215393990278244
encoder.layers.encoder_layer_10,37,0.3035361199444132,0.115103744,wheeled vehicle,0.105079494,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.9239075183868408,0.1635250747203827
encoder.layers.encoder_layer_10,38,0.4005985469466832,0.26129174,insect,0.13611136,organism,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2752667665481567,0.296008437871933
encoder.layers.encoder_layer_10,39,0.4006020706577922,0.36592564,geological formation,0.1706711,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.2448295056819915,0.05580436438322067
encoder.layers.encoder_layer_10,40,0.3943561060516576,0.2932395,organism,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1.2176703214645386,0.19635321199893951
encoder.layers.encoder_layer_10,41,0.3165717679347636,0.35454854,fungus,0.1459576,produce,0.075928815,organism,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.347652792930603,0.18726778030395508
encoder.layers.encoder_layer_10,42,0.2188424030190152,0.4601212,zebra,0.25862536,spiny-finned fish,0.070955805,carnivore,0.060602367,instrumentality,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.2611206769943237,0.09436963498592377
encoder.layers.encoder_layer_10,43,0.4812098725281135,0.25777647,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.5277104377746582,0.08316255360841751
encoder.layers.encoder_layer_10,44,0.2971445479757303,0.1807127,bird,0.165448,mammal,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.5218679308891296,0.20690461993217468
encoder.layers.encoder_layer_10,45,0.3561160545799018,0.13571459,artifact,0.12483917,dog,0.0936327,commodity,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.183118000626564,0.061272792518138885
encoder.layers.encoder_layer_10,46,0.333241220670753,0.19219775,organism,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.6676357388496399,0.15365998446941376
encoder.layers.encoder_layer_10,47,0.3837502658940947,0.22953378,conveyance,0.11231083,canine,0.10199112,artifact,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7041469812393188,0.07413574308156967
encoder.layers.encoder_layer_10,48,0.3014162223855368,0.15560582,dog,0.12421472,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.2409832924604416,0.08812734484672546
encoder.layers.encoder_layer_10,49,0.1931984379904801,0.45125782,obelisk,0.2695971,fungus,0.2541158,gymnastic apparatus,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2841019928455353,0.13624261319637299
encoder.layers.encoder_layer_10,50,0.2057645946197358,0.15603076,craft,0.09284517,dog,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.2618759572505951,0.11263629794120789
encoder.layers.encoder_layer_10,51,0.1442168257586539,0.19653471,lighter-than-air craft,0.13466646,roof,0.05892367,insect,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2213187515735626,0.0711129903793335
encoder.layers.encoder_layer_10,52,0.2600054182195962,0.40875012,feline,0.23421617,substance,0.19724563,reptile,0.10649011,artifact,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2709148526191711,0.11854579299688339
encoder.layers.encoder_layer_10,53,0.2419438164674567,0.22456406,geological formation,0.15052283,bird,0.112604044,vehicle,0.09819528,structure,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.3872861862182617,0.14140184223651886
encoder.layers.encoder_layer_10,54,0.3832500672903677,0.16946232,animal,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.067995585501194,0.2348061501979828
encoder.layers.encoder_layer_10,55,0.1476030133875579,0.39015388,window screen,0.07553426,structure,0.054686684,dog,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0718415677547454,0.11213666200637817
encoder.layers.encoder_layer_10,56,0.5287270168602481,0.47338423,fungus,0.31284449,diapsid,0.23646083,invertebrate,0.19516736,organism,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.698193371295929,0.3588787019252777
encoder.layers.encoder_layer_10,57,0.2246257231421953,0.21355112,geological formation,0.15041168,bird,0.1329928,ungulate,0.124094866,insect,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.1947597414255142,0.16918839514255524
encoder.layers.encoder_layer_10,58,0.2877004087545348,0.1927741,primate,0.13413955,whole,0.0776875,animal,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.135691300034523,0.17367178201675415
encoder.layers.encoder_layer_10,59,0.4875988700434494,0.21028231,insect,0.20143288,organism,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.699354350566864,0.2449774146080017
