layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
encoder,0,0.1234317984634693,1.0892972,hippopotamus,0.3670379,shorebird,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0466027744114398,0.07511407136917114
encoder,1,0.0951185399414811,0.33046025,shop,0.26840594,crustacean,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1288589090108871,0.0565992072224617
encoder,2,0.1203457685207773,0.688925,fox,0.4979146,schnauzer,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153940161690115,0.09599210321903229
encoder,3,0.1422732434680622,0.12568757,hunting dog,0.081925705,animal,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1070739179849624,0.06621027737855911
encoder,4,0.0727598890067298,0.48714322,leporid,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418863706290721,0.055988628417253494
encoder,5,0.1211436949553765,1.1931977,snow leopard,1.0743017,Dandie Dinmont Terrier,0.11449544,container,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0757043361663818,0.08510679751634598
encoder,6,0.0650813917384383,0.0051218965,instrumentality,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011561511782929,0.022968851029872894
encoder,7,0.0977342625714258,0.48844332,fox,0.44352326,cartilaginous fish,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340631864964962,0.0653950497508049
encoder,8,0.1897807875945533,0.91467494,bear,0.28342173,snake,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0364859588444232,0.10220719128847122
encoder,9,0.1223921716857832,1.0294749,koala,0.3133306,vegetable,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031685896217823,0.10560104995965958
encoder,10,0.1155366028772241,0.56837803,digital computer,0.4000578,arachnid,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060119433328509,0.1044711098074913
encoder,11,0.1147687982822233,0.589624,cruciferous vegetable,0.3552712,fungus,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319512747228145,0.09009692817926407
encoder,12,0.1169642626217267,0.64439,schnauzer,0.33694535,sporting dog,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071345180273056,0.07402641326189041
