layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
encoder.layers.encoder_layer_22,0,0.3076751953612981,0.7632853,fish,0.676207,diapsid,0.5304563,invertebrate,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.1698577851057052,0.2520313858985901
encoder.layers.encoder_layer_22,1,0.5552939266677147,0.9995275,artifact,0.44873983,mammal,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.5561819076538086,-0.14982637763023376
encoder.layers.encoder_layer_22,2,0.2422162107870535,1.283197,parrot,0.4863328,matter,0.4602674,device,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.5586260557174683,0.15594007074832916
encoder.layers.encoder_layer_22,3,0.1499530234853314,1.1434655,ping-pong ball,0.722712,wolf,0.37006783,fish,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.1049344912171363,0.1098129078745842
encoder.layers.encoder_layer_22,4,0.3753062570866342,0.5816612,invertebrate,0.5444451,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4328837394714355,-0.001662696129642427
encoder.layers.encoder_layer_22,5,0.3383206038970939,0.43182406,vertebrate,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.3180273175239563,0.1684543341398239
encoder.layers.encoder_layer_22,6,0.3765328674716242,0.61704373,commodity,0.5978315,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.7860603332519531,0.018881509080529213
encoder.layers.encoder_layer_22,7,0.4630915100198067,0.7887525,artifact,0.35420817,carnivore,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.4576453268527984,-0.0411984883248806
encoder.layers.encoder_layer_22,8,0.3936894137093127,0.80232656,food,0.6492287,arthropod,0.4058366,organism,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0404624231159687,0.2645680904388428
encoder.layers.encoder_layer_22,9,0.1995683353372607,1.2467496,stork,0.22650126,artifact,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.1714803576469421,0.04097016900777817
