layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
encoder.layers.encoder_layer_23.mlp[1],0,0.6785660331076175,0.5991121,brown bear,0.5337301,hippopotamus,0.31995735,American black bear,0.17659633,tusker,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0134116280823946,0.49843302369117737
encoder.layers.encoder_layer_23.mlp[1],1,0.8220755429404736,3.8159473,Brittany dog,2.1717238,Welsh Springer Spaniel,1.8561718,springer spaniel,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0914902910590171,0.784054696559906
encoder.layers.encoder_layer_23.mlp[1],2,0.0147283480098091,0.023896668,tiger shark,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0482590086758136,0.012276717461645603
encoder.layers.encoder_layer_23.mlp[1],3,0.0164770357922424,0.023439439,tiger shark,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0354741588234901,0.01739693246781826
encoder.layers.encoder_layer_23.mlp[1],4,0.3845950591602082,1.4595631,Soft-coated Wheaten Terrier,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0254167504608631,0.3338083326816559
encoder.layers.encoder_layer_23.mlp[1],5,0.2708960746397563,0.46610093,loupe magnifying glass,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0652669370174408,0.13449864089488983
encoder.layers.encoder_layer_23.mlp[1],6,0.6701275765308745,0.86223257,proboscis monkey,0.8532303,lorikeet,0.24502787,American robin,0.22881763,indigo bunting,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0098617682233452,0.7294561862945557
encoder.layers.encoder_layer_23.mlp[1],7,0.796713997993672,1.682647,St. Bernard,1.2680945,Welsh Springer Spaniel,1.1619864,borzoi,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0039852657355368,0.5924763083457947
encoder.layers.encoder_layer_23.mlp[1],8,0.0753446901102131,0.02074954,domestic animal,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0606405027210712,0.008759292773902416
encoder.layers.encoder_layer_23.mlp[1],9,0.1504707717285769,0.20600815,solar thermal collector,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0281541068106889,0.16865530610084534
