layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
layer1,0,0.1513974372522173,0.1253976,garden,0.09679691,dinner,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3467185497283935,0.14772947132587433
layer1,1,0.2930825226996013,0.27526534,forest,0.22095406,crowd,0.16193157,fall,0.15212879,garden,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.4303738176822662,0.28705745935440063
layer1,2,0.3167180123665599,0.3887166,arrangement,0.3628146,kitsch,0.32161644,coordination,0.26077166,day care center,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3667717278003692,0.3122975826263428
layer1,3,0.3529865858499741,0.3715936,forest,0.28915858,comestible,0.28044614,garden,0.2739999,tradition,0.19364361,shopping,0.0,0,0,0,0,0,0,0,0,0,0.2681062221527099,0.2995288074016571
layer1,4,0.3203654068296305,0.50132114,press,0.29260918,steward,0.22837724,making,0.2203716,furniture,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3629871010780334,0.3186534643173218
layer1,5,0.3136345673440512,0.8102675,birdcage,0.5942812,group,0.45502713,bamboo,0.45311975,collection,0.3992774,shopping,0.0,0,0,0,0,0,0,0,0,0,0.301582783460617,0.2960754334926605
layer1,6,0.3341207927946451,0.524748,foliage,0.39459836,soil,0.32056233,picnic,0.2284052,cascade,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.6283493041992188,0.2414800375699997
layer1,7,0.2826779741668324,0.25846145,autumn,0.20448466,tradition,0.18351395,gulch,0.08944853,antechamber,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.354673832654953,0.19680099189281464
layer1,8,0.3275417211039664,0.9897821,spice,0.8650222,decoration,0.35931456,organizing,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.175664409995079,0.3099348247051239
layer1,9,0.3398506011388098,0.59129995,vegetarian,0.53449535,kitsch,0.33042443,day care center,0.23000602,amusement,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2098120748996734,0.28588244318962097
layer1,10,0.3999801640240216,0.18327303,habitat,0.16523163,garden,0.14421055,creek,0.084258325,terraces,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.7099601626396179,0.35781171917915344
layer1,11,0.2523419286232377,0.21438505,ecosystem,0.12710786,desert,0.119950265,autumn,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.339773029088974,0.1883544772863388
layer1,12,0.3092545535257184,0.2411977,"canal, natural",0.14634684,lawn,0.14239767,vegetation,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3407817780971527,0.3038901388645172
layer1,13,0.2999937984011303,0.3602166,opponent,0.27157485,show,0.26279965,gastronomy,0.26083067,collection,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2800393402576446,0.24680685997009277
layer1,14,0.2937984560010701,0.48803046,vegetarian,0.44078746,perennial,0.41214284,show,0.37305018,kitsch,0.25673747,ball pit,0.0,0,0,0,0,0,0,0,0,0,0.1746523678302765,0.28292423486709595
layer1,15,0.2817469643002611,0.5054454,greens,0.2010983,jungle,0.19861029,garden,0.12796459,recreation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3480154871940613,0.2843402922153473
layer1,16,0.380923844456524,0.67131746,steward,0.6553938,adjustment,0.5763522,display,0.5497193,study,0.5068657,show,0.33287284,hotel room,0,0,0,0,0,0,0,0,0.1620584577322006,0.3739907145500183
layer1,17,0.3313628280951962,0.79787755,night,0.71311975,show,0.42155355,dinner,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.4358850419521332,0.3402368724346161
layer1,18,0.2818149984436335,0.28284702,group,0.21286416,shopping,0.21036984,dining,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2171469181776046,0.2695699632167816
layer1,19,0.320803606756103,0.33245426,study,0.31756553,wardrobe,0.2856763,celebration,0.2135959,incandescence,0.10243471,"doorway, indoor",0.0,0,0,0,0,0,0,0,0,0,0.4515711069107055,0.31006959080696106
layer1,20,0.2472851358545786,0.23100203,bustle,0.20810999,masonry,0.14990532,shopping,0.1348174,junk,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.442113310098648,0.18320870399475098
layer1,21,0.2451059637067865,0.16488303,lighting,0.11042598,night,0.08620545,downstairs,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3260721564292907,0.20405660569667816
layer1,22,0.4674664850294086,1.7304006,greens,1.1921165,ecosystem,0.659309,garden,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.1478364914655685,0.46249082684516907
layer1,23,0.3634885726980753,1.1367083,diving,0.64184105,biosphere,0.42371717,gale,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.217447891831398,0.2571968138217926
layer1,24,0.2726327891512829,0.51495963,wardrobe,0.28230527,hallway,0.18532789,stalk,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3097822070121765,0.22968120872974396
layer1,25,0.3082789583625,0.39432666,kiosk,0.32283792,colonial,0.29432923,terraces,0.25842386,building,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.5631174445152283,0.23167355358600616
layer1,26,0.2502484528326167,0.36547726,thunder,0.18366086,sunset,0.18097505,sea,0.15764815,pitch,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.468187004327774,0.2352350354194641
layer1,27,0.3247547166907013,0.20891789,cook,0.18226744,student,0.16675551,decoration,0.1433633,organizing,0.11899547,counter,0.0,0,0,0,0,0,0,0,0,0,0.3595733642578125,0.31400400400161743
layer1,28,0.2425556101108258,0.3383011,air,0.20245317,pitch,0.13975844,landform,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.5011512637138367,0.19339370727539062
layer1,29,0.2325714666596113,0.22691232,air,0.18900757,light,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.4362217485904693,0.23584629595279694
layer1,30,0.3633701168412696,0.7049618,picket,0.63575006,collection,0.58933985,garden,0.5334168,habitat,0.4537862,building facade,0.0,0,0,0,0,0,0,0,0,0,0.4174706041812897,0.2843678891658783
layer1,31,0.2194359598975075,0.08264308,closet,0.08215926,"doorway, indoor",0.07911312,hotel room,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.5189616084098816,0.18388047814369202
layer1,32,0.2256109171932639,0.350191,attire,0.28279874,group,0.2119714,hallway,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.7686370015144348,0.2399604171514511
layer1,33,0.2714537257892435,0.37525523,unit,0.22875783,furnishing,0.114610486,"doorway, indoor",0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.4731679856777191,0.2555806338787079
layer1,34,0.3796349883519155,0.52455014,incandescence,0.50572395,spice,0.49459338,vegetarian,0.27656645,tradition,0.24776505,ball pit,0.0,0,0,0,0,0,0,0,0,0,0.0828801020979881,0.25763463973999023
layer1,35,0.1387165777394238,0.25075948,air,0.13413195,light,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3815231025218963,0.16782239079475403
layer1,36,0.4054371051407632,0.5151154,show,0.49544004,nightlight,0.29430705,dinner,0.22412977,fight,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.1395673304796219,0.3782453238964081
layer1,37,0.2824457208062781,0.457956,adjustment,0.3235699,unit,0.28849688,lightscreen,0.2649749,restroom,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3627863526344299,0.269630491733551
layer1,38,0.2520122656009413,0.43108684,vacation,0.27247605,vegetarian,0.2475034,kitsch,0.20584936,day care center,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.1659943163394928,0.2078932523727417
layer1,39,0.3471694099121388,0.34733492,shop,0.3238516,building facade,0.16978765,cafe,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2386370301246643,0.27326303720474243
layer1,40,0.2293226243210818,0.3639103,wholesale,0.25889245,kitsch,0.24441297,leisure,0.18247892,ski,0.13159336,terraces,0.0,0,0,0,0,0,0,0,0,0,0.2225566059350967,0.1480964720249176
layer1,41,0.3321787091958771,0.23681915,landform,0.22676578,infiltration,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.5291685461997986,0.2282259464263916
layer1,42,0.3231718263804398,0.4490513,starboard,0.38746953,peak,0.33574644,ice,0.17905737,building,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.2294928133487701,0.2743763029575348
layer1,43,0.2846976183636123,0.33318928,flax,0.16321924,collection,0.12997523,carousel,0.12407966,building facade,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.5770687460899353,0.20732605457305908
layer1,44,0.3383355566357868,0.34140185,group,0.30020022,styling,0.2952597,decoration,0.28638574,eating,0.1898529,shopping,0.0,0,0,0,0,0,0,0,0,0,0.2388752698898315,0.3346789479255676
layer1,45,0.3554630251975954,1.344288,show-stopper,0.97367907,jellyfish,0.77504915,disco,0.6159099,kitsch,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.1728585064411163,0.2796759605407715
layer1,46,0.3204303001344881,0.4826672,shop,0.46049562,stepping-stone,0.39943004,terraces,0.36907807,corral,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.4701568484306335,0.23839212954044342
layer1,47,0.2644771415148594,0.39534676,gearshift,0.33469298,plant,0.31410775,troop,0.2276439,tradition,0.19358826,market,0.0,0,0,0,0,0,0,0,0,0,0.6422765254974365,0.1843554526567459
layer1,48,0.3825904313876144,0.38434306,fighter,0.36849752,mobility,0.33395493,furniture,0.2907996,collection,0.20870806,counter,0.0,0,0,0,0,0,0,0,0,0,0.1365352123975753,0.342856764793396
layer1,49,0.4521718911928328,0.6220742,hiking,0.6111258,garden,0.6086246,vegetation,0.32179615,midden,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.6333622336387634,0.4153940975666046
layer1,50,0.3334528546098225,0.22223984,sea,0.19243675,scenery,0.16071972,infiltration,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.7850069999694824,0.3122364282608032
layer1,51,0.3300625470477498,0.40234226,vegetarian,0.28743404,spring,0.26070255,kitsch,0.22279584,leisure,0.14776628,ball pit,0.0,0,0,0,0,0,0,0,0,0,0.184760496020317,0.23504102230072021
layer1,52,0.4578996454650352,1.02173,forest,0.90709496,garden,0.7234048,tradition,0.7117746,hiking,0.46498963,midden,0.0,0,0,0,0,0,0,0,0,0,0.6172520518302917,0.3959091603755951
layer1,53,0.1935573975347585,0.18074085,opponent,0.150858,appliance,0.08156673,counter,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3385209739208221,0.1310434341430664
layer1,54,0.2024007680831608,0.12606207,fall,0.06627822,doorway,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.6329683661460876,0.19055773317813873
layer1,55,0.2817606785803083,0.8146773,leeway,0.7203773,air,0.41694778,fog bank,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3304657638072967,0.25342586636543274
layer1,56,0.3047024336526361,0.23014794,swimming,0.22486718,sunset,0.18119286,landform,0.16805288,infiltration,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.6235564351081848,0.2261137217283249
layer1,57,0.3487605600616138,0.17188516,gale,0.16139644,scenery,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.8545411229133606,0.33394959568977356
layer1,58,0.1945542444373476,0.30718178,stamen,0.24480477,celebration,0.16125001,attire,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.575387179851532,0.2044418305158615
layer1,59,0.2664219901653301,0.54646194,vegetarian,0.3626226,hectare,0.33060163,antiquity,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.353448212146759,0.1365492045879364
layer1,60,0.2039550217952128,0.22367944,light,0.20820388,session,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.6589421629905701,0.20770014822483063
layer1,61,0.3669309195456809,0.32081679,habitat,0.1629197,terraces,0.16107571,most,0.14398313,crop,0.13627328,shed,0.0,0,0,0,0,0,0,0,0,0,0.6418399214744568,0.31075483560562134
layer1,62,0.1994577455549926,0.1113021,bower,0.10432846,midden,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.6018111705780029,0.06358315050601959
layer1,63,0.1588871512669958,0.2161853,comestible,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.3010691404342651,0.10155248641967773
