layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
layer2,0,0.276878303,0.4174117,brownie,0.19310711,antechamber,0.19215918,dinner,0.18934353,tradition,0.12704752,accompanist,0.0,0,0,0,0,0,0,0,0,0,0.07163769,0.23544397950172424
layer2,1,0.366511701,0.3880414,height,0.3094418,sliding door,0.23249242,garb,0.1492268,cabinet,0.14217278,standing,0.0,0,0,0,0,0,0,0,0,0,0.246585727,0.304787278175354
layer2,2,0.179779434,0.16596496,motor vehicle,0.1350953,night,0.11756439,park,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.116878353,0.18600593507289886
layer2,3,0.140716442,0.13875541,veterinarian,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.078615919,0.10935452580451965
layer2,4,0.200066093,0.17162834,marmalade,0.08060531,supper,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.052713539,0.18165235221385956
layer2,5,0.14822097,0.23188858,parade,0.191434,sled,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.186778367,0.12000520527362823
layer2,6,0.225720213,0.48166183,window screen,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.116945416,0.08431922644376755
layer2,7,0.21599138,0.16939448,calico,0.16744967,seafood,0.12465088,carnivore,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.051655032,0.21706393361091614
layer2,8,0.244800905,0.23523827,steward,0.18404007,object,0.124536894,gadget,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.06454315,0.2180451899766922
layer2,9,0.205423633,0.3343675,motor vehicle,0.16036786,tray,0.13298967,shore,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.103136919,0.19410671293735504
layer2,10,0.220281292,0.17534299,kitsch,0.14622988,material,0.1388307,snack,0.103829205,nectar,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.066326231,0.16971327364444733
layer2,11,0.271863902,0.25593433,attire,0.22183158,making,0.20056954,lunch,0.14365919,equipment,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.070382103,0.24400155246257782
layer2,12,0.232640773,0.18231767,motor vehicle,0.100457,hardware,0.08971385,junk,0.08815702,cook,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.133464307,0.21526606380939484
layer2,13,0.183025059,0.2095819,invertebrate,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.231927335,0.15634998679161072
layer2,14,0.224029062,0.1268873,veterinarian,0.07132138,macrofauna,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.08656612,0.21393786370754242
layer2,15,0.303393666,0.1882695,arrangement,0.18372184,garb,0.15299079,stall,0.12689699,motor vehicle,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.07489527,0.24466674029827118
layer2,16,0.351011556,0.33513302,object,0.33454224,casing,0.32355994,light,0.23566721,window screen,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.185868561,0.3203761875629425
layer2,17,0.314731191,0.3753578,starches,0.22344808,bite,0.119227305,macro,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.083819956,0.31188809871673584
layer2,18,0.217563765,0.15259701,crisp,0.08774422,coral,0.067508474,habitat,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.088143431,0.21535569429397583
layer2,19,0.160828348,0.1373922,snowsuit,0.10921321,lunch,0.0862891,parade,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.089843012,0.13425250351428986
layer2,20,0.214574576,0.15263422,object,0.15259676,temp,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.151538715,0.18614767491817474
layer2,21,0.339007398,0.4099747,incandescence,0.27987367,pumpkin,0.122351915,macro,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.079878964,0.2899324893951416
layer2,22,0.335285282,0.5323447,motor vehicle,0.41863227,river(scene),0.3799392,starboard,0.32280204,counter,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.071911104,0.28917384147644043
layer2,23,0.154971404,0.21270159,veterinarian,0.09097026,hutch,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.143718183,0.1111946627497673
layer2,24,0.24675363,0.40053573,motor vehicle,0.20442683,counter,0.14904839,red-breasted merganser,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.089358062,0.23026587069034576
layer2,25,0.205331471,0.18545504,picnic,0.14058234,sport,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.096929401,0.1762838065624237
layer2,26,0.253802562,0.24434319,attire,0.22889656,lad,0.12599026,pair,0.10522115,conformation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.089926884,0.2439529001712799
layer2,27,0.262838784,0.20350921,pew,0.15737057,"doorway, indoor",0.14331155,cabinet,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.183026969,0.21784915030002594
layer2,28,0.173671446,0.11453238,counter,0.109718025,junk,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.152361155,0.10143423825502396
layer2,29,0.294042555,0.2522533,arrangement,0.22739793,student,0.21010366,garb,0.17316586,counter,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.129346192,0.22891901433467865
layer2,30,0.197277347,0.2916987,view,0.2192248,casing,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.044589251,0.16534213721752167
layer2,31,0.241564328,0.37695235,chops,0.33756942,calico,0.2777079,sweets,0.23848915,eating,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.08669173,0.23985779285430908
layer2,32,0.163668418,0.23934285,crisp,0.11877686,kitsch,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.121941693,0.1635928899049759
layer2,33,0.315358177,0.3228803,moose,0.19032054,habitat,0.15131195,pelt,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.049648903,0.27982473373413086
layer2,34,0.26068513,0.24662998,steward,0.15856025,styling,0.14663604,motor vehicle,0.08700024,tourist,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.036285907,0.22032585740089417
layer2,35,0.296433836,0.55562127,dummy,0.43633565,cuff-link,0.35685784,grasp,0.25665823,kite,0.19102053,light,0.0,0,0,0,0,0,0,0,0,0,0.097625785,0.23389515280723572
layer2,36,0.291754521,0.67611986,creek,0.63937646,motor vehicle,0.6062697,ground,0.20790233,leptocephalus,0.18143497,aquatic bird,0.0,0,0,0,0,0,0,0,0,0,0.248468935,0.23286807537078857
layer2,37,0.175940813,0.2245569,wrapping,0.1258887,bed,0.10595983,berth(scene),0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.097332098,0.1297626495361328
layer2,38,0.239577832,0.4458562,wheel,0.40811655,strap,0.22782291,dial,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.182175472,0.1617603302001953
layer2,39,0.29603825,0.5017136,display,0.32223317,equipment,0.25805646,furnishing,0.21829464,light,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.211811557,0.27228662371635437
layer2,40,0.207911501,0.13182333,angiosperm,0.12839843,eating,0.10573638,garb,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.059437003,0.1775636225938797
layer2,41,0.314057483,0.24095741,motor vehicle,0.18255022,stall,0.14930347,counter,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.092217326,0.29785847663879395
