unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation,sim ablation(optim),sim ablation(norm)
0,0.378981593,4.2352433,bottle,2.7434227,tube,2.1172323,mousetrap,1.511311,Scottish Deerhound,1.2478685,Cairn Terrier,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.328769118,0.3188020288944244,0.0472359061241149,0.032042503356933594
1,0.366154024,7.1881227,sign,4.7211614,sideburns,4.4717374,packet,3.6728969,bottle cap,3.2746902,athlete,2.1585248,drinking,0.0,0,0.0,0,0.0,0,0,0,0.556707442,0.339058369398117,0.0358169674873352,0.03820401430130005
2,0.36872694,5.5311246,researcher,5.0280786,attire,3.16321,lotion,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.433706254,0.3010049164295196,0.0448402166366577,0.03816789388656616
3,0.442406072,3.7094223,weapon,2.4490016,equipment,2.1655097,berth,1.6901981,photocopier,1.6223124,boat,1.6176865,beaver,0.0,0,0.0,0,0.0,0,0,0,0.351329565,0.4183756709098816,0.094770073890686,0.08131235837936401
4,0.404803413,6.243586,"gymnasium, indoor",3.962321,work surface,3.9151623,making,2.581177,printer,2.026648,supper,1.8946697,hotdog,1.033707,accompanist,0.0,0,0.0,0,0,0,0.455110669,0.3401897251605987,0.0621989965438842,0.059859514236450195
5,0.418081385,5.576024,roll,4.842861,weapon,3.784405,rocket,2.9462736,pen,2.204846,soft-finned fish,1.740283,ambystomid,1.6703413,homopterous insect,0.0,0,0.0,0,0,0,0.415426493,0.3664171695709228,0.0635375380516052,0.045108020305633545
6,0.449347375,6.21262,formal,3.5084872,uniform,2.0430121,Airedale Terrier,2.0345535,Vizsla,1.7179964,Australian Terrier,1.4509026,Clumber Spaniel,0.0,0,0.0,0,0.0,0,0,0,0.444253922,0.3852926194667816,0.0748209357261657,0.0463833212852478
7,0.409848438,6.3081574,dumbbell,3.5213761,mechanical device,3.4563518,safe,2.267598,Tibetan Mastiff,2.1963005,bear,1.9009358,grasshopper,0.0,0,0.0,0,0.0,0,0,0,0.398399681,0.3767234086990356,0.0386196374893188,0.020623326301574707
8,0.51871235,4.5234337,elephant,3.0219378,aqueduct,2.528694,boar,1.5774435,utensil,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.323852241,0.4420934915542602,0.0912500619888305,0.01104283332824707
9,0.454778295,6.940546,"greenhouse, outdoor",4.932019,labor,3.7214637,sail,2.8600116,public transport,1.4891887,radio telescope,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.386056155,0.3983546197414398,0.1040043234825134,0.10098838806152344
10,0.467563202,1.9024025,clothes,1.6898259,band,1.6262217,"cathedral, indoor",1.5116405,arch,1.4400101,St. Bernard,1.3858119,Great Dane,0.7928625,guard,0.0,0,0.0,0,0,0,0.241495922,0.4040891230106354,0.0916656851768493,0.08812665939331055
11,0.459059367,4.276765,bookcase,3.0956802,kit,2.6652958,lotion,1.777689,chimpanzee,1.725343,belgian sheepdog,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.307572424,0.4056534767150879,0.0018706321716308,0.027992188930511475
12,0.564042309,5.0762987,lunch,4.921795,vegetable,3.5381038,habitat,3.3311915,pottedplant,2.0647526,new world monkey,1.8658183,fungus,1.7011687,aquatic bird,0.0,0,0.0,0,0,0,0.433202296,0.5366311073303223,0.1903433203697204,0.1716046929359436
13,0.498994616,3.10753,St. Bernard,3.0310109,Basenji,2.7141411,plover,2.7051733,Welsh Springer Spaniel,2.2593455,hummingbird,2.1883035,Greater Swiss Mountain Dog,2.120788,Boston Terrier,0.0,0,0.0,0,0,0,0.421445996,0.4573420882225036,0.1231285333633422,0.0920066237449646
14,0.392667245,6.45495,attire,2.8723614,parade,1.9231215,tourist,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.483298868,0.3115396201610565,0.059553325176239,0.04812496900558472
15,0.485766916,4.242575,bowl,3.6797295,bucket,2.541091,pot,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.385951072,0.4345952868461609,0.1015793085098266,0.09311968088150024
16,0.494706189,5.324835,palace,5.1123967,public transport,4.838322,carousel,3.51012,graduation,1.608111,lapdog,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.436833858,0.4278176426887512,0.08023202419281,0.061047255992889404
17,0.422802899,3.2271972,oyster,2.3771515,dinosaur,1.2888547,dessert,1.241539,hippopotamus,0.89078224,gyromitra,0.8878601,arachnid,0.7722378,ape,0.0,0,0.0,0,0,0,0.210992068,0.3698346316814422,0.0392636060714721,0.03475838899612427
18,0.367499352,2.5290642,corn,2.4041765,picket fence,1.6104618,squash,1.4527811,supper,1.3345866,Tibetan Mastiff,1.320561,coral fungus,0.0,0,0.0,0,0.0,0,0,0,0.363257617,0.3047083616256714,0.0573980808258056,0.04284876585006714
19,0.38545644,2.8425305,bedclothes,1.8430585,hummingbird,1.781463,frog,1.7340009,boa constrictor,1.7309244,supper,1.4077682,sidewinder rattlesnake,1.1334991,chiton,0.0,0,0.0,0,0,0,0.352959484,0.3712852597236633,0.0542154312133789,0.03677475452423096
20,0.332083075,2.8857236,appliance,2.1971045,evaporation,1.7432735,photocopier,1.2153115,angora,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.364147186,0.2773780524730682,0.0307734608650207,0.025008022785186768
21,0.507105129,8.161569,glass,4.97804,infusion,2.3529184,trifle,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.430477589,0.4588349461555481,0.1210193634033203,0.11907225847244263
22,0.415535895,4.2350216,biosphere,2.467266,cabbage,2.1585453,American black bear,2.140178,Bedlington Terrier,2.0831919,lorikeet,2.0011961,aquatic mammal,0.0,0,0.0,0,0.0,0,0,0,0.390937507,0.3827757239341736,0.0497103929519653,0.04449105262756348
23,0.393496993,3.2943141,geyser,2.6273034,goldfish,2.277027,spitz,1.8304604,skunk,1.752395,Angora rabbit,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.317440927,0.3485554456710815,0.0615042448043823,0.04877579212188721
24,0.260305321,3.5275283,shoes,2.9230793,baggy,2.1577508,berth,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.488597572,0.2644843161106109,0.1021096110343933,0.08418941497802734
