layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
features[43],0,0.6327469832495176,3.944185,view,3.8080292,bed,2.356756,rocket,1.8306254,clavier,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2103852778673172,0.565619170665741
features[43],1,0.5389476981670888,2.1388526,wardrobe,1.5028971,elephant,1.4507804,hedgehog,1.3409746,willow tree,1.3398632,keyboard,0.564994,hamster,0.0,0,0.0,0,0.0,0,0.0,0,0.1975657045841217,0.40169358253479004
features[43],2,0.6277155003862724,3.1389797,minnow,2.6817822,transit,1.8506719,sea,1.719505,palm tree,1.0895748,cockroach,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.128378689289093,0.5879356861114502
features[43],3,0.6300859294467506,1.7700953,dromedary,1.6853524,spider,1.6438872,palm tree,1.5897901,grapefruit,1.4999864,cockroach,1.390408,turtle,0.0,0,0.0,0,0.0,0,0.0,0,0.1574411243200302,0.5863514542579651
features[43],4,0.6125685006408783,2.3693023,liquor,2.1956089,cupboard,1.994578,pedestal,1.5691158,agent,0.90076363,telescreen,0.75097907,elephant,0.4209758,chimpanzee,0.0,0,0.0,0,0.0,0,0.0685210227966308,0.5845996737480164
features[43],5,0.7354481970825129,4.6669617,pier,2.9904585,tower,2.5186403,railroad,2.3949425,distance,2.1620543,palm tree,1.6008563,route,1.4029363,dolphin,0.0,0,0.0,0,0.0,0,0.1085443869233131,0.6593199372291565
features[43],6,0.5721135028575716,1.3337905,streetcar,1.3052655,elephant,1.2398603,clavier,1.1881163,palm tree,0.89438814,raccoon,0.721516,honeybee,0.0,0,0.0,0,0.0,0,0.0,0,0.1100392416119575,0.5425666570663452
features[43],7,0.5763672267300437,1.0146439,chalice,0.99563223,spider,0.8688283,sea,0.69422144,pinworm,0.68228763,plain,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1186887472867965,0.5123132467269897
features[43],8,0.6277260415123477,2.0006747,daughter,1.5310105,table,1.2168629,lad,1.2073095,orange,1.0471294,chair,0.8636389,clavier,0.81361765,honeybee,0.7252668,orchid,0.4941321,maple tree,0.0,0,0.0432746559381485,0.5956160426139832
features[43],9,0.5426790593206097,2.7436192,pier,1.2822242,whale,1.2398918,medium-sized mammals,0.86686873,clavier,0.8049709,fox,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1047522723674774,0.4206655025482178
features[43],10,0.6227084518787969,2.7059207,produce,2.0964508,beverage,1.9886518,household furniture,1.3620591,sofa,1.3486116,bowl,1.2522509,seaside,1.0361928,tank,0.9344199,cockroach,0.5360093,camel,0.0,0,0.1210536807775497,0.5101444721221924
features[43],11,0.6298465252965015,3.5457778,castle,3.4959922,baby,3.0087557,clock,2.9487083,fruit,1.0754272,camel,0.9259821,snail,0.0,0,0.0,0,0.0,0,0.0,0,0.1510083675384521,0.5958874821662903
features[43],12,0.6179571309189416,1.7626185,alpha,1.5859894,wardrobe,1.3419653,tin,1.1643883,forest road,1.0229741,chalice,0.92098725,plain,0.7623422,tiger,0.6567572,pinworm,0.0,0,0.0,0,0.0794713497161865,0.5506657958030701
features[43],13,0.6034683177009632,2.7240589,government,1.5273322,tower,1.409167,prairie,1.2233647,mountain,0.7110501,sunflower,0.48514462,camel,0.44590485,hamster,0.0,0,0.0,0,0.0,0,0.12900111079216,0.5101944208145142
features[43],14,0.5544212698888838,1.7765824,cottage,0.8178531,wolf,0.6380982,tiger,0.59606695,mushroom,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0636318624019622,0.4914347529411316
features[43],15,0.5251982920525113,1.0443034,bottling,1.019786,jack,1.0044153,paintwork,0.9669,sprinter,0.8829264,lawn mower,0.7235291,transportation,0.5770965,maintainer,0.4353229,tvmonitor,0.0,0,0.0,0,0.0836301743984222,0.4635641276836395
features[43],16,0.5218127685148684,1.2672315,high-rise,1.0852021,whale,0.8048721,dawn,0.7927419,clavier,0.524483,tulip,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1105951517820358,0.5230345129966736
features[43],17,0.55234669310447,2.3924265,pear,2.2704515,flatfish,1.9961709,hamster,1.9352754,baby,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2961141467094421,0.4855091869831085
features[43],18,0.636362774800979,2.8681614,kid,2.5014994,berth,2.3654318,vehicles,2.0201876,construction,1.6108232,maintainer,1.4821861,missile,0.0,0,0.0,0,0.0,0,0.0,0,0.1345127671957016,0.6098323464393616
features[43],19,0.605543885421953,2.2253325,government,2.1579056,bicycle,2.0083668,drawbridge,1.6531075,clock,0.9400426,tank,0.7435501,rocket,0.6019303,camel,0.0,0,0.0,0,0.0,0,0.1309954971075058,0.5223680734634399
features[43],20,0.5393507535161209,1.748275,clock,1.3492762,motorcycle,1.194441,coonskin,1.0987376,bowl,0.7580617,tiger,0.6708088,chimpanzee,0.0,0,0.0,0,0.0,0,0.0,0,0.1420200616121292,0.43499547243118286
features[43],21,0.5412493899165147,3.4321575,motorcycle,3.4123106,pasture,1.9418193,bee,1.7538747,forebear,1.2313962,poppy,1.2268053,chimpanzee,0.0,0,0.0,0,0.0,0,0.0,0,0.1686550825834274,0.5234233736991882
features[43],22,0.6828698926557457,3.8417482,produce,3.5996175,calm,2.261168,rose,1.6764029,poppy,1.5656542,plain,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1678448319435119,0.5552481412887573
features[43],23,0.6632393639217534,0.835338,orchid,0.61597437,wolf,0.47420296,small mammals,0.3195766,hamster,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0578617304563522,0.5915930271148682
features[43],24,0.5765379108437568,1.6666058,castle,1.2900189,dromedary,1.2112639,bulldozer,0.9808113,tank,0.8881444,railroad train,0.8045028,squirrel,0.0,0,0.0,0,0.0,0,0.0,0,0.1634972691535949,0.47556188702583313
