layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
encoder,0,0.1678773673708395,2.7023351,baby,1.6429726,coffee,0.9817707,Saharan horned viper,0.8998844,poodle,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.0844731628894805,0.12405750900506973
encoder,1,0.1603127224141928,1.7063364,Golden Retriever,1.1714053,bassoon,0.65165186,primate,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.027601845562458,0.10312731564044952
encoder,2,0.1267689681952502,2.3132842,bustle,1.0890845,Greater Swiss Mountain Dog,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.1420668363571167,0.10243288427591324
encoder,3,0.1317713311621311,3.5075688,wren,0.91650313,Standard Schnauzer,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0478077009320259,0.08415180444717407
encoder,4,0.1260689453141515,2.440271,locker,0.87255335,reptile,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0505555085837841,0.11460840702056885
encoder,5,0.1595139111235443,1.4993443,computer,1.2319524,West Highland White Terrier,1.0884166,mink,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.0244317203760147,0.11758019775152206
encoder,6,0.136964599910962,1.0426506,hornbill,0.95456606,Papillon,0.8402129,red wolf or maned wolf,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0163826420903205,0.09367199242115021
encoder,7,0.1370947905348307,1.3706329,remote,1.0857273,Cocker Spaniel,0.92534816,grey fox,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.0552222840487957,0.14847110211849213
encoder,8,0.1444499440972613,2.9405458,shoes,2.8189552,purse,1.8271472,violin,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.0118360575288534,0.15043164789676666
encoder,9,0.1804085504377914,3.070846,hanger,2.8884025,lotion,1.75971,Bullmastiff,0.7869354,snake,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.1302890032529831,0.15571282804012299
encoder,10,0.1307008176375234,1.071084,Papillon,0.6172605,dog,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0153347738087177,0.1151481345295906
encoder,11,0.1706884372325684,2.3100522,strobe,2.175652,coffee,0.9035163,cane,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.1095016151666641,0.1321471482515335
encoder,12,0.1284836200466221,2.0381155,suit,1.026519,weasel,0.9994092,spider,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.0723704621195793,0.11198674887418747
encoder,13,0.102667923399529,1.0031816,quail,0.8966116,wild dog,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.0052188201807439,0.11337223649024963
encoder,14,0.1551626135245036,2.0318346,boxer,1.3569468,Siberian Husky,0.7958234,Lakeland Terrier,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0180936362594366,0.15093857049942017
encoder,15,0.1122477090445104,1.1985154,car mirror,0.9337868,sidewinder rattlesnake,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.0365210771560668,0.06273417919874191
