layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
encoder.layers.encoder_layer_10,0,0.2178439904802545,0.89253455,object,0.62693834,invertebrate,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.3984682559967041,0.1955919861793518
encoder.layers.encoder_layer_10,1,0.2282975469915539,1.1718663,arrangement,1.0996382,waterbed,0.81451213,kitty,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.3148184418678283,0.18052168190479279
encoder.layers.encoder_layer_10,2,0.2797287122545332,1.8133518,motor vehicle,1.5621071,vol,0.97322166,diving,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2106147557497024,0.2883220613002777
encoder.layers.encoder_layer_10,3,0.2914232965237006,2.3298597,sea,1.4397717,motor vehicle,1.3951987,entrance,1.1037033,surrounds,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.3085599243640899,0.26510632038116455
encoder.layers.encoder_layer_10,4,0.3118102604128924,1.5481937,angiosperm,1.0541891,snow,0.53930527,bird,0.46000686,hymenopterous insect,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.2529772222042084,0.27921754121780396
encoder.layers.encoder_layer_10,5,0.3275693365344705,1.5632598,arrangement,1.3306787,furnishing,1.1906977,cook,0.86493665,lap,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.3653873205184936,0.2895788252353668
encoder.layers.encoder_layer_10,6,0.2335161027553322,1.1464592,sea,0.69245875,sauce,0.28008726,aquatic bird,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0665081143379211,0.22533278167247772
encoder.layers.encoder_layer_10,7,0.2822834494882444,0.7592261,diving,0.71764094,sail,0.52581203,species,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.033569611608982,0.27426937222480774
encoder.layers.encoder_layer_10,8,0.3171784196602099,1.9634339,species,1.4970988,vegetable,0.8472424,scaly,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.6079549193382263,0.2844635248184204
encoder.layers.encoder_layer_10,9,0.3271679251198575,0.75933343,scaly,0.7493326,wildlife,0.48156038,wading bird,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0070478124544024,0.3011149764060974
encoder.layers.encoder_layer_10,10,0.2591236954227136,1.7704021,snowfield,0.97496855,sole,0.49723536,banded,0.45031095,pest,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3408097624778747,0.24232472479343414
encoder.layers.encoder_layer_10,11,0.1951253866044468,1.2923309,counter,0.98848003,clavier,0.8454858,cabinet,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.364320307970047,0.19756491482257843
encoder.layers.encoder_layer_10,12,0.2525452455044925,0.8305925,vibrissae,0.47881016,cat,0.32486793,primate,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0996790155768394,0.21735069155693054
encoder.layers.encoder_layer_10,13,0.2356473585567836,1.4113815,wrapping,1.1121489,mat,0.89428777,counter,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.3312073051929474,0.20804286003112793
encoder.layers.encoder_layer_10,14,0.3370641363528057,1.3882962,species,0.8443671,motor vehicle,0.37216023,shorebird,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.1628228425979614,0.2923247814178467
encoder.layers.encoder_layer_10,15,0.1924910580656177,0.99182105,vet,0.7935943,scholar,0.7747963,branch,0.3336214,arachnid,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1837804764509201,0.16620221734046936
encoder.layers.encoder_layer_10,16,0.200401203705574,1.0044456,yard,0.91773677,planter,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.5641839504241943,0.18342192471027374
encoder.layers.encoder_layer_10,17,0.5217666601418602,2.4440935,angiosperm,2.1312778,species,0.7731668,leptocephalus,0.7069451,bird,0.67213476,fungus,0.0,0,0.0,0,0,0,0,0,0,0,0.4498453140258789,0.45804113149642944
encoder.layers.encoder_layer_10,18,0.3190336997959084,1.4288931,overflight,0.7537935,diving,0.6570162,macrofauna,0.5327617,bird,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2649731040000915,0.2558416426181793
encoder.layers.encoder_layer_10,19,0.2160457775437766,1.0119747,jar,0.9327543,thread,0.79749453,hardening,0.6107372,vegetable,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0547867491841316,0.1892518252134323
encoder.layers.encoder_layer_10,20,0.2307219287840307,1.2285144,casing,0.99689347,boat,0.8160654,clavier,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.6617258787155151,0.20751482248306274
encoder.layers.encoder_layer_10,21,0.3014857489898439,0.8520342,monument,0.830243,macrofauna,0.8187011,banded,0.50259,reptile,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.8251044154167175,0.2788671553134918
encoder.layers.encoder_layer_10,22,0.236269177749335,1.0912472,lake,0.88024783,snow,0.7988544,keyboard,0.7530986,boat,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.291204959154129,0.24203747510910034
encoder.layers.encoder_layer_10,23,0.2524689897520227,0.7352599,cobbler,0.66958314,table,0.6239794,messy,0.23388499,shorebird,0.1876694,lapdog,0.0,0,0.0,0,0,0,0,0,0,0,-0.3544645011425018,0.22186261415481567
encoder.layers.encoder_layer_10,24,0.2719919450430355,1.4950088,motor vehicle,1.3279108,collection,1.3262123,grill,1.3178705,counter,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-1.0484201908111572,0.2336535006761551
encoder.layers.encoder_layer_10,25,0.2309016362707484,0.7997591,agaric,0.5224933,snuck,0.2239412,wading bird,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2205665409564972,0.19895069301128387
encoder.layers.encoder_layer_10,26,0.2954166475777633,1.5808454,beverage,1.406805,hardware,1.3601178,lap,1.0259622,shelf,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.4346272051334381,0.2728825807571411
encoder.layers.encoder_layer_10,27,0.3684123780864112,1.4825934,wildlife,0.9529395,banded,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.8223212957382202,0.3570486009120941
encoder.layers.encoder_layer_10,28,0.4120588989279432,2.5382683,angiosperm,2.303879,species,1.2994946,pair,0.79091626,bird,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.708769679069519,0.38150903582572937
encoder.layers.encoder_layer_10,29,0.3268828265130258,1.5182731,gliding,1.4295049,motor vehicle,1.3638078,independence,1.3516748,scenery,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3014425337314605,0.31389474868774414
encoder.layers.encoder_layer_10,30,0.3007645512288683,1.4317759,motor vehicle,0.6807308,wildlife,0.4901731,pair,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2668142318725586,0.2806062698364258
encoder.layers.encoder_layer_10,31,0.3835561306980387,1.1599206,species,0.60625494,snarl,0.56534225,fungus,0.43715474,sporting dog,0.420941,leptocephalus,0.0,0,0.0,0,0,0,0,0,0,0,-5.834353578393348e-05,0.3143557012081146
encoder.layers.encoder_layer_10,32,0.23080106954384,1.3220592,transom,0.8320466,cabinet,0.7959347,lap,0.7400875,tog,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.7390697598457336,0.1905665099620819
encoder.layers.encoder_layer_10,33,0.2513820163346383,1.0103219,overflight,0.87548554,feline,0.79126996,savanna,0.39954668,bird,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1869071871042251,0.2377876490354538
encoder.layers.encoder_layer_10,34,0.2086414469522722,0.98215485,swim,0.6764146,boat,0.6215071,furnishing,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.246404692530632,0.20107993483543396
encoder.layers.encoder_layer_10,35,0.2991309841487195,1.2167916,overflight,0.47220942,canine,0.45003417,wildlife,0.39805302,bird,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4916961193084717,0.2839351296424866
encoder.layers.encoder_layer_10,36,0.3453507585713092,1.2571781,motor vehicle,1.1713685,angiosperm,1.1154653,tiger,1.1067305,home office,1.0903549,screen door,0.4358883,macrofauna,0.30665073,wading bird,0,0,0,0,0,0,-0.2151853591203689,0.2810209393501282
encoder.layers.encoder_layer_10,37,0.2759449535968364,1.3167402,motor vehicle,0.90743667,stained,0.89421576,junk,0.87708443,counter,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.8936125636100769,0.2274475246667862
encoder.layers.encoder_layer_10,38,0.3535403283232716,1.3427894,pest,0.9522331,pair,0.76696527,hatchling,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2851791679859161,0.3187333345413208
encoder.layers.encoder_layer_10,39,0.3462236828883864,2.0054896,technician,1.6829635,attire,1.4887629,furnishing,1.2709317,sea,0.8651664,drinking,0.0,0,0.0,0,0,0,0,0,0,0,-0.203065350651741,0.28772515058517456
encoder.layers.encoder_layer_10,40,0.3626318010582494,2.3103902,vibrissae,1.6080512,habitat,1.3763151,banded,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,1.2325931787490845,0.3506165146827698
encoder.layers.encoder_layer_10,41,0.2788901677541824,0.7130314,fungus,0.43109733,reptile,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3681491315364837,0.22787179052829742
encoder.layers.encoder_layer_10,42,0.2174762235735018,1.0119225,cutter,0.7811435,feline,0.71512496,furnishing,0.6120957,reef,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.2523580193519592,0.22063928842544556
encoder.layers.encoder_layer_10,43,0.3345045568954858,2.472627,clothes,1.7539976,reparation,1.5269759,upstairs,1.4757136,counter,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.4431164562702179,0.30389079451560974
encoder.layers.encoder_layer_10,44,0.3125688882327196,2.2798543,cascade,1.4276333,cheek,0.69947934,daisy,0.5440656,ungulate,0.37215158,canine,0.0,0,0.0,0,0,0,0,0,0,0,-0.5365484356880188,0.2476252168416977
encoder.layers.encoder_layer_10,45,0.3063737630590031,1.5647388,attire,1.2307218,counter,1.1693605,pat,1.1655918,dust jacket,0.9015258,wash,0.0,0,0.0,0,0,0,0,0,0,0,-0.1405027061700821,0.2852960526943207
encoder.layers.encoder_layer_10,46,0.3826059258806934,1.8368652,habitat,0.96712804,banded,0.94371456,macrofauna,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.674087405204773,0.3317178785800934
encoder.layers.encoder_layer_10,47,0.3001813571916831,1.8524109,wheeled vehicle,1.7552971,gale,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.6555728912353516,0.2640947699546814
encoder.layers.encoder_layer_10,48,0.2631919371112548,1.6435279,house,1.3776442,slide,1.3450204,attire,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1964946687221527,0.25521087646484375
encoder.layers.encoder_layer_10,49,0.2435078814359236,2.1289675,armpit,1.0616258,mound,1.0173202,angiosperm,0.5947046,stinkhorn mushroom,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2681279182434082,0.1347595602273941
encoder.layers.encoder_layer_10,50,0.2305566471384929,0.6357518,boat,0.51039225,tower,0.32863146,canine,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.2674928903579712,0.20267337560653687
encoder.layers.encoder_layer_10,51,0.1745294152898199,0.50789475,thatched roof,0.34883776,vibrissae,0.32844755,monument,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2164002060890197,0.14478641748428345
encoder.layers.encoder_layer_10,52,0.2973159271645706,1.7488464,table,1.3509146,feline,1.2719522,teller,1.1045078,pan,0.81133664,alcove,0.0,0,0.0,0,0,0,0,0,0,0,0.2927010953426361,0.2621650993824005
encoder.layers.encoder_layer_10,53,0.2439121853064574,1.4033595,lake,0.8293013,boat,0.4483211,bird,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.3796005547046661,0.233919158577919
encoder.layers.encoder_layer_10,54,0.4109311710862526,1.448628,river,1.0547334,kennel,1.0233103,banded,0.89816284,diving,0.7733065,bovid,0.5733984,bird,0.0,0,0,0,0,0,0,0,0.0635847151279449,0.3589916229248047
encoder.layers.encoder_layer_10,55,0.1899191510787912,0.79972696,window screen,0.6203333,"moat, water",0.5032632,alcove,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0775084197521209,0.17662087082862854
encoder.layers.encoder_layer_10,56,0.5063738484247833,1.4770418,species,0.9899818,fungus,0.88648224,leptocephalus,0.73083836,arthropod,0.5982926,snake,0.0,0,0.0,0,0,0,0,0,0,0,0.724706768989563,0.4189470708370209
encoder.layers.encoder_layer_10,57,0.2304869679182477,1.4845208,glacier,0.9525764,river,0.8979666,coevolution,0.5237857,aquatic bird,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.2015488296747207,0.22218924760818481
encoder.layers.encoder_layer_10,58,0.3186154616369575,0.859146,zoology,0.71731323,wildlife,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.000468991609523,0.2788720726966858
encoder.layers.encoder_layer_10,59,0.4334570749422674,1.1966491,species,0.863659,pair,0.77331877,macrofauna,0.620624,leptocephalus,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.7208368182182312,0.3645992577075958
encoder.layers.encoder_layer_10,60,0.2410730212104255,0.5231105,manhole cover,0.4626181,wading bird,0.42042482,macrofauna,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.164582759141922,0.19463446736335754
encoder.layers.encoder_layer_10,61,0.3442416450158202,0.9458573,picturesque,0.75711954,bird,0.5326673,leptocephalus,0.33198285,primate,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2421798110008239,0.2782662808895111
encoder.layers.encoder_layer_10,62,0.1634130155554167,1.3422391,slide,1.1963118,counter,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.8236591219902039,0.17524783313274384
encoder.layers.encoder_layer_10,63,0.1454510708145215,1.2468411,roll,0.76210654,cheek,0.34870768,earth star fungus,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.1281222701072693,0.08650626987218857
encoder.layers.encoder_layer_10,64,0.2969345850752738,0.66671646,scenery,0.5046712,habitat,0.41749558,bird,0.3688775,hatchling,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2999531626701355,0.27431491017341614
encoder.layers.encoder_layer_10,65,0.3455971167322363,1.9754426,paddock,1.5841742,safari,0.73002124,cane,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2245024591684341,0.30078190565109253
encoder.layers.encoder_layer_10,66,0.2979324035628912,1.5890723,sauce,1.4840925,warm-up,1.2980218,plastic,1.2198772,counter,1.2077371,window,0.0,0,0.0,0,0,0,0,0,0,0,-0.6482359766960144,0.2826833426952362
encoder.layers.encoder_layer_10,67,0.2382500225047812,0.7664654,cupboard,0.4926748,bird,0.40065497,macro,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0684857070446014,0.22161194682121277
encoder.layers.encoder_layer_10,68,0.3480525039285366,1.2219348,furnishing,1.1397498,stained,0.94126815,supper,0.88170326,electronic device,0.8690533,dial,0.0,0,0.0,0,0,0,0,0,0,0,-0.7629270553588867,0.35071879625320435
encoder.layers.encoder_layer_10,69,0.3949986067815604,2.8513803,species,1.3358494,stalk,0.9438897,fungus,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2794421017169952,0.3575130105018616
