layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
encoder.layers.encoder_layer_10.mlp[1],0,0.2573935886268564,0.036943898,aquatic bird,0.03473697,canine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0541946999728679,0.23459835350513458
encoder.layers.encoder_layer_10.mlp[1],1,0.197929869686013,0.11651136,whale,0.101620264,sea,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0824219435453414,0.2589395344257355
encoder.layers.encoder_layer_10.mlp[1],2,0.3263363244477244,0.056167398,wildlife,0.038331687,aquatic bird,0.036620706,canine,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0511070303618907,0.2936994433403015
encoder.layers.encoder_layer_10.mlp[1],3,0.4923123258152911,0.07450065,waterfowl,0.07054213,bird,0.04850916,leptocephalus,0.045753837,canine,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1049749031662941,0.43408551812171936
encoder.layers.encoder_layer_10.mlp[1],4,0.1625847035368213,0.12048217,evening-wear,0.069029875,"doorway, indoor",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0982018634676933,0.15506385266780853
encoder.layers.encoder_layer_10.mlp[1],5,0.2769614954079754,0.19488823,casing,0.13546655,handle,0.08450299,antique,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1231237649917602,0.23399513959884644
encoder.layers.encoder_layer_10.mlp[1],6,0.3823305371483739,0.07081654,wildlife,0.062875934,bird,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1036218404769897,0.3756747245788574
encoder.layers.encoder_layer_10.mlp[1],7,0.2012080303844947,0.063740365,motor vehicle,0.057515617,counter,0.03801023,leopard,0.017708866,colubrid snake,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1044053435325622,0.18157245218753815
encoder.layers.encoder_layer_10.mlp[1],8,0.3867766366781457,0.058273684,wildlife,0.052095868,leptocephalus,0.039349075,bird,0.027060566,arthropod,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0846557542681694,0.334439218044281
encoder.layers.encoder_layer_10.mlp[1],9,0.2739897789329106,0.101164415,ambulance,0.09828784,motor vehicle,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1208861544728279,0.31064051389694214
encoder.layers.encoder_layer_10.mlp[1],10,0.3484151746524487,0.11593813,screen door,0.09729191,scenery,0.058001004,seabird,0.050553996,bird feeder,0.03694004,insect,0.0,0,0.0,0,0,0,0,0,0,0,-0.10865518450737,0.2941748797893524
encoder.layers.encoder_layer_10.mlp[1],11,0.3015892593532878,0.05016209,cage,0.040760793,hunting dog,0.029130995,canine,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0971775576472282,0.25880178809165955
encoder.layers.encoder_layer_10.mlp[1],12,0.317940361643227,0.070069864,cracked,0.064527,lid,0.056778356,brace,0.044370946,dial,0.016323395,pup,0.0,0,0.0,0,0,0,0,0,0,0,-0.113938570022583,0.2659165561199188
encoder.layers.encoder_layer_10.mlp[1],13,0.4096413111831162,0.13646442,landform,0.10300035,starboard,0.04753392,bird,0.04176396,aquatic bird,0.035298634,wildlife,0.0,0,0.0,0,0,0,0,0,0,0,-0.0913455560803413,0.37253060936927795
encoder.layers.encoder_layer_10.mlp[1],14,0.2928881757605719,0.12051908,locker,0.09221377,mechanical device,0.04837158,stereo,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1219207122921943,0.2547619044780731
encoder.layers.encoder_layer_10.mlp[1],15,0.2634185731785054,0.056231298,hymenopterous insect,0.033738114,canine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0934506207704544,0.2371753454208374
encoder.layers.encoder_layer_10.mlp[1],16,0.2193359421456803,0.043050464,wall,0.042542093,alcove,0.027044259,wildlife,0.024466489,aquatic bird,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0886469408869743,0.1838422566652298
encoder.layers.encoder_layer_10.mlp[1],17,0.3301735842974119,0.098365635,yard,0.060939867,cane,0.036073763,aquatic bird,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1059444770216941,0.28550440073013306
encoder.layers.encoder_layer_10.mlp[1],18,0.4280339743863483,0.19393836,trail,0.14083372,grass,0.114343025,wildlife,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0733630359172821,0.4045272469520569
encoder.layers.encoder_layer_10.mlp[1],19,0.3719744936544761,0.12048864,sliding door,0.11124921,appliance,0.099325046,drawer,0.04042192,photocopier,0.02370914,sporting dog,0.0,0,0.0,0,0,0,0,0,0,0,-0.1134256646037101,0.3004622757434845
encoder.layers.encoder_layer_10.mlp[1],20,0.3679626351198742,0.06495371,species,0.057317667,bird,0.03604863,leptocephalus,0.018862356,pup,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.074566476047039,0.33939024806022644
encoder.layers.encoder_layer_10.mlp[1],21,0.3354403597282019,0.10064443,arch,0.045925852,aquatic bird,0.042660076,zoology,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1025554984807968,0.289615273475647
encoder.layers.encoder_layer_10.mlp[1],22,0.3599814533555255,0.14044072,handicap,0.12805992,motor vehicle,0.12533547,garb,0.08743687,warm-up,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1063589826226234,0.30417925119400024
encoder.layers.encoder_layer_10.mlp[1],23,0.322166129535246,0.13170739,sick,0.104465805,grasp,0.07640538,lap,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.10383290797472,0.27213457226753235
encoder.layers.encoder_layer_10.mlp[1],24,0.2573164209767702,0.40307197,species,0.3753568,rock beauty fish,0.1881837,fungus,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0555177852511405,0.2574014365673065
encoder.layers.encoder_layer_10.mlp[1],25,0.260243319040554,0.07737321,door,0.05810295,counter,0.037225656,dog,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0639445856213569,0.23869065940380096
encoder.layers.encoder_layer_10.mlp[1],26,0.1405272760392458,0.09622083,picket fence,0.09606607,partition,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1052034124732017,0.07005293667316437
encoder.layers.encoder_layer_10.mlp[1],27,0.3077108507371139,0.088908486,drawer,0.031260554,mammal,0.03020034,pup,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0847397074103355,0.3027079105377197
encoder.layers.encoder_layer_10.mlp[1],28,0.2803370629513999,0.09568459,habitat,0.0421151,sporting dog,0.02365832,fungus,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0840553417801857,0.2782893776893616
encoder.layers.encoder_layer_10.mlp[1],29,0.3443135411247091,0.106243,habitat,0.05270445,barn,0.046838436,agaric,0.041825555,cane,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1178444400429725,0.3347933292388916
encoder.layers.encoder_layer_10.mlp[1],30,0.2623345085548094,0.16855782,model,0.09581605,darkness,0.06602985,stained,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1084933504462242,0.22719858586788177
encoder.layers.encoder_layer_10.mlp[1],31,0.4477668487530972,0.06939341,bald eagle,0.047161072,bird,0.045887254,dog,0.039964046,aquatic bird,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1050499379634857,0.4162397086620331
encoder.layers.encoder_layer_10.mlp[1],32,0.3349830769622114,0.06129441,habitat,0.036617804,primate,0.032238603,bird,0.02690439,reptile,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0874271467328071,0.3346360921859741
encoder.layers.encoder_layer_10.mlp[1],33,0.2383083197616628,0.084965095,strap,0.08362866,mechanism,0.07524248,ephemera,0.051244527,object,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1096534132957458,0.21988090872764587
encoder.layers.encoder_layer_10.mlp[1],34,0.2186810034157293,0.1160796,hunting,0.104441814,snowfield,0.056604803,standing,0.033143353,great grey owl,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1190613880753517,0.23296613991260529
encoder.layers.encoder_layer_10.mlp[1],35,0.3025591927520102,0.040721424,wildlife,0.035241425,canine,0.031691447,aquatic bird,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0803965032100677,0.29836755990982056
encoder.layers.encoder_layer_10.mlp[1],36,0.1912534086169922,0.07247289,granddaughter,0.052534606,slot machine,0.030921632,sailing,0.027206913,waterfowl,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0737662613391876,0.15310019254684448
encoder.layers.encoder_layer_10.mlp[1],37,0.2641982361712209,0.11966722,granddaughter,0.07258183,eating,0.062705114,brace,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1239389926195144,0.227159321308136
encoder.layers.encoder_layer_10.mlp[1],38,0.4008874328146921,0.17259714,snow,0.06620897,yard,0.043043204,dog,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.1020099818706512,0.4168597161769867
